NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Arl6ip1	17	7.8833699226379395	0.2005808	Yes	
row_1	Ssr3	22	7.6484880447387695	0.3957495	Yes	
row_2	Tram1	50	6.600672721862793	0.5631175	Yes	
row_3	Srp9	460	3.717325448989868	0.63959306	Yes	
row_4	Tram1l1	665	3.1595757007598877	0.7110799	Yes	
row_5	Srp54a	2039	1.7589612007141113	0.6940077	Yes	
row_6	Srp19	2120	1.711462378501892	0.7341076	Yes	
row_7	Sec63	5268	0.6930397152900696	0.6097061	No	
row_8	Sec61b	6303	0.5090146064758301	0.5760166	No	
row_9	Srp54c	6636	0.4594433605670929	0.5727598	No	
row_10	Srprb	7168	0.3845875859260559	0.5586053	No	
row_11	Sec61a2	7178	0.38347259163856506	0.5679931	No	
row_12	Srp14	7907	0.2936534285545349	0.54262054	No	
row_13	Srp72	9922	0.06841064989566803	0.45342588	No	
row_14	Sec61a1	13110	-0.18208888173103333	0.314168	No	
row_15	Zfand2b	14438	-0.33466580510139465	0.26279515	No	
row_16	Srp68	16514	-0.6566163897514343	0.18586935	No	
row_17	Srpr	18151	-1.0422954559326172	0.13861714	No	
row_18	Tram2	19664	-1.6657280921936035	0.112887174	No	
