NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Schip1	305	4.256313800811768	0.113084555	Yes	
row_1	Bmpr1b	704	3.105052947998047	0.18765242	Yes	
row_2	Hsd17b1	1013	2.5893640518188477	0.25091586	Yes	
row_3	Ugt1a1	1288	2.286776542663574	0.30669647	Yes	
row_4	Cyp19a1	1562	2.0586893558502197	0.35572383	Yes	
row_5	Ugt1a7c	1634	2.0104188919067383	0.41243905	Yes	
row_6	Cyp2d26	1649	2.0006978511810303	0.47143987	Yes	
row_7	Chst10	2265	1.6373274326324463	0.49245593	Yes	
row_8	Hsd17b10	2318	1.6150041818618774	0.5382438	Yes	
row_9	Hsd17b4	2620	1.46074378490448	0.5681835	Yes	
row_10	Cyp1b1	2854	1.3669722080230713	0.5984006	Yes	
row_11	Cyp2d22	3117	1.2661715745925903	0.6243029	Yes	
row_12	Plekha1	3573	1.114358901977539	0.63696027	Yes	
row_13	Pdgfra	4284	0.9186177253723145	0.63226205	Yes	
row_14	Star	4292	0.915727972984314	0.65924025	Yes	
row_15	Sult1a1	4362	0.8962453603744507	0.6828365	Yes	
row_16	Cyp2d9	9153	0.1432066559791565	0.470686	No	
row_17	Ugt2b36	9187	0.1432066559791565	0.47346348	No	
row_18	Cyp2d10	9215	0.14320459961891174	0.47651196	No	
row_19	Hsd17b7	9588	0.10570807009935379	0.46285525	No	
row_20	Cyp1a1	9947	0.0667606070637703	0.44867018	No	
row_21	Ugt2b5	11014	0.0042798276990652084	0.40063438	No	
row_22	Sgpl1	11881	-0.07445298880338669	0.36372644	No	
row_23	Ugt2b37	12238	-0.1045675128698349	0.35075864	No	
row_24	Cyp2d40	12246	-0.1045675128698349	0.35355914	No	
row_25	Ugt2b1	12344	-0.10457076132297516	0.3522934	No	
row_26	H2-Ke6	13458	-0.22308869659900665	0.30865595	No	
row_27	Cyp2d11	13575	-0.22462736070156097	0.3101102	No	
row_28	Tiparp	14061	-0.2819506824016571	0.29660112	No	
row_29	Hsd17b2	14609	-0.35509929060935974	0.2824711	No	
row_30	Comt	15292	-0.454701691865921	0.26521033	No	
row_31	2610005L07Rik	19405	-1.51749587059021	0.12465531	No	
