NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mtmr2	483	3.654449224472046	0.017142078	No	
row_1	Tmem108	1411	2.175311326980591	-0.001583942	No	
row_2	Adrb2	1559	2.061973810195923	0.013766882	No	
row_3	Pten	2461	1.529746651649475	-0.010670994	No	
row_4	Nrxn1	3443	1.1579269170761108	-0.042695217	No	
row_5	Celf4	3478	1.1463572978973389	-0.032001894	No	
row_6	Cbln1	4161	0.9501491189002991	-0.052716717	No	
row_7	Chrna4	5130	0.7222144603729248	-0.08880181	No	
row_8	Grk2	5389	0.6653571128845215	-0.09337413	No	
row_9	Tbc1d24	6580	0.4653056859970093	-0.14224339	No	
row_10	Prkn	6647	0.45823612809181213	-0.14033982	No	
row_11	App	6649	0.4577447474002838	-0.13550101	No	
row_12	Igsf11	7230	0.37598901987075806	-0.15772767	No	
row_13	Npy2r	7723	0.3108929991722107	-0.17666791	No	
row_14	Neto2	8520	0.2142283171415329	-0.21039209	No	
row_15	Eif4a3	9414	0.12334247678518295	-0.24947414	No	
row_16	Prkar1b	9925	0.0683918371796608	-0.2718161	No	
row_17	Prkcz	10458	0.018597783520817757	-0.29568464	No	
row_18	Stx1a	10586	0.007297997362911701	-0.30135208	No	
row_19	Eif4a3l1	11605	-0.04477277398109436	-0.3469273	No	
row_20	Rims1	11689	-0.05342969298362732	-0.35011202	No	
row_21	Drd4	11846	-0.07010097801685333	-0.35642126	No	
row_22	Ssh1	13316	-0.20624113082885742	-0.42067626	No	
row_23	Wnt7a	13317	-0.20639604330062866	-0.41847405	No	
row_24	Gsk3b	13858	-0.257228285074234	-0.44015834	No	
row_25	Grin2a	13944	-0.26698869466781616	-0.4411549	No	
row_26	Zmynd8	14117	-0.28842034935951233	-0.44585854	No	
row_27	Rims2	14641	-0.357277512550354	-0.46570626	No	
row_28	Ngfr	14829	-0.38293221592903137	-0.47008008	No	
row_29	Slc8a3	15060	-0.4217050075531006	-0.47598544	No	
row_30	Reln	15139	-0.4331698417663574	-0.4748922	No	
row_31	Nlgn1	15748	-0.5255692005157471	-0.49678954	No	
row_32	Pclo	15889	-0.5473642945289612	-0.49728268	No	
row_33	Baiap2	16078	-0.5795488357543945	-0.49960387	No	
row_34	Cacnb3	16671	-0.6847658753395081	-0.5190788	No	
row_35	Afdn	18158	-1.0437484979629517	-0.5751668	No	
row_36	Tmem25	18459	-1.147013545036316	-0.57649994	No	
row_37	Rgs4	18704	-1.2374597787857056	-0.5743347	No	
row_38	Grin2b	18961	-1.3321139812469482	-0.57170236	No	
row_39	Lrrk2	19046	-1.3695588111877441	-0.5608894	No	
row_40	Stx1b	19983	-1.8288806676864624	-0.58371896	Yes	
row_41	Dvl1	19987	-1.830717921257019	-0.5643212	Yes	
row_42	Grip2	20256	-1.9952524900436401	-0.5551562	Yes	
row_43	Chrna7	20311	-2.0315258502960205	-0.53592306	Yes	
row_44	Neto1	20488	-2.2011992931365967	-0.5203986	Yes	
row_45	Nlgn3	20503	-2.2113587856292725	-0.49743718	Yes	
row_46	Ptk2b	20576	-2.2771968841552734	-0.47639707	Yes	
row_47	Dlg4	20700	-2.399399995803833	-0.45636022	Yes	
row_48	Dbn1	20755	-2.4739274978637695	-0.43240672	Yes	
row_49	Shank1	20776	-2.4947867393493652	-0.40669256	Yes	
row_50	Sh3gl1	21046	-2.806881904602051	-0.38891283	Yes	
row_51	Grin2c	21149	-2.949192762374878	-0.36205977	Yes	
row_52	S1pr2	21218	-3.0207178592681885	-0.33290547	Yes	
row_53	Dmpk	21316	-3.1956725120544434	-0.30319634	Yes	
row_54	Cux2	21320	-3.20123291015625	-0.26917547	Yes	
row_55	Slc8a2	21536	-3.5861809253692627	-0.24063785	Yes	
row_56	Grin1	21738	-4.157773971557617	-0.20536809	Yes	
row_57	Grin2d	21828	-4.504724979400635	-0.16132969	Yes	
row_58	Shank3	22081	-6.739193439483643	-0.100823805	Yes	
row_59	Nlgn2	22148	-9.797104835510254	7.2385947E-4	Yes	
