NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Uba5	79	6.132956504821777	0.017340895	No	
row_1	Zmpste24	382	3.932194709777832	0.0170207	No	
row_2	Hexb	726	3.0544331073760986	0.011838253	No	
row_3	Get1	1342	2.2391066551208496	-0.008505738	No	
row_4	Aplp2	1474	2.138237953186035	-0.007168033	No	
row_5	Adrb2	1559	2.061973810195923	-0.0039517796	No	
row_6	Slc1a3	1568	2.0564045906066895	0.0027040956	No	
row_7	Gm2a	1726	1.9501869678497314	0.002216635	No	
row_8	Fgf12	1837	1.8796474933624268	0.0036272656	No	
row_9	Glrb	1995	1.7823575735092163	0.0025668861	No	
row_10	Actn3	2054	1.7505066394805908	0.0059031025	No	
row_11	Aph1c	2226	1.6605974435806274	0.0037899544	No	
row_12	Pmp22	2286	1.6277328729629517	0.006661549	No	
row_13	Vps54	2316	1.6150858402252197	0.010855221	No	
row_14	Pten	2461	1.529746651649475	0.009524113	No	
row_15	Aph1b	2803	1.3938363790512085	-0.0012360928	No	
row_16	Uchl1	3005	1.3142887353897095	-0.005896684	No	
row_17	Chrne	3371	1.1789922714233398	-0.0184825	No	
row_18	Nrxn1	3443	1.1579269170761108	-0.017760782	No	
row_19	Tnnt3	3774	1.0527846813201904	-0.029184641	No	
row_20	Hexa	3891	1.020237922668457	-0.030980825	No	
row_21	Clic5	3894	1.0200663805007935	-0.027589643	No	
row_22	Ei24	3944	1.0049912929534912	-0.026388817	No	
row_23	Cdh23	3949	1.002639651298523	-0.023148142	No	
row_24	Ap1s2	4123	0.9579598903656006	-0.027750898	No	
row_25	Myo7a	4570	0.8520078063011169	-0.045139115	No	
row_26	Ush1g	4707	0.8182750344276428	-0.048534907	No	
row_27	Synm	4712	0.8172820210456848	-0.045926988	No	
row_28	Vps35	5065	0.7364426851272583	-0.059431925	No	
row_29	Gba	5094	0.7305657863616943	-0.058212228	No	
row_30	Jsrp1	5108	0.7262846827507019	-0.056324523	No	
row_31	Tnni2	5406	0.6636231541633606	-0.06757509	No	
row_32	Cln8	5889	0.5755645036697388	-0.0875453	No	
row_33	Gaa	5957	0.5642099380493164	-0.08866832	No	
row_34	Fabp7	6266	0.5146811008453369	-0.10092791	No	
row_35	Chrnb1	6505	0.4778769314289093	-0.11012757	No	
row_36	Prkn	6647	0.45823612809181213	-0.11497997	No	
row_37	App	6649	0.4577447474002838	-0.11346287	No	
row_38	Pafah1b1	6901	0.42230966687202454	-0.12344383	No	
row_39	Ascl1	7471	0.3429902195930481	-0.1481672	No	
row_40	Psap	7484	0.3418172001838684	-0.14754644	No	
row_41	Camta1	7591	0.32852262258529663	-0.15124884	No	
row_42	Npas3	7673	0.31625327467918396	-0.15385543	No	
row_43	Hoxa1	7680	0.3158509135246277	-0.15305026	No	
row_44	Chd8	8197	0.25372815132141113	-0.1756664	No	
row_45	Pomk	8332	0.23751679062843323	-0.18095371	No	
row_46	Tmem150c	8469	0.21943967044353485	-0.18639374	No	
row_47	Spg20	8664	0.19676920771598816	-0.19455065	No	
row_48	Rcsd1	9022	0.15437886118888855	-0.21027012	No	
row_49	Cfh	9263	0.1400940865278244	-0.22071388	No	
row_50	Stac	9306	0.1357259452342987	-0.2221619	No	
row_51	Ucn	9609	0.10205167531967163	-0.23555703	No	
row_52	Tnnc1	9625	0.10086257010698318	-0.23589535	No	
row_53	Slurp1	9884	0.07264602184295654	-0.24738851	No	
row_54	Grcc10	9991	0.06265225261449814	-0.2519985	No	
row_55	Kcnab2	10319	0.030904944986104965	-0.26677424	No	
row_56	Pou4f2	10337	0.03069177456200123	-0.26744312	No	
row_57	Stac2	10399	0.02426273189485073	-0.2701363	No	
row_58	Dmd	10417	0.022447669878602028	-0.2708333	No	
row_59	Tcap	10479	0.01655472069978714	-0.2735528	No	
row_60	Chrng	10953	0.004282789770513773	-0.2950636	No	
row_61	Ctnna2	11151	0.003784203203395009	-0.30401585	No	
row_62	Myh8	11174	5.714072030968964E-4	-0.3050151	No	
row_63	Gigyf2	11178	-5.239520760369487E-5	-0.30515143	No	
row_64	Tnni3	11210	-0.0032165739685297012	-0.3065512	No	
row_65	Aldh1a3	11271	-0.010997355915606022	-0.30924416	No	
row_66	Nbn	11309	-0.014045954681932926	-0.31088	No	
row_67	Strit1	11459	-0.028916671872138977	-0.31756204	No	
row_68	Opa3	11483	-0.031055336818099022	-0.31850272	No	
row_69	Pex5	11601	-0.04459943622350693	-0.32367495	No	
row_70	Aars	12123	-0.099871426820755	-0.34704384	No	
row_71	Igdcc3	12428	-0.10789767652750015	-0.36051005	No	
row_72	Fxn	12661	-0.12913388013839722	-0.37062716	No	
row_73	Npas1	12752	-0.13927589356899261	-0.37424746	No	
row_74	Hmx3	12839	-0.1495947241783142	-0.3776505	No	
row_75	Rubie	12995	-0.16707852482795715	-0.38413393	No	
row_76	Kbtbd13	13017	-0.16971106827259064	-0.38451028	No	
row_77	Cln3	13056	-0.17469070851802826	-0.38564324	No	
row_78	Tcf15	13248	-0.1975385695695877	-0.39366102	No	
row_79	Spr	13255	-0.19835986196994781	-0.39325693	No	
row_80	Mecp2	13312	-0.20594905316829681	-0.39510235	No	
row_81	Glra1	13350	-0.2096315324306488	-0.39607054	No	
row_82	Atp2a1	13447	-0.22188247740268707	-0.3996819	No	
row_83	Pou4f3	13567	-0.22462736070156097	-0.40433058	No	
row_84	Chrna1	13859	-0.25733593106269836	-0.41669503	No	
row_85	Grin2a	13944	-0.26698869466781616	-0.4196063	No	
row_86	Clrn1	14067	-0.28301146626472473	-0.42419222	No	
row_87	Nr4a3	14238	-0.305285781621933	-0.43088648	No	
row_88	Bloc1s4	14272	-0.3090054392814636	-0.4313334	No	
row_89	Grin3a	14311	-0.3153371214866638	-0.43198624	No	
row_90	Tifab	14320	-0.3177056312561035	-0.43126577	No	
row_91	Slitrk6	14376	-0.3269912898540497	-0.43265247	No	
row_92	Tnnc2	14450	-0.33688703179359436	-0.43482456	No	
row_93	Stra6	14581	-0.35251742601394653	-0.43953726	No	
row_94	Abr	14779	-0.3743354380130768	-0.44722453	No	
row_95	Grid2	14965	-0.4050266742706299	-0.45426092	No	
row_96	Slc8a3	15060	-0.4217050075531006	-0.45709914	No	
row_97	Nefl	15112	-0.42876046895980835	-0.4579564	No	
row_98	Ush1c	15260	-0.4496269226074219	-0.46311122	No	
row_99	Rac3	15335	-0.4625759720802307	-0.46489975	No	
row_100	Myh3	15425	-0.4768718183040619	-0.4673221	No	
row_101	Csmd1	15589	-0.5034725666046143	-0.47302124	No	
row_102	Bace1	15601	-0.5050265192985535	-0.47179782	No	
row_103	Comp	15674	-0.515433132648468	-0.4733149	No	
row_104	Parp1	16025	-0.5689195394515991	-0.4873007	No	
row_105	Ccdc78	16031	-0.5701044201850891	-0.48558208	No	
row_106	Casq1	16177	-0.5960201621055603	-0.49014616	No	
row_107	Tshz3	16365	-0.6281879544258118	-0.49651176	No	
row_108	Kcnh1	16371	-0.629244863986969	-0.49459127	No	
row_109	Vti1a	16603	-0.6727919578552246	-0.50280696	No	
row_110	Homer1	16638	-0.6778015494346619	-0.50204045	No	
row_111	Gch1	16753	-0.700076699256897	-0.5048385	No	
row_112	Agtpbp1	17062	-0.7643438577651978	-0.5162459	No	
row_113	Foxs1	17067	-0.765048086643219	-0.51381624	No	
row_114	Mtor	17140	-0.7825539708137512	-0.51442146	No	
row_115	Neurog1	17281	-0.8149912357330322	-0.5180105	No	
row_116	Cntnap2	17324	-0.8242279291152954	-0.5171082	No	
row_117	Drd1	17341	-0.8281192183494568	-0.51500934	No	
row_118	Scn1a	17382	-0.8356005549430847	-0.5139772	No	
row_119	Myh14	17459	-0.8555862307548523	-0.51451516	No	
row_120	Fgf14	17755	-0.9358962774276733	-0.5247452	No	
row_121	Tnni1	17883	-0.9714796543121338	-0.52720845	No	
row_122	Myo5a	17954	-0.9877887964248657	-0.527022	No	
row_123	Tpp1	18015	-1.0015459060668945	-0.5263336	No	
row_124	Xrcc1	18134	-1.0377017259597778	-0.5281611	No	
row_125	Rest	18228	-1.0692671537399292	-0.52874327	No	
row_126	Icmt	18327	-1.104200005531311	-0.52943367	No	
row_127	Tnnt1	18607	-1.1978588104248047	-0.53804135	Yes	
row_128	Ptprq	18696	-1.2346688508987427	-0.5378313	Yes	
row_129	Kcnma1	18721	-1.2412559986114502	-0.5346862	Yes	
row_130	Mycbp2	18740	-1.2478994131088257	-0.5312454	Yes	
row_131	Kcnj2	18826	-1.2733005285263062	-0.53076696	Yes	
row_132	Scn4a	18940	-1.3206021785736084	-0.5314013	Yes	
row_133	Grin2b	18961	-1.3321139812469482	-0.527764	Yes	
row_134	Pcdh15	19112	-1.3951938152313232	-0.5298275	Yes	
row_135	Ighmbp2	19188	-1.4214446544647217	-0.52838826	Yes	
row_136	Rbfox2	19359	-1.500234842300415	-0.5310033	Yes	
row_137	Pou4f1	19454	-1.549702525138855	-0.52999085	Yes	
row_138	Atxn2	19537	-1.591929316520691	-0.5282882	Yes	
row_139	Atp2b2	19552	-1.603692650794983	-0.5234508	Yes	
row_140	Stac3	19706	-1.6838328838348389	-0.5246655	Yes	
row_141	Pde8b	19721	-1.6906806230545044	-0.51953113	Yes	
row_142	Dctn1	19894	-1.7913522720336914	-0.5212434	Yes	
row_143	Mylk2	19933	-1.8071227073669434	-0.51680374	Yes	
row_144	Ankfn1	19956	-1.8178074359893799	-0.5115995	Yes	
row_145	Dvl1	19987	-1.830717921257019	-0.50671524	Yes	
row_146	Kcna1	20013	-1.8507243394851685	-0.5015351	Yes	
row_147	Hipk2	20097	-1.8994159698486328	-0.4988283	Yes	
row_148	Tnr	20197	-1.9602714776992798	-0.49664184	Yes	
row_149	Herc1	20371	-2.083742141723633	-0.49740154	Yes	
row_150	Penk	20403	-2.1142210960388184	-0.49159497	Yes	
row_151	Myh7	20471	-2.182003974914551	-0.48719534	Yes	
row_152	Nlgn3	20503	-2.2113587856292725	-0.4810572	Yes	
row_153	Nr4a1	20581	-2.282846450805664	-0.47676837	Yes	
row_154	Slc6a3	20598	-2.3017899990081787	-0.4696389	Yes	
row_155	Dlg4	20700	-2.399399995803833	-0.46604443	Yes	
row_156	Rbfox1	20707	-2.407518148422241	-0.45809892	Yes	
row_157	Ednra	20711	-2.4110100269317627	-0.450005	Yes	
row_158	Itpr1	20749	-2.464432954788208	-0.443276	Yes	
row_159	Dbn1	20755	-2.4739274978637695	-0.4350583	Yes	
row_160	Shank1	20776	-2.4947867393493652	-0.427452	Yes	
row_161	Atp8a2	20780	-2.500635862350464	-0.41905212	Yes	
row_162	Cntnap1	20800	-2.5236318111419678	-0.41130185	Yes	
row_163	Cacna1a	20935	-2.675208568572998	-0.40826762	Yes	
row_164	Nkx6-2	21052	-2.8174848556518555	-0.40392855	Yes	
row_165	Adarb1	21148	-2.948436737060547	-0.39818677	Yes	
row_166	Grin2c	21149	-2.949192762374878	-0.38811913	Yes	
row_167	Abl2	21235	-3.043598175048828	-0.3815974	Yes	
row_168	Dmpk	21316	-3.1956725120544434	-0.37432903	Yes	
row_169	Drd2	21414	-3.364928722381592	-0.3672565	Yes	
row_170	Abl1	21486	-3.4956562519073486	-0.35855445	Yes	
row_171	Gpr88	21547	-3.606764078140259	-0.34897256	Yes	
row_172	Cav3	21574	-3.661421298980713	-0.3376568	Yes	
row_173	Prrt2	21589	-3.709213972091675	-0.3256318	Yes	
row_174	Camk2b	21603	-3.7574777603149414	-0.3133965	Yes	
row_175	Myh10	21704	-4.033782958984375	-0.30417722	Yes	
row_176	Jph3	21729	-4.1219258308410645	-0.29119843	Yes	
row_177	Grin1	21738	-4.157773971557617	-0.2773691	Yes	
row_178	Grin2d	21828	-4.504724979400635	-0.26604158	Yes	
row_179	Bcr	21839	-4.554752349853516	-0.25094813	Yes	
row_180	Gbx1	21850	-4.584926128387451	-0.23575166	Yes	
row_181	Adora2a	21874	-4.675139904022217	-0.22083884	Yes	
row_182	Pnkd	21961	-5.232353210449219	-0.20689088	Yes	
row_183	Adcy5	21990	-5.501686096191406	-0.18938403	Yes	
row_184	Map1a	22013	-5.717719554901123	-0.17086665	Yes	
row_185	Drd3	22045	-6.119754791259766	-0.15138642	Yes	
row_186	Jph4	22048	-6.164365768432617	-0.13043417	Yes	
row_187	Shank3	22081	-6.739193439483643	-0.10888487	Yes	
row_188	Sox2	22115	-7.768250942230225	-0.0838682	Yes	
row_189	Nlgn2	22148	-9.797104835510254	-0.051880118	Yes	
row_190	Otof	22164	-15.39764404296875	1.4726142E-7	Yes	
