NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hexb	726	3.0544331073760986	-0.008461891	No	
row_1	Aplp2	1474	2.138237953186035	-0.025192013	No	
row_2	Slc1a3	1568	2.0564045906066895	-0.012976294	No	
row_3	Gm2a	1726	1.9501869678497314	-0.0045055347	No	
row_4	Nrxn1	3443	1.1579269170761108	-0.072921626	No	
row_5	Hexa	3891	1.020237922668457	-0.08500365	No	
row_6	Clic5	3894	1.0200663805007935	-0.07694674	No	
row_7	Ei24	3944	1.0049912929534912	-0.07113742	No	
row_8	Cdh23	3949	1.002639651298523	-0.06331023	No	
row_9	Ap1s2	4123	0.9579598903656006	-0.06348868	No	
row_10	Myo7a	4570	0.8520078063011169	-0.07686913	No	
row_11	Ush1g	4707	0.8182750344276428	-0.07648868	No	
row_12	Cln8	5889	0.5755645036697388	-0.12534256	No	
row_13	Gaa	5957	0.5642099380493164	-0.123868495	No	
row_14	App	6649	0.4577447474002838	-0.15148646	No	
row_15	Pafah1b1	6901	0.42230966687202454	-0.15947345	No	
row_16	Psap	7484	0.3418172001838684	-0.1830841	No	
row_17	Camta1	7591	0.32852262258529663	-0.1852576	No	
row_18	Pou4f2	10337	0.03069177456200123	-0.30924872	No	
row_19	Gigyf2	11178	-5.239520760369487E-5	-0.34726596	No	
row_20	Aldh1a3	11271	-0.010997355915606022	-0.35134196	No	
row_21	Nbn	11309	-0.014045954681932926	-0.35290435	No	
row_22	Aars	12123	-0.099871426820755	-0.3889023	No	
row_23	Igdcc3	12428	-0.10789767652750015	-0.4017993	No	
row_24	Hmx3	12839	-0.1495947241783142	-0.4191607	No	
row_25	Rubie	12995	-0.16707852482795715	-0.42484137	No	
row_26	Cln3	13056	-0.17469070851802826	-0.42616165	No	
row_27	Pou4f3	13567	-0.22462736070156097	-0.44744965	No	
row_28	Clrn1	14067	-0.28301146626472473	-0.4677735	No	
row_29	Nr4a3	14238	-0.305285781621933	-0.47302917	No	
row_30	Bloc1s4	14272	-0.3090054392814636	-0.47205466	No	
row_31	Tifab	14320	-0.3177056312561035	-0.47164425	No	
row_32	Abr	14779	-0.3743354380130768	-0.48938307	No	
row_33	Nefl	15112	-0.42876046895980835	-0.5009845	No	
row_34	Ush1c	15260	-0.4496269226074219	-0.5040464	No	
row_35	Rac3	15335	-0.4625759720802307	-0.50370085	No	
row_36	Foxs1	17067	-0.765048086643219	-0.5759338	No	
row_37	Neurog1	17281	-0.8149912357330322	-0.57906455	No	
row_38	Myo5a	17954	-0.9877887964248657	-0.6015891	No	
row_39	Tpp1	18015	-1.0015459060668945	-0.59630513	No	
row_40	Rest	18228	-1.0692671537399292	-0.59735966	No	
row_41	Ptprq	18696	-1.2346688508987427	-0.6086342	Yes	
row_42	Kcnma1	18721	-1.2412559986114502	-0.59980625	Yes	
row_43	Pcdh15	19112	-1.3951938152313232	-0.6063137	Yes	
row_44	Rbfox2	19359	-1.500234842300415	-0.6054648	Yes	
row_45	Pou4f1	19454	-1.549702525138855	-0.5973415	Yes	
row_46	Atp2b2	19552	-1.603692650794983	-0.5889227	Yes	
row_47	Pde8b	19721	-1.6906806230545044	-0.5830225	Yes	
row_48	Ankfn1	19956	-1.8178074359893799	-0.579094	Yes	
row_49	Tnr	20197	-1.9602714776992798	-0.5742992	Yes	
row_50	Herc1	20371	-2.083742141723633	-0.5654859	Yes	
row_51	Dlg4	20700	-2.399399995803833	-0.56116647	Yes	
row_52	Rbfox1	20707	-2.407518148422241	-0.54220885	Yes	
row_53	Shank1	20776	-2.4947867393493652	-0.5253602	Yes	
row_54	Cntnap1	20800	-2.5236318111419678	-0.50624454	Yes	
row_55	Cacna1a	20935	-2.675208568572998	-0.49094197	Yes	
row_56	Nkx6-2	21052	-2.8174848556518555	-0.47368833	Yes	
row_57	Grin2c	21149	-2.949192762374878	-0.45447758	Yes	
row_58	Abl2	21235	-3.043598175048828	-0.43401492	Yes	
row_59	Abl1	21486	-3.4956562519073486	-0.41740936	Yes	
row_60	Gpr88	21547	-3.606764078140259	-0.39131713	Yes	
row_61	Camk2b	21603	-3.7574777603149414	-0.36379483	Yes	
row_62	Myh10	21704	-4.033782958984375	-0.3361023	Yes	
row_63	Jph3	21729	-4.1219258308410645	-0.30426607	Yes	
row_64	Bcr	21839	-4.554752349853516	-0.27281982	Yes	
row_65	Adcy5	21990	-5.501686096191406	-0.23566587	Yes	
row_66	Jph4	22048	-6.164365768432617	-0.18900992	Yes	
row_67	Shank3	22081	-6.739193439483643	-0.13663125	Yes	
row_68	Sox2	22115	-7.768250942230225	-0.0760786	Yes	
row_69	Nlgn2	22148	-9.797104835510254	7.240751E-4	Yes	
