NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Adrb2	1559	2.061973810195923	-0.040035952	No	
row_1	Pten	2461	1.529746651649475	-0.058184505	No	
row_2	Nrxn1	3443	1.1579269170761108	-0.08543708	No	
row_3	Grk2	5389	0.6653571128845215	-0.1635343	No	
row_4	Tbc1d24	6580	0.4653056859970093	-0.21045679	No	
row_5	App	6649	0.4577447474002838	-0.20677443	No	
row_6	Igsf11	7230	0.37598901987075806	-0.22744209	No	
row_7	Neto2	8520	0.2142283171415329	-0.28254533	No	
row_8	Prkar1b	9925	0.0683918371796608	-0.34499925	No	
row_9	Prkcz	10458	0.018597783520817757	-0.36877215	No	
row_10	Stx1a	10586	0.007297997362911701	-0.37440506	No	
row_11	Rims1	11689	-0.05342969298362732	-0.42342886	No	
row_12	Drd4	11846	-0.07010097801685333	-0.4294457	No	
row_13	Ssh1	13316	-0.20624113082885742	-0.49280316	No	
row_14	Wnt7a	13317	-0.20639604330062866	-0.48975685	No	
row_15	Gsk3b	13858	-0.257228285074234	-0.5103693	No	
row_16	Grin2a	13944	-0.26698869466781616	-0.51027083	No	
row_17	Rims2	14641	-0.357277512550354	-0.5364581	No	
row_18	Ngfr	14829	-0.38293221592903137	-0.5392589	No	
row_19	Reln	15139	-0.4331698417663574	-0.5468329	No	
row_20	Nlgn1	15748	-0.5255692005157471	-0.5665585	No	
row_21	Baiap2	16078	-0.5795488357543945	-0.57287604	No	
row_22	Cacnb3	16671	-0.6847658753395081	-0.58952874	No	
row_23	Afdn	18158	-1.0437484979629517	-0.6412934	No	
row_24	Rgs4	18704	-1.2374597787857056	-0.6476641	No	
row_25	Grin2b	18961	-1.3321139812469482	-0.63957447	No	
row_26	Stx1b	19983	-1.8288806676864624	-0.6587322	Yes	
row_27	Dvl1	19987	-1.830717921257019	-0.6318473	Yes	
row_28	Grip2	20256	-1.9952524900436401	-0.6145125	Yes	
row_29	Chrna7	20311	-2.0315258502960205	-0.5869691	Yes	
row_30	Neto1	20488	-2.2011992931365967	-0.562436	Yes	
row_31	Nlgn3	20503	-2.2113587856292725	-0.5304303	Yes	
row_32	Ptk2b	20576	-2.2771968841552734	-0.50007457	Yes	
row_33	Dlg4	20700	-2.399399995803833	-0.47022045	Yes	
row_34	Dbn1	20755	-2.4739274978637695	-0.43614742	Yes	
row_35	Shank1	20776	-2.4947867393493652	-0.40022966	Yes	
row_36	Grin2c	21149	-2.949192762374878	-0.37351614	Yes	
row_37	Cux2	21320	-3.20123291015625	-0.33395186	Yes	
row_38	Grin1	21738	-4.157773971557617	-0.29143438	Yes	
row_39	Grin2d	21828	-4.504724979400635	-0.22896987	Yes	
row_40	Shank3	22081	-6.739193439483643	-0.14089362	Yes	
row_41	Nlgn2	22148	-9.797104835510254	7.233809E-4	Yes	
