NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lrrtm2	1677	1.9818345308303833	-0.043323927	No	
row_1	Pten	2461	1.529746651649475	-0.05365696	No	
row_2	Nrxn1	3443	1.1579269170761108	-0.07902311	No	
row_3	Lrp4	4143	0.9537899494171143	-0.09499009	No	
row_4	Cbln1	4161	0.9501491189002991	-0.08020296	No	
row_5	Cdh2	5039	0.7410598397254944	-0.1076949	No	
row_6	Il1rap	5430	0.660209059715271	-0.114507146	No	
row_7	Gap43	6572	0.4669167697429657	-0.15841508	No	
row_8	Nptxr	7057	0.4002493917942047	-0.17373025	No	
row_9	Nptx1	8321	0.23885276913642883	-0.22688402	No	
row_10	Ptprd	10087	0.05345657467842102	-0.30575407	No	
row_11	Numb	10362	0.02828804962337017	-0.31767064	No	
row_12	Ephb2	14710	-0.36536845564842224	-0.50809264	No	
row_13	Grid2	14965	-0.4050266742706299	-0.5129379	No	
row_14	Reln	15139	-0.4331698417663574	-0.5136627	No	
row_15	Nlgn1	15748	-0.5255692005157471	-0.5325287	No	
row_16	Ntrk3	18278	-1.0872966051101685	-0.62899196	No	
row_17	Lrrc4b	19250	-1.4497880935668945	-0.64912814	Yes	
row_18	Lrfn1	19407	-1.518895149230957	-0.6313101	Yes	
row_19	Zdhhc12	19647	-1.6568259000778198	-0.614984	Yes	
row_20	Arhgef9	19723	-1.693378210067749	-0.5906497	Yes	
row_21	Ntng2	19965	-1.8204119205474854	-0.57173586	Yes	
row_22	Lrrtm1	20058	-1.8788074254989624	-0.54513395	Yes	
row_23	Slitrk3	20332	-2.050950527191162	-0.5238917	Yes	
row_24	Nlgn3	20503	-2.2113587856292725	-0.4953696	Yes	
row_25	Sipa1l1	20559	-2.263103485107422	-0.46080455	Yes	
row_26	Ptprs	21053	-2.8193275928497314	-0.43692282	Yes	
row_27	Lrfn4	21587	-3.7003726959228516	-0.40042442	Yes	
row_28	Magi2	21890	-4.751862525939941	-0.33627486	Yes	
row_29	Nrxn2	21891	-4.7520670890808105	-0.25847715	Yes	
row_30	Shank3	22081	-6.739193439483643	-0.1566868	Yes	
row_31	Nlgn2	22148	-9.797104835510254	7.229754E-4	Yes	
