NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ube2w	368	3.983042001724243	0.081309505	Yes	
row_1	Rnf4	445	3.7599987983703613	0.17032607	Yes	
row_2	Ube2b	453	3.7429816722869873	0.2620413	Yes	
row_3	Ube2u	709	3.0968668460845947	0.32666656	Yes	
row_4	Anapc2	863	2.8049709796905518	0.38872266	Yes	
row_5	Anapc7	1260	2.3180112838745117	0.4278279	Yes	
row_6	Cdc16	1454	2.1475470066070557	0.4719124	Yes	
row_7	Ube2d3	1540	2.078111410140991	0.51916856	Yes	
row_8	Ube2l3	1894	1.8390493392944336	0.54843974	Yes	
row_9	Anapc5	1976	1.7915375232696533	0.5888304	Yes	
row_10	Ube2c	2389	1.576862096786499	0.6089897	Yes	
row_11	Anapc4	2553	1.4846144914627075	0.6381295	Yes	
row_12	Ube2e2	2555	1.4843780994415283	0.67458177	Yes	
row_13	Ube2a	3784	1.0511277914047241	0.6449514	No	
row_14	Prkn	6647	0.45823612809181213	0.52692676	No	
row_15	Ube2e3	7023	0.40399104356765747	0.5199192	No	
row_16	Ube2s	7816	0.30209192633628845	0.49156818	No	
row_17	Cdc27	8468	0.21944627165794373	0.46755475	No	
row_18	Rnf26	9829	0.07869106531143188	0.40805122	No	
row_19	Ube2h	10367	0.0277183186262846	0.38447362	No	
row_20	Anapc11	10582	0.007398580200970173	0.37498802	No	
row_21	Cdc23	12492	-0.11372794210910797	0.29154474	No	
row_22	Ube2d2b	13229	-0.1951567679643631	0.2630942	No	
row_23	Anapc13	13694	-0.2350408285856247	0.24791197	No	
row_24	Cdc26	13818	-0.25201261043548584	0.24855185	No	
row_25	Ube2t	14092	-0.28610339760780334	0.24325363	No	
row_26	Anapc10	16470	-0.6499189734458923	0.15185203	No	
row_27	Anapc1	19386	-1.5101808309555054	0.057298027	No	
row_28	Arel1	21012	-2.771852493286133	0.05204179	No	
