NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Npr1	5473	0.6541913151741028	-0.21369682	No	
row_1	Adora2b	7024	0.4039607048034668	-0.26305157	No	
row_2	Npr2	7725	0.31048062443733215	-0.27880287	No	
row_3	Guca1a	8498	0.21632903814315796	-0.30261216	No	
row_4	Rundc3a	9808	0.08080186694860458	-0.35758623	No	
row_5	Nppa	10560	0.009729086421430111	-0.3909962	No	
row_6	Mtnr1b	11117	0.0042746649123728275	-0.41588065	No	
row_7	Thbs1	11728	-0.0570891872048378	-0.4405065	No	
row_8	Pdzd3	12049	-0.09174162894487381	-0.45026985	No	
row_9	Nppb	14368	-0.32580792903900146	-0.53828925	No	
row_10	Nppc	14730	-0.36798200011253357	-0.53579915	No	
row_11	Pde11a	17069	-0.7655439376831055	-0.60226905	No	
row_12	Ptk2b	20576	-2.2771968841552734	-0.6442892	Yes	
row_13	Pde2a	21205	-3.008009672164917	-0.51905656	Yes	
row_14	Pde10a	21960	-5.2295660972595215	-0.2860822	Yes	
row_15	Gucy2d	22021	-5.782472133636475	0.0064562038	Yes	
