NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rsl1d1	54	6.47409725189209	0.05998941	Yes	
row_1	Rplp0	61	6.352139949798584	0.12097487	Yes	
row_2	Nsa2	84	6.0419921875	0.17824537	Yes	
row_3	Rsl24d1	111	5.563326358795166	0.23071882	Yes	
row_4	Rpl5	119	5.467672824859619	0.28312966	Yes	
row_5	Mrpl1	153	5.1628828048706055	0.33142465	Yes	
row_6	Rpl26	167	5.0438232421875	0.37947658	Yes	
row_7	Rpl10	274	4.422651767730713	0.41732967	Yes	
row_8	Rpl7	413	3.8492984771728516	0.44820553	Yes	
row_9	Gtpbp4	543	3.4431684017181396	0.47557217	Yes	
row_10	Snu13	581	3.3731961250305176	0.5064273	Yes	
row_11	Rpl35a	879	2.7701313495635986	0.51970094	Yes	
row_12	Rpl14	1123	2.4586379528045654	0.53241444	Yes	
row_13	Brix1	1389	2.1904449462890625	0.541546	Yes	
row_14	Nop2	1605	2.0295987129211426	0.55138904	Yes	
row_15	Rpl10a	2541	1.4897427558898926	0.5234439	Yes	
row_16	Wdr12	2624	1.4593687057495117	0.53380656	Yes	
row_17	Pak1ip1	2645	1.4516956806182861	0.546901	Yes	
row_18	Npm1	3078	1.2833882570266724	0.5397281	Yes	
row_19	Rrp15	3271	1.2142523527145386	0.54274917	Yes	
row_20	LTO1	3491	1.142883062362671	0.5438602	Yes	
row_21	Ebna1bp2	3511	1.1381691694259644	0.55397636	Yes	
row_22	Mak16	3797	1.0473800897598267	0.55117965	No	
row_23	Rpl24	4863	0.7817754745483398	0.51052433	No	
row_24	Bop1	5368	0.6723668575286865	0.49420083	No	
row_25	Fastkd2	5426	0.6604874134063721	0.49799082	No	
row_26	Rpl11	5582	0.6310943961143494	0.4970626	No	
row_27	Znhit6	5584	0.6305046081542969	0.5030976	No	
row_28	Nop16	5821	0.5866865515708923	0.49807563	No	
row_29	Rpl7a	6018	0.5546086430549622	0.49455443	No	
row_30	Znhit3	6217	0.5218637585639954	0.49062696	No	
row_31	Mrto4	6513	0.4772849977016449	0.48188004	No	
row_32	Nip7	6548	0.4704030752182007	0.48487777	No	
row_33	Nol9	6788	0.4386669397354126	0.4782926	No	
row_34	Nop53	6923	0.41931474208831787	0.47627237	No	
row_35	Rpl6	7902	0.29443445801734924	0.43485436	No	
row_36	Ddx28	8276	0.24417713284492493	0.42032972	No	
row_37	Dhx30	8516	0.21452517807483673	0.41158304	No	
row_38	Zfp622	8663	0.19681531190872192	0.40687412	No	
row_39	Rpl35	8811	0.17745572328567505	0.40193322	No	
row_40	Rpl7l1	8813	0.17722497880458832	0.40359703	No	
row_41	Wdr74	8862	0.17078152298927307	0.40307182	No	
row_42	Eif6	9677	0.0955933928489685	0.3671578	No	
row_43	Rpf2	10193	0.043059300631284714	0.34426776	No	
row_44	Pes1	10227	0.03974764049053192	0.3431577	No	
row_45	Traf7	10554	0.010327011346817017	0.32850483	No	
row_46	Ddx18	11618	-0.046313751488924026	0.28084755	No	
row_47	Gtf3a	11644	-0.04907858371734619	0.2801895	No	
row_48	Nhp2	11994	-0.08599244058132172	0.2652255	No	
row_49	Surf6	12775	-0.1418677270412445	0.2312963	No	
row_50	Nle1	12849	-0.15101994574069977	0.2294492	No	
row_51	Las1l	13128	-0.18431586027145386	0.21864632	No	
row_52	Mrpl20	13983	-0.271688848733902	0.18262033	No	
row_53	Nifk	14273	-0.30902379751205444	0.17252229	No	
row_54	Mdn1	15346	-0.46386322379112244	0.1284844	No	
row_55	Sdad1	15806	-0.5349987149238586	0.11287255	No	
row_56	Rpl38	15922	-0.5530140995979309	0.11300146	No	
row_57	Noc2l	15958	-0.5579585433006287	0.11679829	No	
row_58	Rpl23a	16590	-0.6711804866790771	0.09471621	No	
row_59	Rpf1	16625	-0.6757659316062927	0.09969437	No	
row_60	Rrs1	17025	-0.7587935924530029	0.08895588	No	
row_61	Nvl	18580	-1.1877493858337402	0.030086854	No	
row_62	Heatr3	18606	-1.197721242904663	0.040505774	No	
row_63	Malsu1	18622	-1.205574631690979	0.05145296	No	
row_64	Ppan	18896	-1.299604892730713	0.051631663	No	
row_65	Ftsj3	19192	-1.4231925010681152	0.05200662	No	
row_66	Urb1	22136	-8.548749923706055	0.0012671683	No	
