NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sptlc1	189	4.914304256439209	0.13815434	Yes	
row_1	Asah1	336	4.125797271728516	0.25471404	Yes	
row_2	Acer3	438	3.7773711681365967	0.3629056	Yes	
row_3	Sgpp1	605	3.3146843910217285	0.4543507	Yes	
row_4	Sptlc2	1032	2.5585057735443115	0.51148236	Yes	
row_5	Sptssa	1141	2.4380366802215576	0.57937926	Yes	
row_6	Kdsr	1405	2.17922306060791	0.6325508	Yes	
row_7	Naaa	1451	2.150088310241699	0.6946977	Yes	
row_8	Sptlc3	2393	1.5737265348434448	0.69917625	Yes	
row_9	Plpp3	2548	1.487163782119751	0.7366126	Yes	
row_10	Gba	5094	0.7305657863616943	0.6434849	No	
row_11	Sptssb	5645	0.619267463684082	0.6371312	No	
row_12	Acer2	7489	0.3413555920124054	0.5640888	No	
row_13	Plpp1	8510	0.21557307243347168	0.52445936	No	
row_14	Degs2	8678	0.19500824809074402	0.5227384	No	
row_15	Sphk1	10519	0.01301357988268137	0.44003057	No	
row_16	Acer1	10654	0.004439041018486023	0.4341115	No	
row_17	Asah2	11391	-0.021560383960604668	0.4015166	No	
row_18	Sgpp2	13777	-0.24730883538722992	0.30118966	No	
row_19	Abca2	15890	-0.5473685264587402	0.22214833	No	
row_20	Sphk2	16499	-0.6553293466567993	0.21425173	No	
row_21	Plpp2	19106	-1.3916534185409546	0.1381024	No	
