NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Get1	1342	2.2391066551208496	-0.029734343	No	
row_1	Glrb	1995	1.7823575735092163	-0.03459144	No	
row_2	Aph1c	2226	1.6605974435806274	-0.02205797	No	
row_3	Pten	2461	1.529746651649475	-0.011511939	No	
row_4	Aph1b	2803	1.3938363790512085	-0.0076781544	No	
row_5	Nrxn1	3443	1.1579269170761108	-0.020569302	No	
row_6	Fabp7	6266	0.5146811008453369	-0.14099954	No	
row_7	Prkn	6647	0.45823612809181213	-0.15184623	No	
row_8	Npas3	7673	0.31625327467918396	-0.19380319	No	
row_9	Chd8	8197	0.25372815132141113	-0.21393622	No	
row_10	Ucn	9609	0.10205167531967163	-0.27629542	No	
row_11	Ctnna2	11151	0.003784203203395009	-0.34588662	No	
row_12	Npas1	12752	-0.13927589356899261	-0.41627344	No	
row_13	Mecp2	13312	-0.20594905316829681	-0.43869317	No	
row_14	Glra1	13350	-0.2096315324306488	-0.4374709	No	
row_15	Grin2a	13944	-0.26698869466781616	-0.4605844	No	
row_16	Grin3a	14311	-0.3153371214866638	-0.4727714	No	
row_17	Slitrk6	14376	-0.3269912898540497	-0.471149	No	
row_18	Grid2	14965	-0.4050266742706299	-0.49213064	No	
row_19	Csmd1	15589	-0.5034725666046143	-0.5133348	No	
row_20	Bace1	15601	-0.5050265192985535	-0.506859	No	
row_21	Kcnh1	16371	-0.629244863986969	-0.53292483	No	
row_22	Drd1	17341	-0.8281192183494568	-0.5652836	No	
row_23	Grin2b	18961	-1.3321139812469482	-0.6200595	No	
row_24	Pcdh15	19112	-1.3951938152313232	-0.607575	No	
row_25	Dvl1	19987	-1.830717921257019	-0.6217974	Yes	
row_26	Kcna1	20013	-1.8507243394851685	-0.5973741	Yes	
row_27	Penk	20403	-2.1142210960388184	-0.5857632	Yes	
row_28	Nlgn3	20503	-2.2113587856292725	-0.55970496	Yes	
row_29	Slc6a3	20598	-2.3017899990081787	-0.53217214	Yes	
row_30	Dbn1	20755	-2.4739274978637695	-0.5050646	Yes	
row_31	Grin2c	21149	-2.949192762374878	-0.48210597	Yes	
row_32	Drd2	21414	-3.364928722381592	-0.4475772	Yes	
row_33	Grin1	21738	-4.157773971557617	-0.40476802	Yes	
row_34	Grin2d	21828	-4.504724979400635	-0.34659314	Yes	
row_35	Adora2a	21874	-4.675139904022217	-0.28407678	Yes	
row_36	Drd3	22045	-6.119754791259766	-0.20726372	Yes	
row_37	Otof	22164	-15.39764404296875	4.0396117E-8	Yes	
