NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Xylb	643	3.2238733768463135	0.0897883	Yes	
row_1	Ugt1a6b	1061	2.5329320430755615	0.16431564	Yes	
row_2	Ugt1a1	1288	2.286776542663574	0.23839524	Yes	
row_3	Ugt1a2	1306	2.2674570083618164	0.32120058	Yes	
row_4	Ugt1a9	1307	2.2674570083618164	0.4047736	Yes	
row_5	Ugt1a10	1308	2.2674570083618164	0.4883466	Yes	
row_6	Ugt1a5	1392	2.1878702640533447	0.5652382	Yes	
row_7	Ugt1a6a	1495	2.125056505203247	0.63895667	Yes	
row_8	Sord	1535	2.0835771560668945	0.71399117	Yes	
row_9	Ugt1a7c	1634	2.0104188919067383	0.783665	Yes	
row_10	Akr1a1	2589	1.4698184728622437	0.7947593	Yes	
row_11	Cryl1	4077	0.9708582758903503	0.7633944	No	
row_12	Ugt2b36	9187	0.1432066559791565	0.53796595	No	
row_13	Ugt2b5	11014	0.0042798276990652084	0.45566717	No	
row_14	Prkce	12130	-0.10035532712936401	0.40901607	No	
row_15	Ugt2b37	12238	-0.1045675128698349	0.40803838	No	
row_16	Ugt2b1	12344	-0.10457076132297516	0.40715113	No	
row_17	Dcxr	12410	-0.10661439597606659	0.4081455	No	
row_18	Ugt2a2	14749	-0.3712623715400696	0.31625244	No	
row_19	Ugt2a1	15586	-0.5030432939529419	0.29704222	No	
