NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	37	37		
GOBP_REPRODUCTION	1574		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	13		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	135	132		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GOBP_MITOTIC_SPINDLE_ELONGATION	9		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	25	23		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	20	19		
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	34	34		
GOBP_TRANSITION_METAL_ION_TRANSPORT	110	108		
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	17	16		
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	9		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	10		Rejected!	
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	189	186		
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	16	16		
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	18	18		
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	32	31		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	15	15		
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	7		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	7		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	960		Rejected!	
GOBP_RRNA_MODIFICATION	33	33		
GOBP_MAPK_CASCADE	810		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	45	44		
GOBP_PROTEIN_POLYUBIQUITINATION	255	245		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	19	19		
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	635		Rejected!	
GOBP_LEPTOTENE	6		Rejected!	
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	46	46		
GOBP_ALLANTOIN_METABOLIC_PROCESS	13		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	47	46		
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	72	71		
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	28	28		
GOBP_MITOTIC_CELL_CYCLE	901		Rejected!	
GOBP_M_PHASE	13		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	76	76		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	63	63		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	27	27		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	11		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	16	16		
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	10		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	190	186		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	24	23		
GOBP_PROTEIN_DENEDDYLATION	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	288	272		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	79	78		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	61	60		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	33	33		
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	11		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	23	23		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	8		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	84	83		
GOBP_MITOPHAGY	38	37		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	8		Rejected!	
GOBP_SNORNA_GUIDED_RRNA_PSEUDOURIDINE_SYNTHESIS	5		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35	35		
