NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2-Aa	28	7.4158430099487305	0.22033453	Yes	
row_1	B2m	240	4.585149765014648	0.3478167	Yes	
row_2	Arl8b	343	4.092517852783203	0.46550152	Yes	
row_3	Ctss	1418	2.1716837882995605	0.48188382	Yes	
row_4	Fcgr2b	1618	2.0219855308532715	0.5333159	Yes	
row_5	Ctse	1778	1.9184383153915405	0.5834605	Yes	
row_6	Fcer1g	1826	1.8876019716262817	0.63774264	Yes	
row_7	Cd74	2526	1.4964112043380737	0.6508849	Yes	
row_8	Marchf1	2568	1.4800574779510498	0.6932599	Yes	
row_9	H2-Ob	5080	0.7326907515525818	0.6017343	No	
row_10	Trem2	5468	0.6546565890312195	0.6038162	No	
row_11	Pycard	5656	0.6182198524475098	0.61384314	No	
row_12	H2-DMb1	6555	0.46973854303359985	0.5873179	No	
row_13	H2-Oa	6657	0.45707109570503235	0.59641397	No	
row_14	H2-Eb1	7074	0.3982396721839905	0.58952373	No	
row_15	Unc93b1	7390	0.35388922691345215	0.5858703	No	
row_16	H2-Eb2	7463	0.34395933151245117	0.5928963	No	
row_17	H2-Ab1	7806	0.3035227358341217	0.5865183	No	
row_18	Marchf8	7978	0.2856183350086212	0.58732915	No	
row_19	H2-Ea	10638	0.004854706581681967	0.4673694	No	
row_20	H2-DMa	11193	-0.0016355363186448812	0.44239458	No	
row_21	Ifi30	11455	-0.028565309941768646	0.431459	No	
row_22	Thbs1	11728	-0.0570891872048378	0.42087895	No	
row_23	Traf6	14517	-0.343550443649292	0.30521324	No	
row_24	H2-DMb2	16190	-0.5979228615760803	0.24755746	No	
row_25	Pikfyve	16960	-0.7441984415054321	0.23506042	No	
