NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sec62	12	8.405973434448242	0.113573544	Yes	
row_1	Hspa5	21	7.673996925354004	0.21739091	Yes	
row_2	Ssr3	22	7.6484880447387695	0.32122368	Yes	
row_3	Tram1	50	6.600672721862793	0.40961102	Yes	
row_4	Spcs2	281	4.377917289733887	0.45864555	Yes	
row_5	Srp9	460	3.717325448989868	0.50106305	Yes	
row_6	Herpud1	633	3.2376368045806885	0.5372398	Yes	
row_7	Tram1l1	665	3.1595757007598877	0.57873136	Yes	
row_8	Spcs3	889	2.7556257247924805	0.6060588	Yes	
row_9	Get1	1342	2.2391066551208496	0.6160211	Yes	
row_10	Srp54a	2039	1.7589612007141113	0.60843384	Yes	
row_11	Srp19	2120	1.711462378501892	0.62805116	Yes	
row_12	Zfand2a	2929	1.33967125415802	0.6097083	No	
row_13	Glp1r	4296	0.9144617319107056	0.5603658	No	
row_14	Srp54b	4504	0.8665016293525696	0.5627706	No	
row_15	Sec63	5268	0.6930397152900696	0.53768384	No	
row_16	Chmp4b	5440	0.6587303280830383	0.53889555	No	
row_17	Rab10	6182	0.5275160670280457	0.5125563	No	
row_18	Sec61b	6303	0.5090146064758301	0.5140413	No	
row_19	Edem1	6308	0.5079302191734314	0.5207559	No	
row_20	Srp54c	6636	0.4594433605670929	0.5122094	No	
row_21	Srprb	7168	0.3845875859260559	0.49342394	No	
row_22	Sec61a2	7178	0.38347259163856506	0.49822292	No	
row_23	Arxes2	7361	0.35880565643310547	0.4948657	No	
row_24	Srp14	7907	0.2936534285545349	0.47421277	No	
row_25	Folr1	8058	0.2741696536540985	0.47115326	No	
row_26	Man1a	8219	0.25078871846199036	0.4673243	No	
row_27	Spcs1	8492	0.2175385057926178	0.45798036	No	
row_28	Arxes1	8710	0.19041500985622406	0.4507548	No	
row_29	Get4	9017	0.15492825210094452	0.4390238	No	
row_30	Rab3gap1	9077	0.14836199581623077	0.4383705	No	
row_31	Folr2	9462	0.11866458505392075	0.4226208	No	
row_32	Ubl4a	9872	0.07393001765012741	0.40513355	No	
row_33	Srp72	9922	0.06841064989566803	0.40384698	No	
row_34	Sgta	11574	-0.04180864244699478	0.32977283	No	
row_35	Sec61a1	13110	-0.18208888173103333	0.26284745	No	
row_36	Zfand2b	14438	-0.33466580510139465	0.20739707	No	
row_37	Rab3gap2	15646	-0.5121721625328064	0.15978165	No	
row_38	Macf1	15758	-0.5271801948547363	0.16192012	No	
row_39	Sgtb	16026	-0.5693504810333252	0.15757832	No	
row_40	Sec61g	16399	-0.6341278553009033	0.14936885	No	
row_41	Srp68	16514	-0.6566163897514343	0.15312888	No	
row_42	Srpr	18151	-1.0422954559326172	0.093315095	No	
row_43	Ryr2	19224	-1.435408592224121	0.06433649	No	
row_44	Tram2	19664	-1.6657280921936035	0.06710255	No	
row_45	Bag6	21422	-3.379403829574585	0.03354599	No	
