NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1f3	1895	1.838391661643982	-0.050259504	No	
row_1	Wdr61	5131	0.7219483256340027	-0.18249488	No	
row_2	Nfya	5602	0.6272156834602356	-0.19166927	No	
row_3	Nfyb	5941	0.5665726661682129	-0.19604726	No	
row_4	Wdr82	6760	0.44195979833602905	-0.22449917	No	
row_5	Rtf1	9964	0.06547118723392487	-0.36790475	No	
row_6	Bend3	10272	0.035094667226076126	-0.381096	No	
row_7	H1f2	13332	-0.20837609469890594	-0.51525164	No	
row_8	Ctr9	15364	-0.4673062562942505	-0.5980017	No	
row_9	Ncoa6	15937	-0.5554186105728149	-0.61316264	No	
row_10	Tet2	16222	-0.6035453081130981	-0.6143912	No	
row_11	Ogt	17036	-0.7607010006904602	-0.6364921	No	
row_12	Kmt2a	17641	-0.9026677012443542	-0.64642525	No	
row_13	Nfyc	19036	-1.3659231662750244	-0.68313646	Yes	
row_14	Prdm9	19669	-1.6677677631378174	-0.67963135	Yes	
row_15	H1f4	20053	-1.8754856586456299	-0.66088843	Yes	
row_16	Kmt2e	20667	-2.3718137741088867	-0.64299554	Yes	
row_17	Tet3	20911	-2.6388442516326904	-0.60326004	Yes	
row_18	Kmt2d	21030	-2.7900216579437256	-0.5549738	Yes	
row_19	Arid4a	21461	-3.461315393447876	-0.5078788	Yes	
row_20	Setd1b	21832	-4.517373561859131	-0.4377796	Yes	
row_21	Setd1a	22033	-5.922568321228027	-0.3329988	Yes	
row_22	Kmt2b	22066	-6.324654579162598	-0.21290341	Yes	
row_23	Zfp335	22158	-11.30690860748291	2.7108326E-4	Yes	
