NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lrrtm2	1677	1.9818345308303833	-0.039237652	No	
row_1	Pten	2461	1.529746651649475	-0.046420738	No	
row_2	Nrxn1	3443	1.1579269170761108	-0.06939938	No	
row_3	Cbln1	4161	0.9501491189002991	-0.08428086	No	
row_4	Il1rap	5430	0.660209059715271	-0.12939532	No	
row_5	Gap43	6572	0.4669167697429657	-0.17233445	No	
row_6	Nptxr	7057	0.4002493917942047	-0.18682317	No	
row_7	Nptx1	8321	0.23885276913642883	-0.2394758	No	
row_8	Ptprd	10087	0.05345657467842102	-0.31822157	No	
row_9	Numb	10362	0.02828804962337017	-0.3300778	No	
row_10	Grid2	14965	-0.4050266742706299	-0.5305019	No	
row_11	Reln	15139	-0.4331698417663574	-0.5303351	No	
row_12	Nlgn1	15748	-0.5255692005157471	-0.54811615	No	
row_13	Ntrk3	18278	-1.0872966051101685	-0.64232445	No	
row_14	Lrrc4b	19250	-1.4497880935668945	-0.6594734	Yes	
row_15	Lrfn1	19407	-1.518895149230957	-0.6385329	Yes	
row_16	Zdhhc12	19647	-1.6568259000778198	-0.6188001	Yes	
row_17	Arhgef9	19723	-1.693378210067749	-0.5909854	Yes	
row_18	Ntng2	19965	-1.8204119205474854	-0.5683287	Yes	
row_19	Lrrtm1	20058	-1.8788074254989624	-0.53786516	Yes	
row_20	Slitrk3	20332	-2.050950527191162	-0.51240605	Yes	
row_21	Nlgn3	20503	-2.2113587856292725	-0.47933835	Yes	
row_22	Sipa1l1	20559	-2.263103485107422	-0.44012228	Yes	
row_23	Ptprs	21053	-2.8193275928497314	-0.41044292	Yes	
row_24	Lrfn4	21587	-3.7003726959228516	-0.3663361	Yes	
row_25	Nrxn2	21891	-4.7520670890808105	-0.2924606	Yes	
row_26	Shank3	22081	-6.739193439483643	-0.17681998	Yes	
row_27	Nlgn2	22148	-9.797104835510254	7.229203E-4	Yes	
