NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ifngr2	141	5.2306227684021	0.044347	No	
row_1	Adrb2	1559	2.061973810195923	2.1542537E-4	No	
row_2	Ifng	2416	1.5574417114257812	-0.023420053	No	
row_3	Crhbp	2926	1.3404182195663452	-0.033456095	No	
row_4	Nrxn1	3443	1.1579269170761108	-0.045578793	No	
row_5	Cnih3	4066	0.9742398262023926	-0.0642802	No	
row_6	Slurp2	4500	0.8671359419822693	-0.075466745	No	
row_7	Chrna4	5130	0.7222144603729248	-0.09692916	No	
row_8	Ifngr1	5177	0.713119387626648	-0.092094935	No	
row_9	Ccl2	5539	0.6389646530151367	-0.102235846	No	
row_10	Park7	6350	0.5013163089752197	-0.13403215	No	
row_11	Dlgap1	6421	0.4927757978439331	-0.13242103	No	
row_12	Shisa6	6426	0.4925086498260498	-0.12782556	No	
row_13	App	6649	0.4577447474002838	-0.13343327	No	
row_14	Npcd	6720	0.4481518864631653	-0.13225494	No	
row_15	Nptxr	7057	0.4002493917942047	-0.14357957	No	
row_16	Cacng3	7470	0.3429949879646301	-0.15889901	No	
row_17	Rasgrf1	7792	0.3051999807357788	-0.1704666	No	
row_18	Nptx2	8052	0.2753892242908478	-0.17951736	No	
row_19	Nptx1	8321	0.23885276913642883	-0.18932979	No	
row_20	Neto2	8520	0.2142283171415329	-0.19621304	No	
row_21	Ccr2	10484	0.016219718381762505	-0.28489533	No	
row_22	Cacng5	10584	0.0073312814347445965	-0.28930467	No	
row_23	Rph3a	11632	-0.04800089821219444	-0.3362233	No	
row_24	Klhl24	11650	-0.049597881734371185	-0.33651164	No	
row_25	Cfl1	12166	-0.10435895621776581	-0.35880694	No	
row_26	Mef2c	12427	-0.10785149037837982	-0.3695278	No	
row_27	Crh	12453	-0.10980025678873062	-0.36959434	No	
row_28	Cacng4	12608	-0.1243501603603363	-0.37535793	No	
row_29	Slc6a9	13140	-0.18544268608093262	-0.39759097	No	
row_30	Homer3	13209	-0.19262605905532837	-0.39880028	No	
row_31	Grin2a	13944	-0.26698869466781616	-0.42942962	No	
row_32	Dapk1	14463	-0.33808156847953796	-0.44959396	No	
row_33	Shisa9	14499	-0.34141460061073303	-0.4478668	No	
row_34	Ephb2	14710	-0.36536845564842224	-0.45382732	No	
row_35	Pate1	14808	-0.3797248601913452	-0.45453456	No	
row_36	Reln	15139	-0.4331698417663574	-0.46526837	No	
row_37	Cacng2	15411	-0.4748912751674652	-0.4729274	No	
row_38	Dlgap4	15555	-0.4989699423313141	-0.47456	No	
row_39	Shisa8	15582	-0.5024535655975342	-0.47086373	No	
row_40	Nlgn1	15748	-0.5255692005157471	-0.473234	No	
row_41	Homer1	16638	-0.6778015494346619	-0.506894	No	
row_42	Pate4	17393	-0.8382143974304199	-0.53288853	No	
row_43	Ppargc1a	18003	-0.9983888864517212	-0.5507674	No	
row_44	Rasgrf2	18187	-1.0526665449142456	-0.54884034	No	
row_45	Src	18217	-1.0672061443328857	-0.5398027	No	
row_46	Cacng7	18676	-1.2291693687438965	-0.54860955	No	
row_47	Psca	19133	-1.401706576347351	-0.55565256	Yes	
row_48	Begain	19276	-1.46341872215271	-0.5478864	Yes	
row_49	Mapk8ip2	19317	-1.4796457290649414	-0.53534657	Yes	
row_50	Cnih2	19620	-1.6432418823242188	-0.53307754	Yes	
row_51	Prrt1	20063	-1.8812776803970337	-0.53483593	Yes	
row_52	Arc	20242	-1.98550546169281	-0.5236356	Yes	
row_53	Shisa7	20293	-2.0208775997161865	-0.5062994	Yes	
row_54	Neto1	20488	-2.2011992931365967	-0.4937313	Yes	
row_55	Nlgn3	20503	-2.2113587856292725	-0.47291842	Yes	
row_56	Akap9	20526	-2.236360788345337	-0.45222515	Yes	
row_57	Ptk2b	20576	-2.2771968841552734	-0.43235776	Yes	
row_58	Dlg4	20700	-2.399399995803833	-0.41465423	Yes	
row_59	Shank1	20776	-2.4947867393493652	-0.39385328	Yes	
row_60	Gsg1l	20818	-2.540433883666992	-0.37107086	Yes	
row_61	Oprm1	20887	-2.6092584133148193	-0.34884292	Yes	
row_62	Dlgap2	21000	-2.761375665664673	-0.32713103	Yes	
row_63	Cacng8	21513	-3.5412275791168213	-0.31595868	Yes	
row_64	Dlgap3	21734	-4.14078950881958	-0.28575653	Yes	
row_65	Mink1	21974	-5.343837738037109	-0.24474673	Yes	
row_66	Shank3	22081	-6.739193439483643	-0.18418513	Yes	
row_67	Rgs9	22145	-9.5723237991333	-0.09420089	Yes	
row_68	Nlgn2	22148	-9.797104835510254	7.2404643E-4	Yes	
