NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Nrxn1	3443	1.1579269170761108	-0.1201077	No	
row_1	Ext1	7011	0.40578150749206543	-0.2687883	No	
row_2	Nrxn3	8389	0.2298264056444168	-0.3239496	No	
row_3	Celf6	9014	0.1552366465330124	-0.34738597	No	
row_4	Srpx2	12738	-0.1378651112318039	-0.51129425	No	
row_5	Shank2	13434	-0.2203216850757599	-0.5359489	No	
row_6	Brinp1	13661	-0.23164092004299164	-0.5390791	No	
row_7	Tifab	14320	-0.3177056312561035	-0.5590884	No	
row_8	Foxp2	16235	-0.6052327752113342	-0.6270326	No	
row_9	Gli3	16463	-0.6492630839347839	-0.6174522	No	
row_10	Neurog1	17281	-0.8149912357330322	-0.6294524	No	
row_11	Cntnap2	17324	-0.8242279291152954	-0.6061739	No	
row_12	Myh14	17459	-0.8555862307548523	-0.586092	No	
row_13	Nlgn3	20503	-2.2113587856292725	-0.65596104	Yes	
row_14	Dlg4	20700	-2.399399995803833	-0.59152484	Yes	
row_15	Shank1	20776	-2.4947867393493652	-0.51871115	Yes	
row_16	Auts2	21446	-3.427396774291992	-0.44423515	Yes	
row_17	Foxp1	21722	-4.109981536865234	-0.33111852	Yes	
row_18	Nrxn2	21891	-4.7520670890808105	-0.19355835	Yes	
row_19	Shank3	22081	-6.739193439483643	0.003748073	Yes	
