NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	Details ...	103	-0.5904774	-2.0559447	0.0	0.014679906	0.015	3462	tags=37%, list=16%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	Details ...	42	-0.6857255	-2.0547042	0.0	0.007339953	0.015	2183	tags=38%, list=10%, signal=42%	
GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	Details ...	70	-0.61849564	-2.0135071	0.0	0.01170511	0.036	3470	tags=41%, list=16%, signal=49%	
GOBP_NEUROMUSCULAR_PROCESS	GOBP_NEUROMUSCULAR_PROCESS	Details ...	191	-0.5421305	-2.0110548	0.0	0.009513867	0.039	3559	tags=34%, list=16%, signal=40%	
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	Details ...	60	-0.6032328	-1.9225994	0.0	0.053137686	0.245	2183	tags=33%, list=10%, signal=37%	
GOBP_HISTONE_H3_K4_METHYLATION	GOBP_HISTONE_H3_K4_METHYLATION	Details ...	70	-0.5826901	-1.8978766	0.0	0.06832566	0.353	2497	tags=29%, list=11%, signal=32%	
GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	Details ...	28	-0.6861877	-1.8952367	0.0018796993	0.061508425	0.367	2916	tags=50%, list=13%, signal=58%	
GOBP_HISTONE_H3_K4_TRIMETHYLATION	GOBP_HISTONE_H3_K4_TRIMETHYLATION	Details ...	24	-0.71168077	-1.8926606	0.0	0.057106093	0.385	2497	tags=42%, list=11%, signal=47%	
GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	Details ...	26	-0.6979639	-1.8879536	0.0	0.055410977	0.41	2849	tags=46%, list=13%, signal=53%	
GOBP_STARTLE_RESPONSE	GOBP_STARTLE_RESPONSE	Details ...	38	-0.6470742	-1.8869822	0.0017921147	0.050650112	0.414	2179	tags=34%, list=10%, signal=38%	
