NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	142	0.5695814	2.1644192	0.0	0.0031335321	0.003	2947	tags=32%, list=13%, signal=36%	
GOBP_URONIC_ACID_METABOLIC_PROCESS	GOBP_URONIC_ACID_METABOLIC_PROCESS	Details ...	20	0.7947593	2.095513	0.0	0.0072315307	0.014	2589	tags=55%, list=12%, signal=62%	
GOBP_CELLULAR_GLUCURONIDATION	GOBP_CELLULAR_GLUCURONIDATION	Details ...	15	0.85748434	2.0623004	0.0	0.008559899	0.025	1634	tags=53%, list=7%, signal=58%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	Details ...	166	0.5359303	2.059618	0.0	0.0066790706	0.026	2741	tags=27%, list=12%, signal=30%	
GOBP_ESTROGEN_METABOLIC_PROCESS	GOBP_ESTROGEN_METABOLIC_PROCESS	Details ...	32	0.6828365	2.0437973	0.0	0.008231449	0.04	4362	tags=50%, list=20%, signal=62%	
GOBP_DE_NOVO_PROTEIN_FOLDING	GOBP_DE_NOVO_PROTEIN_FOLDING	Details ...	37	0.6713271	2.0225506	0.0	0.011341961	0.066	2628	tags=35%, list=12%, signal=40%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	73	0.58853483	2.015344	0.0	0.011782042	0.08	3547	tags=36%, list=16%, signal=42%	
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	Details ...	63	0.59172297	2.0001698	0.0	0.01420114	0.109	2628	tags=30%, list=12%, signal=34%	
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	Details ...	15	0.8083554	1.9845264	0.0	0.016068306	0.138	646	tags=27%, list=3%, signal=27%	
GOBP_SPHINGOID_METABOLIC_PROCESS	GOBP_SPHINGOID_METABOLIC_PROCESS	Details ...	22	0.7366126	1.981389	0.0	0.015182643	0.143	2548	tags=45%, list=11%, signal=51%	
GOBP_PROTEIN_K11_LINKED_UBIQUITINATION	GOBP_PROTEIN_K11_LINKED_UBIQUITINATION	Details ...	29	0.67458177	1.9625689	0.0	0.020018505	0.201	2555	tags=45%, list=12%, signal=51%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	46	0.62805116	1.9525372	0.0	0.02076389	0.221	2120	tags=26%, list=10%, signal=29%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	26	0.6932599	1.942334	0.0	0.022364037	0.251	2568	tags=35%, list=12%, signal=39%	
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	Details ...	117	0.5154504	1.9209204	0.0	0.02980593	0.337	2642	tags=28%, list=12%, signal=32%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	19	0.7341076	1.9009234	0.0	0.03885864	0.428	2120	tags=37%, list=10%, signal=41%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	67	0.55397636	1.8907142	0.0	0.043474242	0.486	3511	tags=33%, list=16%, signal=39%	
