MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		positive regulation of inflammatory response			IMP		J:44110 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		negative regulation of cytokine production involved in inflammatory response			IMP		J:146101 	
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15		negative regulation of cytokine production involved in inflammatory response			IMP		J:146101 	
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		regulation of inflammatory response			IMP		J:273578 	
MGI:107771	Abr	active BCR-related gene	11		negative regulation of inflammatory response			IMP	MGI:2388713 	J:153997 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		positive regulation of inflammatory response			ISO	RGD:2493 	J:155856 	
MGI:1913440	Acer3	alkaline ceramidase 3	7		inflammatory response			IMP		J:252108 	
MGI:1097689	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	1		inflammatory response			IBA	PTN000366772 	J:265628 	
MGI:1097689	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	1		inflammatory response			IMP	MGI:1888977 	J:64222 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		inflammatory response			IEA	IPR033037 	J:72247 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of inflammatory response			IDA		J:196955 	
MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	9		negative regulation of inflammatory response	regulates a function/process that has the participant peritoneal macrophage		IMP	MGI:2180086 	J:67213 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:104847 	J:91943 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:99401 	J:95142 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:99402 	J:128038 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IMP	MGI:1857117 MGI:2681791 	J:72057 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IMP	MGI:1857117 MGI:2683027 	J:63493 J:91943 J:95142 J:128038 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		inflammatory response			IBA	PTN002628675 	J:265628 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		inflammatory response			ISO	P78325 	J:164563 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		leukocyte migration involved in inflammatory response			IMP		J:172944 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of acute inflammatory response			IMP		J:173132 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of inflammatory response			IDA		J:172958 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		production of molecular mediator involved in inflammatory response			IDA		J:219083 	
MGI:2146046	Adamts12	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12	15		regulation of inflammatory response			ISO	P58397 	J:164563 	
MGI:99677	Adcy1	adenylate cyclase 1	11		neuroinflammatory response			IMP		J:107678 	
