"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",60.1749087908307,-0.32954091161023,0.144546039356212,-2.27983356083611,0.0226175617189116,0.184640647092079
"Gm19938",110.445453149557,0.607152702193727,0.256715727715636,2.36507793112805,0.0180262772777664,0.168292915659007
"Gm10568",0.0211466388257989,0.200326181087515,2.95661270345986,0.0677553001287897,0.945980427275249,NA
"Rp1",0.3201881229106,-0.341003472976797,1.15579085518782,-0.295039082067649,0.767964024653736,NA
"Sox17",202.075739913764,-0.153883527185588,0.0861243378790362,-1.78676006080559,0.073976277079916,0.314100197255024
"Mrpl15",566.626969285272,0.0987822701191197,0.0523540060080204,1.88681397377665,0.0591853509503561,0.283193240796626
"Lypla1",210.025024108002,-0.207586083453426,0.0689500937696073,-3.01067151767862,0.00260670680308031,0.0671208747543858
"Gm19860",0.816217044634669,0.961830225922108,0.867186481241822,1.1091388608189,0.267370282776681,NA
"Tcea1",1023.68643915812,-0.023904246536218,0.0295992039065005,-0.807597616872671,0.419322259076148,0.71000672461199
"Rgs20",1183.27456696238,0.0996906976788896,0.0464939808141535,2.1441635225294,0.0320197867337464,0.215162199963424
"Atp6v1h",2663.6289578249,0.0481206236590787,0.0331513478531882,1.45154350502376,0.146628577132909,0.433681851767781
"Oprk1",222.76078170278,-0.0425737147016333,0.0989220262750313,-0.430376492524185,0.666921792461943,0.865609400240933
"Npbwr1",29.7199394019446,0.36341827935109,0.125935471392514,2.88574994267018,0.0039048226874531,0.0841946133545227
"Rb1cc1",749.923288473339,-0.10129703745853,0.0545427232197325,-1.85720535167343,0.0632819438972796,0.292174419525737
"Fam150a",2.25854572468513,0.163828234118832,0.547008473912062,0.299498530520331,0.764559693078712,0.911977520838034
"St18",98.9333675869885,-0.241876076484704,0.10225675152195,-2.36538001535071,0.0180115785568371,0.168292915659007
"Pcmtd1",1721.40596306353,-0.0852419167385671,0.0368390125476075,-2.31390340955551,0.0206730210557171,0.178020371011409
"Sntg1",168.622987978159,-0.0717769018644299,0.0715058205637081,-1.00379103824814,0.31547934490766,0.623914104959366
"Rrs1",576.370876493314,0.0496662398770175,0.0392693362092423,1.26475883402705,0.205957792380863,0.508805967874517
"Adhfe1",331.180149785487,0.0867462445007814,0.0485229629009155,1.78773593603339,0.0738186210288192,0.313787438470553
"2610203C22Rik",7.37131374619954,-0.394205110336754,0.308130639143484,-1.27934408416031,0.200775914986442,0.50320087255761
"3110035E14Rik",2124.45106546182,-0.105403078639692,0.109366318688656,-0.963761786110346,0.3351653694879,0.641809740447354
"Mybl1",10.395202990834,-0.156269659570379,0.230096759066814,-0.679147590796802,0.497044350713447,0.763677117488445
"Vcpip1",399.017466522475,-0.077743255603682,0.0625520007796388,-1.24285801628568,0.213920159014914,0.516809740274533
"1700034P13Rik",2.83682647174098,-0.608674024092355,0.390891122365274,-1.55714466066479,0.119436143646049,0.396646224879444
"Sgk3",275.529808604546,-0.107482621654905,0.064684599491867,-1.66164160401765,0.0965846562704396,0.357861528724714
"Gm6195",0.953585076399243,0.337932172683538,0.622320864075583,0.543019191852927,0.587116588592816,NA
"6030422M02Rik",2.82792808895195,-0.890321996024376,0.366773491051332,-2.42744368867097,0.0152056471609437,0.156613906472801
"Snhg6",250.914049435637,-0.09940760640532,0.0942998539827005,-1.05416500881917,0.291807377112003,0.602533323091855
"Snord87",0.720597509631781,-0.0537874610700472,0.798499885199676,-0.0673606371985851,0.946294604947373,NA
"Gm10567",4.32674361496804,-0.348762318462778,0.3090524089216,-1.12848924128998,0.259113357991332,0.569867796681745
"Tcf24",0.717816057024401,0.114744514011195,0.908840837704068,0.126253695092603,0.899531108834305,NA
"Ppp1r42",9.76468379799832,-0.364378567103342,0.249566564538497,-1.46004561058553,0.144277539051519,0.430537665226777
"Cops5",1484.70500039518,-0.00589767536780757,0.0383906477936374,-0.153622710393155,0.877907229197983,0.958964078712193
