"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",63.4709055434327,0.513630413485716,0.313563393919634,1.63804329027437,0.101412663540415,0.999997369958668
"Gm19938",117.125954193425,0.544332580116401,0.322162840810044,1.68961938238357,0.0911007953895109,0.999997369958668
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0.312722939614487,-1.81596688934769,2.64005043420034,-0.68785310531302,0.491545290104792,NA
"Sox17",197.215174815986,-0.0383289665759235,0.179306772722684,-0.213761956639548,0.83073269340016,0.999997369958668
"Mrpl15",568.752586910017,-0.220451179050057,0.137922931724409,-1.59836494405841,0.109961781649393,0.999997369958668
"Lypla1",238.380835831179,0.0947473504574751,0.154405064514884,0.613628515069479,0.53946083604932,0.999997369958668
"Gm19860",0.580833538480394,0.87115275769628,2.29157084104412,0.380155281300121,0.703830152038967,NA
"Tcea1",1076.65417047955,-0.0210478369358285,0.0916633594971219,-0.229621050889908,0.818386247665154,0.999997369958668
"Rgs20",1071.09529266272,-0.0391201957889362,0.0958824922670428,-0.408001449106916,0.683272611020813,0.999997369958668
"Atp6v1h",2679.5356337527,-0.0627029189848727,0.0634677888453338,-0.987948692173204,0.323177776763863,0.999997369958668
"Oprk1",210.79966922713,-0.240368105230926,0.156076214384782,-1.54006878100166,0.123543588593386,0.999997369958668
"Npbwr1",26.9096584186897,0.2902470085115,0.275309035788134,1.05425892644825,0.291764388066705,0.999997369958668
"Rb1cc1",763.321642522246,-0.0362866539223408,0.12086882781993,-0.300215155361651,0.764013045653059,0.999997369958668
"Fam150a",1.60586991428334,-0.790273776908094,1.22075218647194,-0.647366259643608,0.517394927361121,0.999997369958668
"St18",112.549626386444,-0.0988838541934886,0.193812927976604,-0.510202571241404,0.609909551005233,0.999997369958668
"Pcmtd1",1763.54632183478,-0.00392090292467543,0.102595420171795,-0.0382171340407781,0.969514559886181,0.999997369958668
"Sntg1",174.471153031395,-0.0776480912055114,0.142696601371155,-0.544148146903289,0.586339530776854,0.999997369958668
"Rrs1",561.33259619128,-0.0820853579499842,0.105788485075081,-0.775938495496233,0.437785301739032,0.999997369958668
"Adhfe1",312.503759299573,0.00733288061171948,0.113547430482122,0.0645798903646179,0.948508496444915,0.999997369958668
"2610203C22Rik",8.06434392659902,-0.301742870662461,0.579821703387857,-0.52040630576503,0.602780415981557,0.999997369958668
"3110035E14Rik",2033.02621974867,0.0383394641070097,0.17941971000537,0.21368591057171,0.830791999312287,0.999997369958668
"Mybl1",12.0514561922908,0.13509548618565,0.573230340196411,0.235673998238405,0.813685648011288,0.999997369958668
"Vcpip1",425.823900732556,0.136030276328901,0.167910627872394,0.810134998913107,0.417862591007918,0.999997369958668
"1700034P13Rik",3.23780068734856,1.49996886069351,0.838162993231978,1.78959089437914,0.0735197033912259,0.999997369958668
