"","B1116","B1117","B1118","B1119","B1120","B2111","B2112","B2113","B2114","B2115"
"Xkr4",94.4796449325955,44.9103346809978,48.8971549186106,45.5315244867197,30.3860705005663,51.8319052040239,42.2125065978479,42.9914479325146,75.0016238449002,50.6854864582307
"Gm19938",137.325065309005,88.125939751392,148.914062706678,59.9099006404206,47.0493994847478,67.4637496306343,62.4010967098622,63.0541236343547,488.054045019713,170.303234499655
"Gm10568",0,0,0,0,0,0,0,0,0,0
"Rp1",0,0.847364805301846,1.11129897542297,1.19819801280841,0,0.822728654032126,0,0,0,0
"Sox17",139.522266353949,227.093767820895,217.814599182902,197.702672113388,226.425235020349,223.782193896738,160.591057709204,210.180412114516,123.915726352444,210.85162366624
"Mrpl15",564.680668550629,467.745372526619,659.00029242582,660.207105057435,739.067650239579,519.141780694271,568.033512697128,627.675139814713,775.016779730635,609.239547227933
"Lypla1",263.66412539329,244.041063926932,220.037197133748,251.621582689767,184.276814648595,258.336797366088,210.14486980233,176.742619278115,179.351709194326,233.153237707861
"Gm19860",0,0,0,0,1.96039164519782,0,0,0.955365509611435,0,3.04112918749384
"Tcea1",1054.65650157316,1084.62695078636,959.051015790021,1179.02684460348,1196.81909939327,1063.78814966354,1020.44146384363,1038.48230894763,1081.54515544457,1056.28553778953
"Rgs20",1029.3886895563,1149.8740407946,1133.52495493143,935.79264800337,1231.12595318423,976.578912336133,1157.17327869318,1207.58200414885,984.803930485211,1239.76699876832
"Atp6v1h",2806.92433491606,2719.19366021362,2822.69939757434,2637.23382619132,2833.74612313345,2669.75448233425,2593.31616620692,2592.86199308543,3060.9358369165,3127.29451447283
"Oprk1",238.396313376433,252.51471197995,173.362640165983,258.810770766617,229.365822488145,204.859434853999,192.709269251045,238.841377402859,132.611566798229,247.345173916166
"Npbwr1",15.3804073146086,29.6577681855646,22.2259795084593,31.1531483330187,23.5246997423739,39.490975393542,26.6122324203824,30.5716963075659,23.9135612259102,31.425001604103
"Rb1cc1",801.97838140459,888.038315956334,657.888993450397,847.125995055548,706.721188093815,806.274080951483,808.461267667479,735.631442400805,585.8822500348,740.008102290168
"Fam150a",0,1.69472961060369,0,3.59459403842524,4.90097911299456,0,0,0.955365509611435,4.34792022289276,5.06854864582307
"St18",118.64885642698,127.104720795277,97.7943098372211,149.774751601052,94.0987989694955,143.977514455622,108.284256055349,112.733130134149,79.3495440677929,102.384682645626
"Pcmtd1",1954.41032947776,1960.80215946847,1574.71064817434,1687.06280203424,1736.90699764527,1703.87104250053,1922.5043765759,1811.37300622328,1570.68618052001,1697.96379635073
"Sntg1",197.748094044967,206.75701249365,184.475629920213,159.360335703519,155.851135793227,184.291218503196,158.755731335385,181.519446826173,150.0032476898,155.097588562186
"Rrs1",518.539446606803,576.208067605255,628.995220089399,582.324234224889,608.701605833924,598.946460135388,558.85688082803,618.121484718598,619.578631762219,566.663738603019
"Adhfe1",315.298349949476,291.493493023835,308.941115167585,303.144097240528,354.830887780806,338.141476807204,346.876684651881,320.047445719831,248.918432760611,362.908083040932
"2610203C22Rik",9.88740470224837,5.08418883181108,10.0016907788067,8.38738608965889,11.7623498711869,5.75910057822488,5.50597912145843,0.955365509611435,4.34792022289276,5.06854864582307
"3110035E14Rik",1800.60625633168,2658.18339423189,1841.42240227586,1646.32406959876,2180.93570528258,1685.77101211183,2127.14326725677,1246.75199004292,1695.68888692818,1616.86701801756
"Mybl1",21.9720104494408,17.7946609113388,11.1129897542297,5.99099006404206,0.980195822598911,9.05001519435339,11.9296214298266,6.68755856728005,8.69584044578552,11.1508070208107
"Vcpip1",505.356240337139,465.203278110713,298.939424388778,401.396334290818,376.395195877982,427.818900096705,381.747885754451,353.485238556231,367.399258834438,388.250826270047
"1700034P13Rik",2.19720104494408,0,2.22259795084593,2.39639602561683,1.96039164519782,0,0.917663186909738,3.82146203844574,0,1.01370972916461
"Sgk3",265.861326438234,288.951398607929,276.713444880319,329.504453522313,291.118159311877,352.12786392575,277.134282446741,312.404521642939,219.569971256085,259.509690666141
"Gm6195",0,0.847364805301846,0,0,0.980195822598911,0,0.917663186909738,0,1.08698005572319,1.01370972916461
"6030422M02Rik",5.4930026123602,5.93155363711292,2.22259795084593,2.39639602561683,0.980195822598911,0,3.67065274763895,3.82146203844574,1.08698005572319,4.05483891665845
"Snhg6",241.692114943849,238.109510289819,218.925898158325,312.729681342996,420.504007894933,226.250379858835,227.580470353615,311.449156133328,230.439771813316,208.82420420791
"Snord87",1.09860052247204,0,0,2.39639602561683,0,0,0,0,0,0
"Gm10567",2.19720104494408,5.93155363711292,2.22259795084593,7.18918807685048,6.86137075819238,3.2909146161285,0.917663186909738,2.86609652883431,1.08698005572319,2.02741945832923
"Tcf24",3.29580156741612,0,0,0,0.980195822598911,0.822728654032126,0,0,2.17396011144638,4.05483891665845
"Ppp1r42",5.4930026123602,15.2525664954332,10.0016907788067,22.7657622433598,7.84156658079129,10.6954725024176,11.9296214298266,16.2412136633944,7.60886039006233,4.05483891665845
"Cops5",1405.11006824174,1407.47294160637,1569.15415329723,1543.27904049724,1682.99622740233,1465.27973283122,1400.35402322426,1619.34453879138,1446.77045416757,1527.66056185107
"Cspp1",235.100511809017,389.787810438849,292.27163053624,466.099026982472,395.018916507361,370.227894314457,381.747885754451,396.476686488746,138.046467076845,329.455661978499
"Arfgef1",1208.46057471925,1251.55781743083,1030.17415021709,1105.93676582216,1093.89853802039,1095.05183851676,1114.04310890842,1055.67888812064,1115.24153717199,1128.25892856021
"Cpa6",17.5776083595527,5.08418883181108,7.77909282796077,7.18918807685048,12.7425456937858,9.87274384838551,6.42364230836817,5.73219305766861,7.60886039006233,16.2193556666338
"Prex2",498.764637202307,481.303209411449,290.049032585394,418.171106470136,349.929908667811,457.437131641862,412.948434109382,403.164245056026,369.573218945885,468.333894874051
"A830018L16Rik",716.287540651771,903.290882451768,696.784457590201,657.810709031819,699.859817335623,724.823944202303,710.271306668137,615.255388189764,545.663987973042,772.446813623435
"4932411L15",0,0,0,0,0,0.822728654032126,0,0,0,0
"Sulf1",294.424940022507,327.930179651814,343.391383405697,492.459383264258,273.474634505096,459.082588949926,397.348159931917,225.466260268299,213.048090921745,276.742756061939
"Slco5a1",107.66285120226,139.815192874805,82.2361241812996,111.432415191182,123.504673647463,93.7910665596624,124.802193419724,134.706536855212,84.7844443464089,132.795974520564
"Prdm14",0,0,0,0,0.980195822598911,0,0,0.955365509611435,0,0
"Ncoa2",1028.29008903383,998.195740645574,705.674849393584,865.098965247674,857.671344774047,934.619750980495,878.203669872619,726.077787304691,669.579714325485,801.844395769209
"Tram1",437.243007943872,441.477063562262,387.843342422616,510.432353456384,501.860261170643,463.196232220087,463.419909389418,455.709348084655,495.662905409775,563.622609415525
"Lactb2",209.83269979216,174.55714989218,144.468866804986,213.279246279897,100.960169727688,176.886660616907,179.861984634309,132.795805835989,213.048090921745,163.207266395503
"Xkr9",0,0,0,0,0,0,0,0,0,0
"Gm5523",0,0,0,0,0.980195822598911,0,3.67065274763895,3.82146203844574,0,1.01370972916461
"Eya1",126.339060084285,100.83641183092,85.5700211075685,91.0630489734394,95.0789947920944,86.3865086733732,122.049203858995,109.867033605315,90.2193446250248,100.357263187297
"Msc",20.8734099269688,33.047227406772,31.1163713118431,50.3243165379533,34.3068537909619,28.7955028911244,53.2244648407648,26.7502342691202,33.6963817274189,29.3975821457738
"Trpa1",1.09860052247204,1.69472961060369,0,2.39639602561683,1.96039164519782,0,2.75298956072921,0,1.08698005572319,3.04112918749384
"Kcnb2",36.2538172415774,53.3839827340163,30.0050723364201,45.5315244867197,38.2276370813575,27.9727742370923,30.2828851680214,22.9287722306744,41.3052421174812,31.425001604103
"Terf1",156.00127419103,158.457218591445,166.694846313445,173.73871185722,152.91054832543,187.582133119325,174.35600551285,151.903116028218,158.699088135586,194.632267999606
"Gm106",6.59160313483225,16.9472961060369,25.5598764347282,11.9819801280841,26.4652872101706,18.1000303887068,9.17663186909738,13.3751171345601,7.60886039006233,6.08225837498768
"Gm7634",0,0,0,0,0,0,0,0,0,0
"4930444P10Rik",2.19720104494408,16.9472961060369,7.77909282796077,33.5495443586356,15.6831331615826,10.6954725024176,11.9296214298266,17.1965791730058,9.78282050150871,17.2330653957984
"Rpl7",7091.46637255702,5805.29628112295,6765.58816237502,6664.37734724039,8123.86297769978,5739.35509052811,5688.59409565347,6907.29263449068,8924.10625748739,6630.67533846574
"Rdh10",214.227101882048,233.025321458008,182.253031969367,246.828790638533,224.464843375151,227.895837166899,222.992154419066,228.332356797133,179.351709194326,239.235496082849
"Stau2",2410.32954630366,1820.13960178837,1512.47790555066,1465.39616966469,1135.06676256954,1712.09832904085,1535.25051169999,1229.55541086992,2933.75917039689,1544.89362724687
"Ube2w",882.176219545049,963.453783628199,823.472540788419,842.333203004314,989.017585002302,961.769796563555,960.793356694496,887.534558429023,689.145355328503,949.846016227243
"Tceb1",1440.26528496085,1264.26828951035,1286.8842135398,1177.82864659067,1284.05652760457,1329.52950491592,1400.35402322426,1394.8336440327,1105.45871667048,1265.10974199744
"D030040B21Rik",3.29580156741612,0,0,0,0,0,0,0,1.08698005572319,1.01370972916461
"Tmem70",526.229650264108,636.370968781686,630.106519064822,687.765659352029,784.156658079129,642.55107879909,633.187598967719,739.452904439251,608.708831204987,721.761327165205
"Ly96",16.4790078370806,10.1683776636222,13.3355877050756,32.3513463458271,12.7425456937858,6.58182923225701,16.5179373643753,19.1073101922287,8.69584044578552,16.2193556666338
"Jph1",392.200386522519,279.630385749609,260.043960248974,292.360315125253,252.890522230519,334.027833537043,300.993525306394,250.305763518196,315.224216159725,311.208886853536
"Gdap1",1622.6329716912,1680.32440891356,1242.43225452288,1392.30609088338,1406.58100542944,1477.6206626417,1390.25972816825,1224.77858332186,1100.02381639187,1220.50651391419
"Pi15",2.19720104494408,5.08418883181108,5.55649487711484,20.369366217743,5.88117493559347,14.8091157725783,9.17663186909738,10.5090206057258,5.43490027861595,14.1919362083046
"Crispld1",49.4370235112418,32.1998626014701,58.8988456974173,37.1441383970608,43.1286161943521,50.1864478959597,66.9894126444109,46.8129099709603,42.3922221732044,47.6443572707368
"Crisp4",0,0,0,0,0,0,0,0,0,0
"Defb44-ps",0,0,0,0,0,0,0,0,0,0
"Defb18",0,0,0,0,0,0,0,0,0,0
"Defb41",0,0,0,0,0,0,0,0,0,0
"Gm15386",0,0,0,0,0,0,0,0,0,0
"Tfap2d",13.1832062696645,0.847364805301846,5.55649487711484,0,0.980195822598911,0,0,0,0,5.06854864582307
