"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",48.130571781954,0.373953757847921,0.206444016375133,1.81140516646607,0.0700781568209212,0.926968440231113
"Gm19938",102.122628533835,0.696414855164505,0.40428550074734,1.72258182367943,0.084964174289721,0.926968440231113
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0.305974159958528,1.82285601156387,3.1250594614035,0.583302824818958,0.559689461248945,NA
"Sox17",196.259644812622,-0.11722305406791,0.180202138625175,-0.650508672994926,0.515363701304508,0.938460176244784
"Mrpl15",534.657467330134,0.0101737247447368,0.0812635915606113,0.125194131213713,0.900369863304263,0.991536181653219
"Lypla1",175.506928402067,0.0622931337294732,0.117620839017091,0.529609669936308,0.596382588445555,0.947309212131069
"Gm19860",1.41851177476445,-1.28733462416814,1.51306455984956,-0.850812753354122,0.39487337604571,NA
"Tcea1",936.191109970037,-0.0296527691505356,0.0659282348087595,-0.449773442843578,0.652873808828914,0.956411156186882
"Rgs20",1185.69920981406,0.0481534810470019,0.079346406081188,0.606876649179684,0.543932775709962,0.940876256391376
"Atp6v1h",2458.47254897763,-0.0636746254743775,0.0874267511099222,-0.728319703820619,0.466417903436543,0.934894585208457
"Oprk1",205.917047570192,-0.335379714302714,0.159324899948378,-2.10500502063004,0.0352908710321918,0.926968440231113
"Npbwr1",30.6479710881594,-0.184833070137044,0.318730238253331,-0.57990440803466,0.561979082971103,0.943516427737141
"Rb1cc1",688.624781655538,-0.150645531256373,0.0938472111306988,-1.60522118282847,0.108445137326257,0.926968440231113
"Fam150a",2.66151567507129,-0.0460069888476498,1.11780614431301,-0.0411582894598644,0.967169705665152,0.997207744860139
"St18",79.3699067948889,0.120771164792385,0.221539517158856,0.545145021264019,0.585653780583242,0.946343251539546
"Pcmtd1",1544.16705012751,-0.0404537436041316,0.0633773998953627,-0.63829919925591,0.523278933153559,0.938860430518448
"Sntg1",158.435120412521,0.267679057219599,0.167023380314368,1.60264423289589,0.109013222180426,0.926968440231113
"Rrs1",549.031581819877,0.0804352419626066,0.08780009558728,0.916117931587533,0.359605043716865,0.926968440231113
"Adhfe1",332.289860005869,-0.0820718582186029,0.0993218876057218,-0.826321973907742,0.4086214716839,0.929004788222659
"2610203C22Rik",7.32960880629102,0.54055210247787,0.866529190524581,0.623812917543643,0.532750455263607,0.940003605986929
"3110035E14Rik",2230.46850302583,-0.237049495849357,0.252538258459221,-0.938667658895076,0.347901403103548,0.926968440231113
"Mybl1",7.47447826379078,0.576672440762103,0.497414929445158,1.15933882685297,0.246318101210154,0.926968440231113
"Vcpip1",357.652322717006,0.0238381115410576,0.0943340509821908,0.252698906628721,0.800500892853286,0.979155745784253
"1700034P13Rik",2.52894511891676,-0.2591980447745,0.914574335908081,-0.283408395138425,0.776863793704619,0.976685294513133
"Sgk3",242.622084055347,-0.0757846073764561,0.118769444811944,-0.638081684194543,0.52342050866465,0.938860430518448
"Gm6195",1.08115636360124,1.56745177444526,1.32870085894551,1.17968748487845,0.238124533293135,NA
"6030422M02Rik",1.71209071728512,-2.84262351027407,1.25538596042013,-2.26434228189294,0.0235530709388543,0.923427724499583
"Snhg6",236.185090241891,-0.198884018627472,0.169556357257697,-1.17296704083588,0.240809023076129,0.926968440231113
"Snord87",1.23929875693962,0.321055716709748,1.54341828012169,0.208016012797538,0.835216464420824,NA
"Gm10567",3.11177960885927,0.246642076798463,0.767832114538926,0.321218756194599,0.748044619314991,0.972579705643959
"Tcf24",0.373627016404155,0.12718330489345,2.51079481842819,0.0506545990775419,0.959600754859838,NA
"Ppp1r42",8.50856408264212,-0.530929247310329,0.446974056399541,-1.18783012058253,0.234900344993311,0.926968440231113
"Cops5",1405.70686319018,-0.170429673597641,0.0762942773164615,-2.23384609687978,0.0254932012838611,0.926968440231113
"Cspp1",290.64532241717,-0.0814557731043743,0.145511718009402,-0.55978840892464,0.575623770738218,0.945291023482981
"Arfgef1",983.287575827222,-0.025318024676539,0.0927030061520713,-0.273108993197124,0.784769433863046,0.977325554282694
"Cpa6",7.86136312585565,0.387461050435658,0.451197767232991,0.858738847073193,0.39048461297417,0.92820993361326
"Prex2",372.653609399936,-0.00522494630043663,0.11941210681536,-0.0437555825768626,0.965099233117894,0.997207744860139
"A830018L16Rik",712.928381145672,-0.190473416495048,0.142510812374686,-1.33655414155004,0.181368216537474,0.926968440231113
"4932411L15",0,NA,NA,NA,NA,NA
"Sulf1",285.649632981687,-0.112704242076573,0.138967281486575,-0.811012785678335,0.417358328329901,0.93065599074137
"Slco5a1",96.9872238536132,0.152449946702887,0.220500482041861,0.691381466794006,0.489325847760191,0.935743736098935
"Prdm14",0,NA,NA,NA,NA,NA
"Ncoa2",723.436830117874,-0.0265560296339465,0.100207020005401,-0.265011669167642,0.791000472427344,0.977741020604945
"Tram1",398.004344217208,0.0793379441925131,0.106310126172978,0.746287743685127,0.455493613613343,0.934894585208457
"Lactb2",138.05973244918,0.139921644114496,0.140108668462782,0.998665147914553,0.317956929265987,0.926968440231113
"Xkr9",0,NA,NA,NA,NA,NA
"Gm5523",1.33014832805799,0.942853842752479,1.18416301377999,0.796219635118289,0.42590438684691,NA
"Eya1",102.875255678362,-0.121791253184608,0.164320624412702,-0.74118056464246,0.458583965986441,0.934894585208457
"Msc",42.6319183080242,-0.059477711222779,0.24353220395142,-0.244229347321325,0.807053199249806,0.979931794947966
"Trpa1",1.12751023959024,-0.509729551951885,1.42822958042276,-0.356896089353509,0.72116959738154,NA
"Kcnb2",34.0507574589146,0.0713607264374479,0.25643843573627,0.278276250721002,0.780800305571509,0.976685294513133
"Terf1",155.34381195808,0.0411623404674808,0.120979198717059,0.340243123644335,0.733673445322818,0.971833970160397
"Gm106",16.3519048754849,-0.310135953901791,0.333608743520537,-0.929639764920308,0.352557631441853,0.926968440231113
"Gm7634",0,NA,NA,NA,NA,NA
"4930444P10Rik",12.0118273388723,-0.441364198937472,0.448696279632908,-0.983659145332261,0.325283133741867,0.926968440231113
"Rpl7",5862.64111935982,0.0611920738724904,0.127587690289475,0.479607975766752,0.63150617398758,0.952144368266668
"Rdh10",217.231063007123,-0.144692192202439,0.120552158773766,-1.20024555075762,0.230043989427334,0.926968440231113
"Stau2",1589.41333441182,0.255938370611504,0.172663973962657,1.48229167172335,0.138262703342883,0.926968440231113
"Ube2w",880.514719076246,-0.0680668690014777,0.0827177879168019,-0.822880673138162,0.410575854304872,0.929789297227426
"Tceb1",1255.17355904681,-0.0886228105135423,0.0722426693424446,-1.22673776204825,0.219921169826829,0.926968440231113
"D030040B21Rik",0.679601176362683,1.39522093840112,1.929853760816,0.722967183695401,0.469700045836531,NA
"Tmem70",626.968748974892,-0.180994735724962,0.082463205244026,-2.19485448315235,0.0281740377742748,0.926968440231113
"Ly96",14.9670875628981,0.215404743291049,0.442209247077002,0.487110445371444,0.626180064556532,0.951675273954957
"Jph1",266.909633882316,0.0206747500801479,0.135978309620823,0.152044470458558,0.879151861010781,0.988736647875656
"Gdap1",1111.24362860937,0.0601445320721516,0.0697310463270989,0.862521577405017,0.388400564527598,0.928126550078394
"Pi15",7.47674139001606,0.264319226808612,0.466872657670868,0.566148439977715,0.57129287654193,0.945169776468924
"Crispld1",41.2628227798598,-0.0457761641285464,0.204748345616516,-0.223572815646985,0.823089718211918,0.982358295257603
"Crisp4",0,NA,NA,NA,NA,NA
"Defb44-ps",0,NA,NA,NA,NA,NA
"Defb18",0,NA,NA,NA,NA,NA
"Defb41",0,NA,NA,NA,NA,NA
"Gm15386",0,NA,NA,NA,NA,NA
"Tfap2d",1.8492471458313,-0.539096809226755,1.29080919589894,-0.417642522953456,0.676208501723123,0.961480595295565
"Tfap2b",12.0011584908947,-0.215788560649276,0.413811132592227,-0.521466301057481,0.602041975102629,0.949829349986793
"Pkhd1",0.305821314568431,-0.449891897155061,3.14498251789799,-0.14305068298305,0.886250153532146,NA
"4930486I03Rik",0.199400573632613,0.127177448479651,3.16074699792792,0.0402365164193858,0.967904565298517,NA
"Mir206",0,NA,NA,NA,NA,NA
"Mir133b",0,NA,NA,NA,NA,NA
"Il17a",0,NA,NA,NA,NA,NA
"Il17f",0,NA,NA,NA,NA,NA
"Mcm3",90.9132290431023,-0.0686487886507509,0.183520334588051,-0.37406638781935,0.708354925003249,0.96609956484555
"6720483E21Rik",11.7135477377316,-0.380554358624194,0.52913413815064,-0.719202053290792,0.472016434464417,0.934894585208457
"Paqr8",1225.90757475983,0.0335060410105224,0.0942154281292533,0.355632210942732,0.722116017805371,0.96871282313549
"Efhc1",28.6994187110908,-0.0671512440402062,0.367836000764414,-0.18255756342679,0.855145184153227,0.987952226338809
"Tram2",8.17357678165801,-0.137353231619363,0.544202604687527,-0.252393557907039,0.800736879050576,0.979155745784253
"Tmem14a",569.303281501463,-0.350830891527164,0.152189835409333,-2.30521894306254,0.0211543144741967,0.923427724499583
"Gsta3",31.2283237570944,0.165029614771432,0.26932091096373,0.612761980422888,0.540033733375814,0.940821052688962
"Gm4956",0,NA,NA,NA,NA,NA
"Khdc1a",0.0863310028712372,0.704246816941997,3.16074699792792,0.222810246249914,0.823683193105874,NA
"Khdc1c",0,NA,NA,NA,NA,NA
"Khdc1b",0.489981850264039,-2.34854798889992,2.29845032841899,-1.02179627719664,0.306877331725936,NA
"Kcnq5",1251.60534852958,0.0907197863360274,0.102641798090219,0.883848373898197,0.376778069138187,0.928126550078394
"Rims1",234.719236541059,0.420044530234172,0.194201533349013,2.1629310695466,0.0305464816833723,0.926968440231113
