"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",60.0856349174546,-0.441537239282805,0.182876625833496,-2.414399529029,0.015761169135115,0.223962092757551
"Gm19938",84.605630358469,0.768092082103157,0.254725103009093,3.01537647067214,0.00256660463639474,0.105895198693517
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0.396053449075514,-0.314229764468098,1.73408829547595,-0.181207476740307,0.856204726165604,NA
"Sox17",216.088689254167,-0.121389885074913,0.11647934818931,-1.04215800450413,0.297338429708001,0.668571937224493
"Mrpl15",540.929350146377,0.111331057804406,0.0518504067732868,2.14715881191049,0.0317806405052414,0.289186444855998
"Lypla1",197.142240503043,-0.177222884185337,0.096657982034842,-1.83350490517642,0.0667275197731508,0.369119372529893
"Gm19860",0.98781191799537,1.59945993619636,1.11030822348682,1.44055488589772,0.149710473500032,NA
"Tcea1",980.350334223921,0.0108142413812581,0.0425332769027943,0.254253661338462,0.799299596545659,0.947700314378794
"Rgs20",1223.55388151311,0.0563617620316515,0.0689960689927919,0.816883669670221,0.413994910993972,0.757796626615855
"Atp6v1h",2556.25194043714,0.030525855108585,0.0506426079829392,0.602770203281567,0.546661571536531,0.842117481514553
"Oprk1",227.88900622321,-0.154312411477741,0.130291147358856,-1.18436604946554,0.236268193452909,0.610056677295721
"Npbwr1",28.4820137132383,0.376326324424057,0.194906580286295,1.93080358739699,0.0535073465611,0.342114232956523
"Rb1cc1",752.200472196048,-0.107918333437824,0.0805837737076049,-1.3392067468744,0.180503376627418,0.546226441029456
"Fam150a",2.73474660399826,0.293273136389586,0.799686783657852,0.366735004732883,0.71381669309537,0.918927031033699
"St18",92.3580004145292,-0.261631680848048,0.153453717611856,-1.7049549852537,0.0882028201636972,0.408716993207267
"Pcmtd1",1691.95589407669,-0.117558687671506,0.0448658863375648,-2.62022434566454,0.0087871938108081,0.180063672501654
"Sntg1",168.052552400624,-0.0259041589351793,0.114440768341571,-0.226354290613143,0.820925876111986,0.953950208780095
"Rrs1",571.153600692279,0.030811277596505,0.0552033901366467,0.558141040255623,0.576748077975437,0.856440240109757
"Adhfe1",337.849992974373,0.0972295125725008,0.0712587265541946,1.36445762188235,0.172423583166001,0.538183223741936
"2610203C22Rik",8.05505870222342,-0.148654563153892,0.474695373555446,-0.313157809060737,0.754160770877047,0.933793166231236
"3110035E14Rik",2333.89214923364,0.00781122339119471,0.178044959945698,0.0438721960654043,0.965006278279388,0.990445335477847
"Mybl1",8.65702791838324,-0.27377905078734,0.335957884082711,-0.814920749768554,0.415117674987125,0.758933536374052
"Vcpip1",382.647893963317,-0.0485968992324568,0.0715090631840182,-0.679590768898758,0.496763616285281,0.809923813932801
"1700034P13Rik",3.11088259181273,-0.3765808459453,0.536872421692032,-0.701434513545044,0.483031889404501,0.801123563068218
"Sgk3",269.277618902598,-0.147090555481316,0.095733308782398,-1.53646162816386,0.124425201890145,0.471353736416589
"Gm6195",1.15834749678236,-0.114341730663918,0.891131660425782,-0.128310703952866,0.897903094597052,NA
"6030422M02Rik",2.62407187915855,-1.10976379767093,0.609874980300186,-1.81965785368781,0.068811125397549,0.372118228452356
"Snhg6",256.560146120926,-0.0884205635233804,0.113249906669229,-0.780756171231395,0.434945916454557,0.771643778142713
"Snord87",0.967765010345311,1.07169647976425,1.08497971378099,0.987757159098901,0.323271593423794,NA
"Gm10567",3.49427181359705,-0.164502041057168,0.532586150977437,-0.308874049306882,0.757417337879404,0.934601140389694
"Tcf24",0.61491680029891,-0.561981236304274,1.49461502109203,-0.37600400663287,0.706913917366216,NA
"Ppp1r42",10.0607037332763,-0.328166705551584,0.37990799943894,-0.863805726744977,0.387694621405552,0.739722933899347
"Cops5",1479.28413000149,-0.00392631837580345,0.0600615323204899,-0.0653715984942328,0.947878136814563,0.986168035919949
"Cspp1",328.883387660295,-0.203721377004846,0.0957657893345206,-2.1272876088686,0.0333961936763968,0.292985563285731
"Arfgef1",1064.57591062272,-0.082117535308015,0.0625932034338148,-1.31192415155497,0.189545727673618,0.556294670521178
"Cpa6",8.07429423043456,0.062771200489233,0.298087703285805,0.210579637460081,0.833215302971659,0.957336474545899
"Prex2",410.986046271851,-0.13130708746643,0.0847469998045479,-1.54940101442251,0.121285350076126,0.466162701332288
"A830018L16Rik",747.731279864016,0.00470259083765404,0.0864019157932268,0.0544269278578043,0.956595025318041,0.98827663866797
"4932411L15",0,NA,NA,NA,NA,NA
"Sulf1",320.877753129805,-0.182003607412661,0.109184022289927,-1.66694360214508,0.0955256197617079,0.422227854110989
"Slco5a1",111.894041908274,-0.245576475937238,0.151118458583195,-1.62505942847506,0.104149896628239,0.439538505166083
"Prdm14",0.199586698038445,-1.03413195997076,3.02461394434536,-0.341905439503814,0.732422055941587,NA
"Ncoa2",811.32337318795,-0.175364665650244,0.0741272429095779,-2.36572491795166,0.0179948092289794,0.237924143122178
"Tram1",416.489354550251,0.0113947488262002,0.0652722128696024,0.174572736624757,0.861415372603871,0.965695025625084
"Lactb2",148.940735520937,-0.0736345579768701,0.114611758022348,-0.6424694922009,0.52056839160404,0.826110571326192
"Xkr9",0.0478574173030091,-0.14392289666854,3.02618800586252,-0.0475591392173003,0.96206759733702,NA
"Gm5523",1.04433892696166,1.06087130528687,0.976578557369934,1.08631435462186,0.277339938341117,NA
