"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",60.1749087908307,-0.183353753642426,0.266643331962118,-0.68763674791041,0.491681560864433,1
"Gm19938",110.445453149557,0.289170091712758,0.520080214436658,0.556010560843931,0.57820363523484,1
"Gm10568",0.0211466388257989,-0.650126397100849,5.91318663851802,-0.109945184693813,0.912452847527194,NA
"Rp1",0.3201881229106,-0.0730594710003852,2.74985648293007,-0.0265684669196037,0.978803924129784,NA
"Sox17",202.075739913764,0.175703309652786,0.170946982042338,1.02782340789889,0.304032903201987,1
"Mrpl15",566.626969285272,0.0550142058020966,0.10244660048091,0.537003722367032,0.591265042827477,1
"Lypla1",210.025024108002,0.105533519512236,0.130539686641337,0.808440116776087,0.418837265842254,1
"Gm19860",0.816217044634669,0.410650519041073,1.91574620462295,0.214355386976688,0.830269929075406,1
"Tcea1",1023.68643915812,0.0274055447764069,0.060462335631842,0.453266392871102,0.650356929471804,1
"Rgs20",1183.27456696238,-0.199488312605777,0.0904624934707723,-2.20520466496129,0.0274397359937592,1
"Atp6v1h",2663.6289578249,-0.0166110751322119,0.0675724649887343,-0.245826094030776,0.80581685664593,1
"Oprk1",222.76078170278,-0.232264107870424,0.192976711259617,-1.2035862066172,0.228749553377911,1
"Npbwr1",29.7199394019446,-0.351807784633866,0.23893840270101,-1.47237857396281,0.140918675757444,1
"Rb1cc1",749.923288473339,0.0605336348847682,0.112759336535551,0.536839225421328,0.591378674050023,1
"Fam150a",2.25854572468513,0.199574306970688,1.13496597684645,0.175841664897492,0.8604183357399,1
"St18",98.9333675869885,0.365215322671363,0.201848619624323,1.80935258983239,0.0703962436469392,1
"Pcmtd1",1721.40596306353,0.0485746677410756,0.0755059013463513,0.643322798283805,0.520014666026306,1
"Sntg1",168.622987978159,0.0803297735127674,0.137961285745586,0.582263155048461,0.560389439331754,1
"Rrs1",576.370876493314,-0.00560132324179587,0.0753984752240355,-0.0742896089762075,0.940779945020642,1
"Adhfe1",331.180149785487,-0.0680302706393414,0.099720177830728,-0.682211685932016,0.495105106428936,1
"2610203C22Rik",7.37131374619954,-0.466025100087359,0.674904677970881,-0.690505067305913,0.489876624400297,1
"3110035E14Rik",2124.45106546182,-0.132509262466006,0.222897170320221,-0.594486068511498,0.552187057508042,1
"Mybl1",10.395202990834,-0.612239311259926,0.440324799817744,-1.39042659308161,0.164399375819882,1
"Vcpip1",399.017466522475,-0.111055957106967,0.120978961149396,-0.91797744047269,0.358630676660902,1
"1700034P13Rik",2.83682647174098,-1.09499262283241,0.897837652275713,-1.21958866400509,0.222620845870471,1
"Sgk3",275.529808604546,0.104811288777631,0.130681190954615,0.802038059279941,0.422530942975551,1
"Gm6195",0.953585076399243,-1.26386068413369,1.30292348181598,-0.970019116066701,0.332036963710543,1
"6030422M02Rik",2.82792808895195,0.349293396468704,0.764317951769331,0.457000121036173,0.647670958506061,1
"Snhg6",250.914049435637,0.0667539799003843,0.182642761500706,0.365489326551419,0.714746172748789,1
"Snord87",0.720597509631781,-1.22721373939263,1.82359171762936,-0.672965185972654,0.500969439565422,1
"Gm10567",4.32674361496804,-1.71727661037592,0.646534927763229,-2.65612349253436,0.00790446622942282,0.943811976588894
"Tcf24",0.717816057024401,0.787062270320237,1.78533685259727,0.440848050145404,0.659323004896279,1
"Ppp1r42",9.76468379799832,0.703953314956888,0.545190705728542,1.29120564154921,0.19663237939086,1
"Cops5",1484.70500039518,0.0223478956262033,0.0703067778295264,0.317862606083164,0.750589158633752,1
"Cspp1",322.326665278628,0.25478086537567,0.232784747654468,1.09449123253492,0.273739590539923,1
"Arfgef1",1084.28328433299,0.0478656503900352,0.0812243260644497,0.589301908790906,0.555658764639946,1
"Cpa6",8.11344726735583,0.699607960273627,0.463395232160084,1.50974354443065,0.131108875565712,1
"Prex2",423.453505317183,-0.0746418837337965,0.127696991605392,-0.58452343156567,0.558868205406983,1
"A830018L16Rik",740.574344469282,-0.17095579739981,0.120833461621856,-1.41480509707493,0.157125649249573,1
"4932411L15",0.0204121663306332,0.504009457276757,5.91318663851802,0.085234829895894,0.932074701070037,NA
