MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		cellular response to lipopolysaccharide			IDA		J:154929 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		cellular response to lipopolysaccharide	happens in B cell,happens in spleen		IMP	MGI:1856663 	J:34903 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			IDA		J:196954 J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to molecule of bacterial origin			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:105376	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	8		cellular response to lipopolysaccharide			ISO	Q13443 	J:164563 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		cellular response to lipopolysaccharide			IMP		J:141184 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		cellular response to lipopolysaccharide			IMP		J:230622 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		lipopolysaccharide-mediated signaling pathway			IDA		J:215205 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		cellular response to lipopolysaccharide	happens in paneth cell of epithelium of small intestine	UniProtKB:Q3TMQ6:PRO_0000415440	IDA		J:82368 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		cellular response to lipopolysaccharide	happens in metanephric glomerular visceral epithelial cell		IDA		J:177255 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		cellular response to lipopolysaccharide			ISO	Q15327 	J:164563 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		cellular response to lipopolysaccharide			IMP		J:240577 	
MGI:1914045	Atg10	autophagy related 10	13		ER overload response			ISO	Q9H0Y0 	J:164563 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		cellular response to lipopolysaccharide			ISO	P30530 	J:164563 	
MGI:3630303	AY761185	cDNA sequence AY761185	8		cellular response to lipopolysaccharide			IBA	PTN002275316 	J:265628 	
MGI:88127	B2m	beta-2 microglobulin	2		cellular response to lipopolysaccharide			ISO	P61769 	J:164563 	
MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2		positive regulation of autophagy in response to ER overload			ISO	RGD:628774 	J:155856 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		lipopolysaccharide-mediated signaling pathway			ISO	O95999 	J:164563 	
MGI:88141	Bcr	BCR activator of RhoGEF and GTPase	10		cellular response to lipopolysaccharide			IMP	MGI:2154396 	J:23804 	
MGI:108093	Bid	BH3 interacting domain death agonist	6		positive regulation of autophagy in response to ER overload			ISO	RGD:620160 	J:155856 	
MGI:88182	Bmp6	bone morphogenetic protein 6	13		positive regulation of lipopolysaccharide-mediated signaling pathway			IMP		J:151027 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		cellular response to lipopolysaccharide			ISO	P17213 	J:164563 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		lipopolysaccharide-mediated signaling pathway			IBA	PTN002471180 	J:265628 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		cellular response to molecule of fungal origin			ISO	RGD:1359683 	J:155856 	
MGI:1917562	Cactin	cactin, spliceosome C complex subunit	10		cellular response to lipopolysaccharide			ISO	Q8WUQ7 	J:164563 	
MGI:1917562	Cactin	cactin, spliceosome C complex subunit	10		negative regulation of lipopolysaccharide-mediated signaling pathway			ISO	Q8WUQ7 	J:164563 	
MGI:96544	Casp1	caspase 1	9		cellular response to lipopolysaccharide			ISO	P29466 	J:164563 	
MGI:1914413	Ccdc47	coiled-coil domain containing 47	11		ER overload response			IMP		J:124441 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		cellular response to lipopolysaccharide			IDA		J:118487 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		lipopolysaccharide-mediated signaling pathway			ISO	P13501 	J:164563 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		lipopolysaccharide-mediated signaling pathway			ISO	P13500 	J:164563 	
