,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm11428,16.07090576,1.888507604,0.331317883,5.699986935,1.20E-08,0.000279412
Lilrb3,32.10783572,1.085310943,0.207393854,5.233091141,1.67E-07,0.001943704
Il1rn,48.4700165,3.446557371,0.671176047,5.135101863,2.82E-07,0.002192012
Cd69,16.53264884,4.295814644,0.848554863,5.062506658,4.14E-07,0.002412335
Oasl1,27.15546565,2.253255668,0.450646902,5.000046949,5.73E-07,0.002673235
Slamf7,20.43126648,3.565290209,0.736578115,4.840342301,1.30E-06,0.005037729
Lilrb4,15.12027745,1.786976184,0.371580489,4.80912275,1.52E-06,0.005050249
Fcgr4,17.22131716,2.085701071,0.444629179,4.690877636,2.72E-06,0.005852496
Nos2,49.21780068,2.249907183,0.476393133,4.722795157,2.33E-06,0.005852496
Cd40,67.06135722,2.452149635,0.516023039,4.752015801,2.01E-06,0.005852496
Gpnmb,247.53141,1.511633472,0.322456244,4.687871608,2.76E-06,0.005852496
Cybb,23.76474272,1.643780162,0.35408179,4.642374191,3.44E-06,0.006693391
Itgal,31.06255686,1.29257244,0.284294157,4.546602192,5.45E-06,0.009779853
Slfn2,51.39784502,1.921851621,0.425575707,4.515886575,6.31E-06,0.01050273
Cxcl16,52.53543482,1.13733796,0.253955785,4.478488089,7.52E-06,0.010961544
Mmp12,14.15774671,2.706072227,0.604251033,4.47839073,7.52E-06,0.010961544
Gp49a,9.917838964,2.080153087,0.468373128,4.441230638,8.94E-06,0.012269868
Rsad2,89.35209391,1.848615679,0.419532468,4.406370949,1.05E-05,0.012469622
LOC100862257,471.4354113,-3.515807132,0.799278927,-4.398723668,1.09E-05,0.012469622
Cd36,21.90642572,1.540248558,0.350690726,4.392042458,1.12E-05,0.012469622
Clec4e,3.714775706,3.681358685,0.83500022,4.408811637,1.04E-05,0.012469622
Il1b,14.73502543,2.315603092,0.52888357,4.378285169,1.20E-05,0.012679378
Socs3,62.50911985,0.746938177,0.171875059,4.345820634,1.39E-05,0.01363086
Mx1,19.92952879,2.091512828,0.481536237,4.34341731,1.40E-05,0.01363086
Mnda,12.44563531,2.254791142,0.522367149,4.316487259,1.59E-05,0.014787849
Ifi47,30.7546434,1.076531287,0.253752886,4.242439587,2.21E-05,0.018594398
Irg1,89.37077121,3.001058561,0.7088079,4.23395191,2.30E-05,0.018594398
AA467197,6.974207354,2.292469451,0.541650524,4.23237743,2.31E-05,0.018594398
Bcl2a1b,34.60366803,1.137302876,0.267209184,4.256226752,2.08E-05,0.018594398
Il27,10.63328688,3.466964595,0.828918483,4.182515733,2.88E-05,0.022410602
Il12b,15.34376161,3.938161632,0.944168275,4.17103787,3.03E-05,0.022809628
Lgals3,92.67154441,1.327731918,0.319368396,4.157367902,3.22E-05,0.023461036
Oas1a,34.38747464,1.098957542,0.265038931,4.146400455,3.38E-05,0.023867166
Tnf,43.41893966,3.264686214,0.790592478,4.129417247,3.64E-05,0.024944435
Gm12693,94.41281963,-0.74237725,0.180133177,-4.121268847,3.77E-05,0.025105073
Mmp13,29.96301728,3.523739369,0.864614661,4.075502681,4.59E-05,0.029742751
Ms4a6d,32.97642852,0.892127755,0.219261963,4.068775735,4.73E-05,0.029787083
Ccl3,27.70456302,1.734747115,0.436077721,3.978068659,6.95E-05,0.042050515
Cxcl9,57.52036185,2.95705598,0.743878864,3.975184835,7.03E-05,0.042050515
Gm11127,32.45039647,-4.053344076,1.022616319,-3.963699778,7.38E-05,0.043023681
Msr1,7.424489254,2.129136436,0.542364112,3.925658773,8.65E-05,0.049195358
Bcl2a1d,11.96635881,1.813550164,0.462729763,3.919242522,8.88E-05,0.049320522
Gbp2,143.0521672,0.942609662,0.240897122,3.912913761,9.12E-05,0.049454186
