"","Status","A1006.sort.bam","A1007.sort.bam","A1008.sort.bam","A1009.sort.bam","A1010.sort.bam","A1016.sort.bam","A1017.sort.bam","A1018.sort.bam","A1019.sort.bam","A1020.sort.bam","B1106.sort.bam","B1107.sort.bam","B1108.sort.bam","B1109.sort.bam","B1110.sort.bam","B1116.sort.bam","B1117.sort.bam","B1118.sort.bam","B1119.sort.bam","B1120.sort.bam","A2001.sort.bam","A2002.sort.bam","A2003.sort.bam","A2004.sort.bam","A2005.sort.bam","A2011.sort.bam","A2012.sort.bam","A2013.sort.bam","A2014.sort.bam","A2015.sort.bam","B2101.sort.bam","B2102.sort.bam","B2103.sort.bam","B2104.sort.bam","B2105.sort.bam","B2111.sort.bam","B2112.sort.bam","B2113.sort.bam","B2114.sort.bam","B2115.sort.bam"
"1","Assigned",23176291,25426127,21854081,20011210,23629386,22742276,21822918,26803495,25826956,22101129,24106709,23971402,24638440,22824677,22900949,21629774,25875916,20999625,17833796,23144216,19397337,18522515,22295205,23574605,20953740,22774411,20114635,24239239,20449758,25223694,26049827,25312380,22109542,22755391,21168062,26130816,23570165,23579629,24101126,22554867
"2","Unassigned_Unmapped",712829,518842,455199,460458,466655,571385,510917,579562,685352,513677,635267,690367,767471,801076,729960,661862,527818,499884,524601,657362,440793,1096675,662199,751711,637387,538258,436757,564724,446611,566640,502994,610474,781724,509638,783275,548952,520516,555590,1555349,711312
"3","Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Unassigned_NoFeatures",6278554,7111370,6258960,5469611,6554244,7189891,6013222,7466211,7918697,6325418,6677785,6927150,7292872,7710284,7382556,6999533,7205410,6262857,5343678,7281959,5086088,6224069,6117595,6456560,5681433,6257830,5858815,6617063,5816606,6958529,7168361,7113419,7535702,6349806,6676657,7306530,6716200,7118477,8215941,6607402
"13","Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Unassigned_Ambiguity",995205,1053960,907746,852489,1023275,890416,841198,1100391,1084402,878207,955517,996534,1065782,936107,818568,827798,1018602,883933,803573,1127474,758750,684074,879766,997240,891368,946127,853737,993894,878657,1042270,1079645,1111282,851795,901508,842176,1077789,964308,1064859,914125,926573
