"","Status","PN140DO1.bam","PN140DO2.bam","PN140DO3.bam","PN140DO4.bam","PN140DO5.bam","PN140DS1.bam","PN140DS2.bam","PN140DS3.bam","PN140DS4.bam","PN140DS5.bam","PN140CO1.bam","PN140CO2.bam","PN140CO3.bam","PN140CO4.bam","PN140CO5.bam","PN140CS1.bam","PN140CS2.bam","PN140CS3.bam","PN140CS4.bam","PN140CS5.bam","PN320DO1.bam","PN320DO2.bam","PN320DO3.bam","PN320DO4.bam","PN320DO5.bam","PN320DS1.bam","PN320DS2.bam","PN320DS3.bam","PN320DS4.bam","PN320DS5.bam","PN320CO1.bam","PN320CO2.bam","PN320CO3.bam","PN320CO4.bam","PN320CO5.bam","PN320CS1.bam","PN320CS2.bam","PN320CS3.bam","PN320CS4.bam","PN320CS5.bam"
"1","Assigned",36750906,38208221,38084810,35207537,38631105,39461457,34468991,38235525,36927464,36618748,36633990,36628841,33871937,36279150,38162019,38324729,34239381,38340468,35295430,36873841,35089179,37965905,34243543,37079185,34543289,35918266,38263609,35768240,35213562,39029934,34495876,36185449,36820987,33471404,36267994,35204361,37368340,37377592,41041211,40529146
"2","Unassigned_Unmapped",575368,574259,508001,542024,567871,591969,498678,619564,608390,520904,567736,538696,505001,599919,575611,553222,562737,631703,563787,502026,520695,462961,457153,530177,549984,473018,574903,517104,452815,529901,464667,510524,518851,428618,468129,515648,518169,499195,586477,592433
"3","Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Unassigned_NoFeatures",8243777,7877354,7529529,7174624,7608895,8521064,6669791,7654363,7612338,7609778,8457728,7387976,7491506,7937293,7911117,7847527,8200928,8303308,7780806,7823467,8136849,7358338,8123177,8644703,8575417,7720884,9108321,7272004,6929173,8670724,8584344,7968510,8603728,7651230,8207964,7565308,8516807,9044659,9160931,9549041
"13","Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Unassigned_Ambiguity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
