NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mtmr2	483	3.654449224472046	0.0015456987	No	
row_1	Tmem108	1411	2.175311326980591	-0.026520453	No	
row_2	Adrb2	1559	2.061973810195923	-0.01995861	No	
row_3	Unc13b	2403	1.5688382387161255	-0.048107047	No	
row_4	Pten	2461	1.529746651649475	-0.04087934	No	
row_5	P2rx4	2921	1.3422421216964722	-0.0530756	No	
row_6	Bdnf	3186	1.2424027919769287	-0.057073478	No	
row_7	Grik1	3441	1.1580950021743774	-0.06115881	No	
row_8	Nrxn1	3443	1.1579269170761108	-0.05377754	No	
row_9	Celf4	3478	1.1463572978973389	-0.047966257	No	
row_10	Cbln1	4161	0.9501491189002991	-0.07278517	No	
row_11	Npff	4488	0.8709256649017334	-0.08197585	No	
row_12	Ntsr1	4818	0.7910453677177429	-0.09181484	No	
row_13	Chrna3	4875	0.7790786027908325	-0.08935636	No	
row_14	Chrna4	5130	0.7222144603729248	-0.0962373	No	
row_15	Grk2	5389	0.6653571128845215	-0.10366422	No	
row_16	Ppp3ca	6227	0.5206539034843445	-0.13826343	No	
row_17	Met	6410	0.4945868253707886	-0.14334078	No	
row_18	Tbc1d24	6580	0.4653056859970093	-0.14801668	No	
row_19	Prkn	6647	0.45823612809181213	-0.14806926	No	
row_20	App	6649	0.4577447474002838	-0.14517875	No	
row_21	Igsf11	7230	0.37598901987075806	-0.16905682	No	
row_22	Insyn2a	7541	0.33438771963119507	-0.18096346	No	
row_23	Npy2r	7723	0.3108929991722107	-0.18717363	No	
row_24	Neto2	8520	0.2142283171415329	-0.22187978	No	
row_25	Gabrb3	8963	0.1602497100830078	-0.24088643	No	
row_26	Rab3gap1	9077	0.14836199581623077	-0.24505682	No	
row_27	Slc17a7	9323	0.1336355060338974	-0.25530478	No	
row_28	Eif4a3	9414	0.12334247678518295	-0.2585931	No	
row_29	Snca	9617	0.10148889571428299	-0.26709822	No	
row_30	Prkar1b	9925	0.0683918371796608	-0.2805749	No	
row_31	Hcrt	9980	0.06372473388910294	-0.28261384	No	
row_32	Prkcz	10458	0.018597783520817757	-0.30411544	No	
row_33	Stx1a	10586	0.007297997362911701	-0.30982515	No	
row_34	Eif4a3l1	11605	-0.04477277398109436	-0.35568067	No	
row_35	Rims1	11689	-0.05342969298362732	-0.3591001	No	
row_36	Drd4	11846	-0.07010097801685333	-0.3657215	No	
row_37	Adora1	11858	-0.07126554101705551	-0.365763	No	
row_38	Grik2	11959	-0.08222606778144836	-0.36976832	No	
