NAME,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,posneg
GOBP_CYTOPLASMIC_TRANSLATION,142,0.5695814,2.1644192,0,0.003133532,0.003,2947,pos
GOBP_URONIC_ACID_METABOLIC_PROCESS,20,0.7947593,2.095513,0,0.007231531,0.014,2589,pos
GOBP_CELLULAR_GLUCURONIDATION,15,0.85748434,2.0623004,0,0.008559899,0.025,1634,pos
GOBP_PROTEIN_FOLDING,166,0.5359303,2.059618,0,0.006679071,0.026,2741,pos
GOBP_ESTROGEN_METABOLIC_PROCESS,32,0.6828365,2.0437973,0,0.008231449,0.04,4362,pos
GOBP_DE_NOVO_PROTEIN_FOLDING,37,0.6713271,2.0225506,0,0.011341961,0.066,2628,pos
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,73,0.58853483,2.015344,0,0.011782042,0.08,3547,pos
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,63,0.59172297,2.0001698,0,0.01420114,0.109,2628,pos
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,15,0.8083554,1.9845264,0,0.016068306,0.138,646,pos
GOBP_SPHINGOID_METABOLIC_PROCESS,22,0.7366126,1.981389,0,0.015182643,0.143,2548,pos
GOBP_PROTEIN_K11_LINKED_UBIQUITINATION,29,0.67458177,1.9625689,0,0.020018505,0.201,2555,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,46,0.62805116,1.9525372,0,0.02076389,0.221,2120,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,26,0.6932599,1.942334,0,0.022364037,0.251,2568,pos
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,117,0.5154504,1.9209204,0,0.02980593,0.337,2642,pos
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,19,0.7341076,1.9009234,0,0.03885864,0.428,2120,pos
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,67,0.55397636,1.8907142,0,0.043474242,0.486,3511,pos
GOBP_TRANSLATIONAL_INITIATION,108,0.5139308,1.8743868,0,0.05071128,0.557,3078,pos
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,19,0.71623975,1.8656282,0.002109705,0.054682665,0.596,1431,pos
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE,23,0.6861705,1.8636013,0.004424779,0.05331895,0.611,2761,pos
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,29,0.64989096,1.8592827,0,0.053544514,0.632,2653,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,20,0.7043024,1.8375267,0,0.06877069,0.75,2526,pos
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,127,0.48770523,1.8245366,0,0.07957782,0.805,3417,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,33,0.6180886,1.8242117,0,0.07647975,0.808,2526,pos
