sampleName	time	housing	genotype	dod
PN140CS1	PN140	same	ctrl	1/4/2019
PN140CS2	PN140	same	ctrl	1/18/2019
PN140CS3	PN140	same	ctrl	5/6/2019
PN140CS4	PN140	same	ctrl	6/6/2019
PN140CS5	PN140	same	ctrl	6/6/2019
PN140DS1	PN140	same	dnFGFR	1/4/2019
PN140DS2	PN140	same	dnFGFR	3/29/2019
PN140DS3	PN140	same	dnFGFR	3/29/2019
PN140DS4	PN140	same	dnFGFR	3/29/2019
PN140DS5	PN140	same	dnFGFR	5/10/2019
PN140CO1	PN140	opposite	ctrl	3/26/2019
PN140CO2	PN140	opposite	ctrl	3/26/2019
PN140CO3	PN140	opposite	ctrl	5/6/2019
PN140CO4	PN140	opposite	ctrl	5/6/2019
PN140CO5	PN140	opposite	ctrl	5/6/2019
PN140DO1	PN140	opposite	dnFGFR	1/4/2019
PN140DO2	PN140	opposite	dnFGFR	3/22/2019
PN140DO3	PN140	opposite	dnFGFR	1/4/2019
PN140DO4	PN140	opposite	dnFGFR	3/22/2019
PN140DO5	PN140	opposite	dnFGFR	5/10/2019
PN320CS1	PN320	same	ctrl	6/12/2021
PN320CS2	PN320	same	ctrl	6/19/2021
PN320CS3	PN320	same	ctrl	6/26/2021
PN320CS4	PN320	same	ctrl	7/1/2021
PN320CS5	PN320	same	ctrl	7/5/2021
PN320DS1	PN320	same	dnFGFR	5/1/2021
PN320DS2	PN320	same	dnFGFR	5/13/2021
PN320DS3	PN320	same	dnFGFR	5/13/2021
PN320DS4	PN320	same	dnFGFR	11/7/2021
PN320DS5	PN320	same	dnFGFR	5/28/2021
PN320CO1	PN320	opposite	ctrl	6/19/2021
PN320CO2	PN320	opposite	ctrl	6/19/2021
PN320CO3	PN320	opposite	ctrl	6/19/2021
PN320CO4	PN320	opposite	ctrl	6/26/2021
PN320CO5	PN320	opposite	ctrl	6/26/2021
PN320DO1	PN320	opposite	dnFGFR	5/1/2021
PN320DO2	PN320	opposite	dnFGFR	5/1/2021
PN320DO3	PN320	opposite	dnFGFR	5/1/2021
PN320DO4	PN320	opposite	dnFGFR	5/21/2021
PN320DO5	PN320	opposite	dnFGFR	5/28/2021
