baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zc3h14	4075.00411753878	0.106637414538307	0.0624009809735146	1.70890606004363	0.0874683518115273	0.585299769810372
1810013L24Rik	2034.4805924269	-0.0202255530034576	0.0819456553361052	-0.246816660633212	0.805050115999765	0.97539094323469
Srsf7	4020.3762279536	0.143024935631741	0.0708430302865927	2.01889917826975	0.0434976996652071	0.465369220091032
Fignl2	93.3571695576622	-0.144489673021437	0.21450425683648	-0.673598161418229	0.500566822394252	0.903952453414556
Sema6a	1502.96177657821	0.0150620585880578	0.0909262669505196	0.16565134689027	0.86843133649169	0.985038869668903
Anapc15	261.468513088615	-0.100723263044635	0.127527496478082	-0.789816046157124	0.429635206567889	0.87678974695587
Nmb	90.0562190236128	0.041790884488993	0.210855121402908	0.198197151726459	0.842890815878004	0.982950393726577
Tcerg1	2684.30765597182	0.0104703062736637	0.0542535645395916	0.192988356848387	0.846968086571817	0.983472206029434
Zfp712	231.116974257713	0.231318244160027	0.14930162047334	1.54933512058787	0.121301181278463	0.647841934568263
Fam129c	138.235601532235	-0.441333521949782	0.157151898005675	-2.80832447810363	0.00498000213249527	0.23690074987154
Atp5g3	4671.92251381706	-0.219486066947637	0.145113706398808	-1.51251092949439	0.130403934343364	0.664992421615231
Pifo	56.8237453284381	-0.0766952512521016	0.303785538540061	-0.252465116083817	0.800681574281651	0.974771442606796
Fyco1	2620.03726342563	0.0852574021187514	0.117748931433237	0.724060941199213	0.469028322454028	0.891889379201756
Tlr3	478.92435878349	0.0855986260017437	0.121141279155701	0.70660163569616	0.479814072173152	0.896173709754589
Trafd1	1903.11920202913	-0.0265265603805108	0.0733101141853423	-0.361840390992251	0.717471306741738	0.958215796854103
Krt80	144.781755057262	0.0438548361497437	0.291641985667082	0.150372162805822	0.880471002392494	0.985588207361813
Armc8	2906.45983999544	-0.00896231738328918	0.0664035669700147	-0.134967409014883	0.892637642348115	0.986575415075895
Ppil4	1669.25082108456	0.0527339706050656	0.0648604751832752	0.813037068508303	0.416196805616953	0.870444557450763
C530005A16Rik	639.027018055621	0.0612113893383123	0.0731803140282696	0.836446114656823	0.402903979046991	0.864740082711583
Katnbl1	557.947536045176	0.0942944572005348	0.0790769556279159	1.19243914300675	0.233089099776044	0.765365661395842
Spag9	14067.1624298323	-0.031131184415411	0.0825356329148654	-0.377184778452265	0.706036291381704	0.95682192182342
Taz	1501.10321022511	-0.0497648880142854	0.0875679388900026	-0.568300323669796	0.569831059280649	0.926492132102824
Gfpt1	3389.13125927569	0.0435259702206345	0.108806342297908	0.400031554240303	0.689133275957018	0.953053938948717
