baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Krba1	2245.45654422673	-0.230909422691623	0.0579312483675833	-3.98592174686906	6.7218664462053e-05	0.039940495688859
Obsl1	1022.00650973042	-0.40651909520914	0.109175441265699	-3.7235397493819	0.000196448914589003	0.0709297241689028
Smim10l1	5623.43481165911	0.223434990530214	0.060041763308396	3.72132626056587	0.000198179193703327	0.0709297241689028
1700101I11Rik	785.512644782439	-0.549140839795558	0.143378704048809	-3.83000281275119	0.000128141794246739	0.0562090211587017
Pcnp	5867.36906248911	0.157375307122234	0.0398829448370016	3.94592996493651	7.94908478460546e-05	0.0439083890657799
Kcnj8	160.56897599363	0.585332961314987	0.145014125982202	4.03638581655711	5.42809249316753e-05	0.0377001293721209
Cic	7401.74013401191	-0.262833847964401	0.0618077848307198	-4.25243921431991	2.11454622946172e-05	0.0218559416515941
Prrc2a	16461.2180250021	-0.268630523829355	0.0562191594493451	-4.77827357186651	1.76806716792222e-06	0.00659223843559799
Mir2861	154.251589465267	-0.796182110898173	0.187613070828334	-4.24374542446821	2.19819716222282e-05	0.0218559416515941
Apip	256.354030509049	0.505561691869595	0.140832424960581	3.58981031542347	0.000330918677242166	0.0865845816208713
D130020L05Rik	285.923883847718	-0.406958496647127	0.103941126380217	-3.91527887776079	9.02997713769391e-05	0.0480975282255597
Zfp710	997.591292582004	-0.294627501935086	0.0660996158079429	-4.45732548266463	8.29885494181211e-06	0.0154711403252732
Bcl9l	2368.09496026587	-0.242370362775351	0.0656000257353028	-3.69466871481606	0.000220173661318854	0.0709297241689028
Cacna1h	4624.02800230509	-0.265466285144817	0.0715907858509585	-3.70810687422092	0.000208814528673606	0.0709297241689028
Spire2	715.894922854122	-0.251478932462339	0.0702396364452632	-3.58029946038108	0.000343200656733933	0.0874917420372351
Dnah7c	196.950998526344	0.462828445995098	0.121981825846482	3.79424100912855	0.000148095772472944	0.0613527875183748
Nrsn1	12737.3311747868	0.17594669762683	0.04953072377677	3.55227390618809	0.000381917075647301	0.0887793333712371
Dyrk1b	1109.78461045351	-0.333705629663994	0.0920066341740446	-3.62697356184923	0.000286762642904443	0.0791995936347566
Arl6ip1	7507.9814377216	0.159142295904364	0.0447568339072181	3.55570941935413	0.000376960537293848	0.0887793333712371
Hspa5	8640.56613944587	0.294998718703598	0.0842784246986736	3.50028752623613	0.000464756572162445	0.0995299633480087
