"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951",40.0587228276811,0.0396874089606363,0.152468255956381,0.26029948799303,0.794632767517542,0.903261399261305
"ENSMUSG00000103161",3.08156907694676,-0.112600435667151,0.453243687828468,-0.248432440850153,0.803799835991724,NA
"ENSMUSG00000102331",48.7350697384424,0.842997988460574,0.22721905098896,3.71006737679551,0.000207204095534873,0.0075280612658916
"ENSMUSG00000025900",1.87720036477251,-0.23563306178393,0.42752590503767,-0.551155050506632,0.581527390397144,NA
"ENSMUSG00000025902",103.48824785953,-0.267150260732629,0.0915293888480139,-2.91873751256262,0.00351452024062543,0.0414114191500317
"ENSMUSG00000102269",0.889854000084423,-0.188394517957197,0.705738228742294,-0.266946737876079,0.789510170301974,NA
"ENSMUSG00000098104",3.10721635076381,0.639989538159743,0.36274198479498,1.76431062569573,0.0776796959823889,NA
"ENSMUSG00000103922",3.5594659113051,-0.128787391140816,0.374796624557105,-0.343619399702448,0.731132533306253,NA
"ENSMUSG00000033845",282.426090116923,-0.00730909583349161,0.0533413365590161,-0.137024984842757,0.891011046330123,0.952556966415158
"ENSMUSG00000102275",3.32720836966773,-0.249010456451088,0.345144818340285,-0.72146659378668,0.470622486975181,NA
"ENSMUSG00000025903",141.179944527209,0.00295799514126356,0.0630315352505164,0.0469288131648249,0.962569963802014,0.982137282355254
"ENSMUSG00000033813",505.404180068593,0.051388568060773,0.0413056661259821,1.24410457161103,0.21346107873109,0.447886438074202
"ENSMUSG00000062588",91.0541969088084,-0.183451592134038,0.0960737143985418,-1.90948786858627,0.0561991852257963,0.206667177954145
"ENSMUSG00000103280",11.1931119781409,0.0980866100401112,0.224303129291584,0.437294880146782,0.661897507905524,0.823717848238911
"ENSMUSG00000002459",607.112403701342,-0.103510752620135,0.0497067901537572,-2.08242681331759,0.0373035014003132,0.162458213688271
"ENSMUSG00000085623",1.53170829696945,-0.1424541415836,0.539543046344741,-0.264027388636899,0.79175881427313,NA
"ENSMUSG00000033793",1342.87427774781,0.0716598105289243,0.0349310471410211,2.05146471102411,0.0402217128213318,0.169251315192612
"ENSMUSG00000025905",124.187645174281,-0.00828002112335832,0.0943192086863956,-0.0877872200019063,0.93004579550757,0.967129218719649
"ENSMUSG00000033774",15.090135588895,0.225621298876548,0.174603202555715,1.29219450487773,0.196289794232101,0.427220362470521
"ENSMUSG00000025907",398.71650661653,-0.0313953779781208,0.0554157606374986,-0.566542399074756,0.571025118922777,0.764985488848384
"ENSMUSG00000090031",27.8312462853985,-0.122744180088133,0.141518184204073,-0.867338574038885,0.385756527266155,0.621551530831079
"ENSMUSG00000087247",1.04008881485211,-1.04390738128113,0.637148610203035,-1.6384048627972,0.101337265428639,NA
"ENSMUSG00000103845",22.3755161366126,-0.0210882711380679,0.144738996661352,-0.145698613535428,0.884159315928356,0.948731562636846
"ENSMUSG00000033740",51.7018921097383,0.170244983748875,0.119558707161965,1.42394466944382,0.154462489624898,0.373655889006009
"ENSMUSG00000103329",4.41264267065465,0.0708284713877342,0.342555749727663,0.206764800894581,0.836193546907962,NA
"ENSMUSG00000102135",2.6167317961433,0.814829134192493,0.420675446720509,1.93695434460156,0.0527509244906431,NA
"ENSMUSG00000051285",887.565352982051,0.0162325135837661,0.0388031616525988,0.418329664193201,0.675706103888967,0.832026518247162
"ENSMUSG00000103509",4.19293661615663,0.37795828999032,0.335577162105461,1.12629324242137,0.260041417153538,NA
"ENSMUSG00000048538",15.9524557910679,0.0982196025404776,0.176761441422576,0.55566192349421,0.578441990899904,0.770274486263573
