"","B1116","B1117","B1118","B1119","B1120","B1106","B1107","B1108","B1109","B1110"
"Xkr4",93.5199868003434,44.3980946960147,48.2863651484939,45.3002600462994,30.1293331220282,56.5460968066121,60.9122484550847,63.134194653673,67.3242084031749,125.158267302603
"Gm19938",135.930213372592,87.1207895921799,147.053930224959,59.6056053240781,46.6518706405598,103.822341677714,123.67032262093,83.8782871827369,198.816802940626,184.709378357873
"Gm10568",0,0,0,0,0,0,0,0,0,0
"Rp1",0,0.837699899924807,1.0974173897385,1.19211210648156,0,0,0,0,0,0
"Sox17",138.105096786554,224.503573179848,215.093808388746,196.698497569458,224.512127457694,206.717698161877,195.657525340575,233.59652021859,203.024565965824,134.242335090695
"Mrpl15",558.945037388099,462.410344758493,650.76851211493,656.853770671341,732.82313464546,459.784656001305,576.820534612545,581.736507880272,524.918437393504,482.464933634226
"Lypla1",260.986009675377,241.257571178344,217.288643168223,250.343542361128,182.719826675526,255.847913420081,210.424131026656,199.32367169231,258.777426049703,306.839623064445
"Gm19860",0,0,0,0,1.94382794335666,0,1.84582571076014,0,0,2.01868173068714
"Tcea1",1043.94403870151,1072.25587190375,947.071207344324,1173.03831277786,1186.70695941924,1120.72509900318,1070.57891224088,1091.31965044206,967.785495795639,1093.11615716709
"Rgs20",1018.93287944095,1136.75876419796,1119.36573753327,931.0395551621,1220.72394842798,1066.95995777722,1134.25989926211,1080.49664564429,994.084014703129,1008.33152447823
"Atp6v1h",2778.41356133578,2688.1789788587,2787.44016993579,2623.83874636592,2809.80329212205,2606.68236426546,2539.85617800596,2581.28664426874,2818.14928612665,2561.70711624198
"Oprk1",235.97485041482,249.634570177592,171.197112799206,257.496215000018,227.427869372729,162.222408871428,214.115782448177,219.165847154893,157.791113444941,212.970922587493
"Npbwr1",15.2241838977303,29.3194964973682,21.94834779477,30.9949147685206,23.3259353202799,28.7365410000816,28.6102985167822,26.1555949279502,29.454341176389,35.3269302870249
"Rb1cc1",793.832446095938,877.909495121197,649.671094725191,842.823259282465,700.749973580076,774.959621808651,804.780009891422,847.80204249218,630.112513023465,710.575969201873
"Fam150a",0,1.67539979984961,0,3.57633631944469,4.85956985839165,0,0.922912855380072,0.901917066481042,2.10388151259921,2.01868173068714
"St18",117.44370435392,125.654984988721,96.5727302969879,149.014013310195,93.3037412811196,104.749326871265,89.5225469718669,94.7012919805094,104.142134873661,150.391788936192
"Pcmtd1",1934.55879671873,1938.437568426,1555.04044125945,1678.49384592604,1722.231557814,1824.3068609084,1664.93479110565,1768.65936736932,1544.24903024782,2004.55095857233
"Sntg1",195.739507256533,204.398775581653,182.171286696591,158.550910162048,154.534321496854,195.593875839265,178.122181088354,149.718233035853,146.219765125645,179.662674031155
"Rrs1",513.272485694908,569.635931948868,621.13824259199,579.366483750039,603.558576412243,591.416553485549,589.741314587866,543.855991088068,550.165015544695,451.175366808575
"Adhfe1",312.095769903471,288.168765574133,305.082034347303,301.604362939835,351.832857747555,297.562247129877,283.334246601682,367.982163124265,315.582226889882,301.792918737727
"2610203C22Rik",9.78697536282663,5.02619939954884,9.87675650764649,8.34478474537094,11.66296766014,0.926985193551018,10.1520414091808,12.6268389307346,3.15582226889882,9.08406778809212
"3110035E14Rik",1782.31695774143,2627.86458606412,1818.42061479669,1637.96203430567,2162.50858698428,2895.90174465338,2240.83241286281,1690.19258258547,1597.8980088191,1876.3646686737
"Mybl1",21.7488341396147,17.5916978984209,10.974173897385,5.96056053240781,0.971913971678329,13.9047779032653,7.38330284304057,8.11725359832938,13.6752298318949,20.1868173068714
"Vcpip1",500.223185211139,459.897245058719,295.205277839656,399.357555671323,373.214965124479,398.603633226938,371.933880718169,409.470348182393,463.905873528127,586.427042764614
"1700034P13Rik",2.17488341396147,0,2.194834779477,2.38422421296313,1.94382794335666,4.63492596775509,4.61456427690036,6.3134194653673,1.05194075629961,7.06538605740498
"Sgk3",263.160893089338,285.655665874359,273.256930044886,327.83082928243,288.658449588464,251.212987452326,286.102985167822,331.905480465024,264.037129831201,281.606101430856
"Gm6195",0,0.837699899924807,0,0,0.971913971678329,0,0.922912855380072,0,1.05194075629961,1.00934086534357
"6030422M02Rik",5.43720853490368,5.86389929947365,2.194834779477,2.38422421296313,0.971913971678329,1.85397038710204,4.61456427690036,4.50958533240521,5.25970378149804,5.04670432671785
"Snhg6",239.237175535762,235.393671878871,216.191225778484,311.141259791688,416.951093850003,222.476446452244,276.873856614021,231.792686085628,226.167262604416,136.261016821382
"Snord87",1.08744170698074,0,0,2.38422421296313,0,0.926985193551018,0.922912855380072,1.80383413296208,0,0
"Gm10567",2.17488341396147,5.86389929947365,2.194834779477,7.15267263888938,6.80339780174831,5.56191116130611,11.9978671199409,7.21533653184834,4.20776302519843,5.04670432671785
"Tcf24",3.26232512094221,0,0,0,0.971913971678329,0,0,0,0,1.00934086534357
"Ppp1r42",5.43720853490368,15.0785981986465,9.87675650764649,22.6501300231497,7.77531177342664,15.7587482903673,12.920779975321,4.50958533240521,9.46746680669647,3.02802259603071
"Cops5",1390.83794322836,1391.4195337751,1549.55335431076,1535.44039314825,1668.77628937169,1484.10329487518,1556.95398702618,1600.00087593737,1393.82150209698,1201.11562975885
"Cspp1",232.712525293878,385.341953965411,288.620773501225,463.731609421328,391.681330586367,365.232166259101,344.246495056767,384.216670320924,194.609039915427,243.2511485478
"Arfgef1",1196.18587767881,1237.28275218894,1017.30592028759,1100.31947428248,1084.65599239302,1096.62348397085,1036.43113659182,1048.02763125097,953.058325207444,1312.14312494664
"Cpa6",17.3990673116918,5.02619939954884,7.68192172816949,7.15267263888938,12.6348816318183,2.78095558065305,7.38330284304057,12.6268389307346,9.46746680669647,5.04670432671785
"Prex2",493.698534969254,475.81354315729,286.425938721748,416.047125162065,346.973287889164,440.317966936734,415.310784921032,442.841279642192,406.049131931648,598.539133148737
"A830018L16Rik",709.01199295144,892.988093319844,688.080703366038,654.469546458378,693.946575778327,782.375503357059,766.940582820839,771.139091841291,598.554290334477,827.659509581727
"4932411L15",0,0,0,0,0,0,0,0,0,0
"Sulf1",291.434377470837,324.1898612709,339.101973429196,489.958075763922,271.163998098254,302.197173097632,276.873856614021,272.378954077275,353.452094116668,384.5588696959
"Slco5a1",106.569287284112,138.220483487593,81.2088868406489,110.866425902785,122.46116043147,106.603297258367,147.666056860811,101.916628512358,73.6358529409725,151.401129801535
"Prdm14",0,0,0,0,0.971913971678329,0,0,0,0,0
"Ncoa2",1017.84543773397,986.810482111422,696.860042483946,860.704940879688,850.424725218538,901.95659332514,877.690125466448,807.215774500533,771.072574367612,1173.86342639457
"Tram1",432.801799378333,436.441647860824,382.998669018736,507.839757361146,497.619953499305,439.390981743183,429.154477751733,459.977703905332,475.477221847423,444.10998075117
"Lactb2",207.701366033321,172.56617938451,142.664260666005,212.195954953718,100.107139082868,164.07637925853,126.43906118707,139.797145304562,170.414402520536,231.139058163677
"Xkr9",0,0,0,0,0,0,0,0,0,0
"Gm5523",0,0,0,0,0.971913971678329,0,2.76873856614021,1.80383413296208,0,2.01868173068714
"Eya1",125.055796302785,99.686288091052,84.5011390098644,90.6005200925988,94.275655252798,103.822341677714,90.445459827247,82.9763701162559,91.5188457980658,130.20497162932
"Msc",20.661392432634,32.6702960970675,30.727686912678,50.0687084722256,34.0169890087415,30.5905113871836,36.9165142152029,39.6843509251659,29.454341176389,23.2148399029021
"Trpa1",1.08744170698074,1.67539979984961,0,2.38422421296313,1.94382794335666,0.926985193551018,0.922912855380072,1.80383413296208,0,1.00934086534357
"Kcnb2",35.8855763303643,52.7750936952628,29.6302695229395,45.3002600462994,37.9046448954549,31.5174965807346,29.5332113721623,22.5479266620261,45.2334525208831,48.4483615364913
"Terf1",154.416722391265,156.649881285939,164.612608460775,172.856255439827,151.618579581819,153.879542129469,178.122181088354,186.696832761576,155.687231932342,136.261016821382
"Gm106",6.52465024188442,16.7539979984961,25.2405999639855,11.9211210648156,26.2416772353149,22.2476446452244,25.841559950642,13.5287559972156,26.2985189074902,8.07472692274855
"Gm7634",0,0,0,0,0,0,0,0,0,0
"4930444P10Rik",2.17488341396147,16.7539979984961,7.68192172816949,33.3791389814838,15.5506235468533,11.1238223226122,12.920779975321,13.5287559972156,9.46746680669647,6.05604519206142
"Rpl7",7019.43621856066,5739.08201438485,6681.07706872798,6630.52753625045,8055.22299726999,5437.69514537027,5739.59504760866,6403.6111720154,8228.28059577553,7056.30198961689
"Rdh10",212.051132861244,230.367472479322,179.976451917114,245.575093935202,222.568299514337,190.95894987151,217.807433869697,248.929110348768,232.478907142213,263.437965854672
"Stau2",2385.84710511574,1799.37938503848,1493.5850674341,1457.95310622695,1125.47637920351,1946.66890645714,1680.62430964711,1444.87114050263,2020.77819285155,2743.38847200382
"Ube2w",873.215690705532,952.464786214505,813.186285796227,838.054810856538,980.661197423434,845.410496518528,941.371112487673,1032.69504112079,720.579418065231,806.463351409512
"Tceb1",1425.63607785175,1249.84825068781,1270.80933731718,1171.84620067138,1273.20730289861,1299.63324135853,1427.74618727297,1368.20818985174,1191.84887688746,1252.59201389137
"D030040B21Rik",3.26232512094221,0,0,0,0,0,0,0,0,0
"Tmem70",520.884577643773,629.11262484353,622.235659981729,684.272349120417,777.531177342664,685.969043227753,661.728517307511,698.083809456327,573.307712183286,518.801204786595
"Ly96",16.3116256047111,10.0523987990977,13.169008676862,32.1870268750022,12.6348816318183,19.4666890645714,14.7666056860811,9.92108773129146,18.9349336133929,11.1027495187793
"Jph1",388.216689392123,276.440966975186,256.795669198809,290.875353981501,250.753804693009,294.781291549224,311.944545118464,294.02496367282,292.439530251291,354.278643735593
"Gdap1",1606.15140121055,1661.15890155089,1226.91264172764,1385.23426773158,1394.6965493584,1413.6524201653,1319.7653831935,1350.16984852212,1184.48529159336,1656.3283600288
"Pi15",2.17488341396147,5.02619939954884,5.48708694869249,20.2659058101866,5.83148383006998,12.0508075161632,13.8436928307011,10.8230047977725,13.6752298318949,14.13077211481
"Crispld1",48.9348768141332,31.8325961971426,58.1631216561404,36.9554753009284,42.7642147538465,39.8603633226938,37.8394270705829,51.4092727894194,30.5062819326886,69.6445197087063
"Crisp4",0,0,0,0,0,0,0,0,0,0
"Defb44-ps",0,0,0,0,0,0,0,0,0,0
"Defb18",0,0,0,0,0,0,0,0,0,0
"Defb41",0,0,0,0,0,0,0,0,0,0
"Gm15386",0,0,0,0,0,0,0,0,0,0
