"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",57.025189689206,-0.185638821940193,0.273389289205185,-0.679027413546061,0.497120492443424,0.999957590981977
"Gm19938",157.116906384931,0.287307964595005,0.754034548142921,0.381027587267193,0.703182778192841,0.999957590981977
"Gm10568",0.0869948477606287,-0.652590228716224,3.16074699792792,-0.206467088047237,0.836426070802509,NA
"Rp1",0.170256815625523,-0.0755179776275987,3.16074699792792,-0.0238924462087936,0.98093839961665,NA
"Sox17",178.040903016969,0.173143903512316,0.189375068625219,0.914290908350638,0.360564006565563,0.999957590981977
"Mrpl15",617.849663574585,0.0527883017453429,0.131046903414408,0.402819909284014,0.687080713691254,0.999957590981977
"Lypla1",207.751642600604,0.101533937924646,0.149007481857314,0.681401609228407,0.495617404906604,0.999957590981977
"Gm19860",0.704093336643404,0.425328446299757,2.31028191806654,0.184102400219499,0.853933123562042,0.999957590981977
"Tcea1",1059.52650160173,0.0242874124837936,0.0743229569599281,0.326782107133982,0.743832693560762,0.999957590981977
"Rgs20",1214.93870320595,-0.201677096437096,0.0993090536315038,-2.03080272203015,0.0422750108077457,0.999957590981977
"Atp6v1h",2870.42389684553,-0.0190599834816221,0.0956718560394268,-0.199222470125043,0.84208872309805,0.999957590981977
"Oprk1",224.447479709371,-0.233501375986088,0.228000254063483,-1.0241277008449,0.30577496203057,0.999957590981977
"Npbwr1",35.1738447815279,-0.35468332892357,0.257755729084783,-1.37604440523185,0.168807885899504,0.999957590981977
"Rb1cc1",731.714455815685,0.0577612932703058,0.114648147160935,0.503813578332185,0.614392385031562,0.999957590981977
"Fam150a",1.9366467957097,0.201147348506044,1.16149479250685,0.173179724785427,0.862510160115429,0.999957590981977
"St18",98.670246099867,0.362004559739185,0.220002497549039,1.64545659150298,0.0998756873933405,0.999957590981977
"Pcmtd1",1739.77526933582,0.0462048851859345,0.097740583800346,0.472729785206899,0.636405973747888,0.999957590981977
"Sntg1",163.883173489602,0.0779743864577534,0.148938657505781,0.523533565855639,0.600602999018986,0.999957590981977
"Rrs1",602.759828519228,-0.00792256282295312,0.0875102129600069,-0.0905330081481326,0.927863664933337,0.999957590981977
"Adhfe1",336.631523496259,-0.0710325602283444,0.128923682518665,-0.550965957849215,0.581657011027033,0.999957590981977
"2610203C22Rik",5.24587981441864,-0.46864785219633,0.664031613867859,-0.70576135594892,0.480336557734101,0.999957590981977
"3110035E14Rik",1782.60034312322,-0.134653000309339,0.199976203712671,-0.673345117116089,0.50072775588877,0.999957590981977
"Mybl1",12.3048694563377,-0.612683783311531,0.418237726072117,-1.46491754597452,0.142943415101969,0.999957590981977
"Vcpip1",405.694628573443,-0.113667029774089,0.125245507714682,-0.907553746622438,0.36411404102289,0.999957590981977
"1700034P13Rik",1.85985987631896,-1.10851265139033,1.16859867902488,-0.948582837963939,0.342832823019889,0.999957590981977
"Sgk3",278.528158802616,0.102195704571444,0.159846172678497,0.639337826229927,0.522603185997061,0.999957590981977
"Gm6195",1.01479421704402,-1.25518720465569,1.47607304874657,-0.850355750158537,0.395127329815988,0.999957590981977
"6030422M02Rik",2.24730803052043,0.371025893275008,0.958442387045406,0.387113402213743,0.698672256128333,0.999957590981977
"Snhg6",238.983601090502,0.0641643411867737,0.188513862673979,0.340369351498258,0.733578396268706,0.999957590981977
"Snord87",0.215725853631397,-1.22965959717857,3.16074699792792,-0.389040817877765,0.697245951867848,NA
"Gm10567",4.52755036053266,-1.72208010868607,0.667700131543775,-2.57912201500468,0.009905179326092,0.999957590981977
"Tcf24",1.1296989317398,0.780548808761349,1.46629661385791,0.532326680280383,0.594499756565613,0.999957590981977
"Ppp1r42",8.24476418097653,0.699640209084796,0.517004239085358,1.35325816732672,0.175973168392597,0.999957590981977
"Cops5",1504.00384690671,0.0199877004290256,0.0722671430014545,0.276580747472241,0.782102049500639,0.999957590981977
"Cspp1",301.671902506236,0.252948035386093,0.311713698453172,0.81147551949531,0.417092645803509,0.999957590981977
"Arfgef1",1100.93594466287,0.0454869959979135,0.0748280978256118,0.607886573622675,0.543262705024361,0.999957590981977
"Cpa6",7.58093135107207,0.689303989485347,0.58781933169378,1.17264600247008,0.240937793571722,0.999957590981977
"Prex2",440.547037119477,-0.0769724254745652,0.111852207671849,-0.688161879650923,0.491350846493953,0.999957590981977
"A830018L16Rik",727.847601640069,-0.17325405684566,0.120020547619516,-1.44353663003524,0.148869361561723,0.999957590981977
"4932411L15",0.0832619678648941,0.501551390834747,3.16074699792792,0.158681283621735,0.87391998483302,NA
"Sulf1",311.224081272417,0.0732215271826905,0.224323882952945,0.326409859792101,0.744114278659043,0.999957590981977
"Slco5a1",119.067711839802,-0.0809404809188495,0.24930683549618,-0.324662100651026,0.745436821360874,0.999957590981977
"Prdm14",0.184250247176523,-0.0755179776275987,3.16074699792792,-0.0238924462087936,0.98093839961665,NA
"Ncoa2",820.222818304627,-0.0207015173847425,0.118453851964754,-0.174764408597723,0.861264755703772,0.999957590981977
"Tram1",460.212121049136,0.223712474815134,0.10085567396642,2.21814466174326,0.0265449704619127,0.999957590981977
"Lactb2",173.515145372345,0.0366171021555212,0.141251517825736,0.259233335819416,0.795455211731474,0.999957590981977
"Xkr9",0,NA,NA,NA,NA,NA
"Gm5523",1.48823520509294,0.491309152887568,1.24761411431161,0.393798969770917,0.693729465088972,0.999957590981977
"Eya1",99.5691998796095,0.104092072561266,0.194654892801163,0.53475189379182,0.592821432101228,0.999957590981977
"Msc",36.1233386125412,-0.0970858466757712,0.279032418065376,-0.347937516898214,0.72788710910837,0.999957590981977
"Trpa1",1.84079508688463,-0.71542456931087,1.03936589332304,-0.688327925619659,0.491246299905574,0.999957590981977
"Kcnb2",34.5373323627421,-0.275221220046563,0.245896251316344,-1.11925748592439,0.263030307341267,0.999957590981977
"Terf1",179.057662693782,-0.0457653874251157,0.122322384440976,-0.374137469885562,0.708302042761263,0.999957590981977
"Gm106",12.2241741542941,-0.280244724489931,0.428391040064798,-0.654179705643568,0.512996034848765,0.999957590981977
"Gm7634",0,NA,NA,NA,NA,NA
"4930444P10Rik",12.0161675655339,0.345857216170928,0.495141300180619,0.698502055968196,0.484863272551986,0.999957590981977
"Rpl7",7140.39968817944,-0.10528056581362,0.167890013366864,-0.627080573181959,0.530606420712221,0.999957590981977
"Rdh10",229.952309783497,-0.0899039541402744,0.168086629148303,-0.53486678027764,0.592741980925237,0.999957590981977
"Stau2",1912.41115444781,-0.14386724802082,0.258965169692142,-0.5555467099759,0.578520769993849,0.999957590981977
"Ube2w",897.839326077161,0.0172527355456867,0.129875683159261,0.132840383403646,0.894319616026912,0.999957590981977
