"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2114","B2115"
"Xkr4",42.6274754027081,43.405282933122,95.3310329833748,69.2353767177812,53.0509007609847,52.4550397548833,42.7721483504496,43.7649297371525,75.9238945597199,51.6858156918841
"Gm19938",57.4165995220149,73.8813326521226,202.01099846477,62.3118390460031,312.136695175096,68.2748136492132,63.2283932137081,64.1885636144903,494.055487787163,173.664340724731
"Gm10568",0.869948477606287,0,0,0,0,0,0,0,0,0
"Rp1",0.869948477606287,0,0,0,0,0.832619678648941,0,0,0,0
"Sox17",181.819231819714,197.632564844428,127.108043977833,161.219520071405,169.022637308254,226.472552592512,162.720129594102,213.961878714968,125.439477968233,215.012993278238
"Mrpl15",537.628159160685,609.520994380012,606.032995394311,562.784705034536,716.804031212375,525.383017227482,575.564344107137,638.967974162426,784.546910450439,621.263504616447
"Lypla1",172.249798566045,192.091464895519,189.527172716947,220.564128686646,229.475989338213,261.442579095767,212.930912440282,179.922488919405,181.557139164547,237.754752182667
"Gm19860",0,0,0,2.96723043076205,0,0,0,0.972553994158943,0,3.10114894151305
"Tcea1",983.041779695104,972.463041033564,1132.62346330248,1058.3121869718,1109.13394846803,1076.57724449308,1033.97019490652,1057.16619165077,1094.84456647712,1077.13239901886
"Rgs20",1393.65746112527,1267.98837164205,1315.34127652061,1209.64093894066,1311.46761648667,988.319558556293,1172.5147623895,1229.3082486169,996.913745958061,1264.23505182349
"Atp6v1h",2713.36930165401,2822.26690731108,3053.9977352174,2647.75862105,3210.19636697866,2701.85085721581,2627.69763561675,2639.51154014737,3098.57517507494,3189.01482818925
"Oprk1",281.863306744437,225.338064588974,165.694414471104,348.155037209414,191.229991115177,207.322299983586,195.264155512922,243.138498539736,134.242248351968,252.226780576394
"Npbwr1",38.2777330146766,38.7876996423644,44.2608367422811,51.4319941332089,24.6748375632487,39.9657445751492,26.9650500470226,31.1217278130862,24.207618555273,32.0452057289681
"Rb1cc1",718.577442502793,786.836192745106,724.061893373727,737.851300449497,618.10468095938,815.967285075962,819.179623842306,748.866575502386,593.086654604188,754.612909101508
"Fam150a",1.73989695521257,1.84703331630307,2.26978649960416,2.96723043076205,0,0,0,0.972553994158943,4.40138519186782,5.16858156918841
"St18",79.1653114621721,107.127932345578,104.410178981791,88.0278361126076,53.0509007609847,145.708443763565,109.719858812023,114.761371310755,80.3252797515877,104.405347697606
"Pcmtd1",1698.13942828747,1536.73171916415,1778.37772243986,1971.23008283626,1575.48837841343,1724.35535448196,1947.99240856939,1843.96237292536,1590.00040056225,1731.47482567812
"Sntg1",182.68918029732,146.839148646094,173.638667219718,175.066595414961,118.439220303594,186.506808017363,160.860470970169,184.785258890199,151.84778911944,158.158596017165
"Rrs1",603.744243458763,679.708260399528,559.502372152426,569.708242706314,608.23474593408,606.147126056429,566.266050987474,629.242434220836,627.197389841164,577.847419435264
"Adhfe1",345.369545609696,392.494579714401,359.76116018726,312.54827204027,314.604178931421,342.206687924715,351.47547992326,325.805588043246,251.979302234433,370.07044035389
"2610203C22Rik",6.08963934324401,1.84703331630307,10.2140392482187,9.89076810254018,2.46748375632487,5.82833775054259,5.57897587179777,0.972553994158943,4.40138519186782,5.16858156918841
"3110035E14Rik",1114.40399981365,1654.94185140755,2080.25932688721,2136.40591014868,2344.10956850863,1706.03772155168,2155.34434513787,1269.18296237742,1716.54022482845,1648.7775205711
"Mybl1",10.4393817312754,12.0057165559699,24.9676514956458,8.90169129228616,18.5061281724365,9.15881646513835,12.0877810555618,6.8078779591126,8.80277038373564,11.3708794522145
"Vcpip1",394.086660355648,363.865563311704,519.781108409353,457.94256314761,373.823789083218,432.962232897449,386.808993777979,359.844977838809,371.917048712831,395.913348199832
"1700034P13Rik",0,2.7705499744546,4.53957299920832,2.96723043076205,2.46748375632487,0,0.929829311966295,3.89021597663577,0,1.03371631383768
"Sgk3",278.383512834012,294.601813950339,224.708863460812,318.482732901794,227.008505581888,356.361222461747,280.808452213821,318.025156089974,222.269952189325,264.631376342447
"Gm6195",0,1.84703331630307,2.26978649960416,2.96723043076205,0,0,0.929829311966295,0,1.10034629796695,1.03371631383768
"6030422M02Rik",2.60984543281886,2.7705499744546,2.26978649960416,1.97815362050804,0,0,3.71931724786518,3.89021597663577,1.10034629796695,4.13486525535073
"Snhg6",247.935316117792,330.618963618249,181.582919968333,220.564128686646,186.295023602528,228.970411628459,230.597669367641,317.052602095816,233.273415168994,212.945560650563
"Snord87",0,0.923516658151533,0,0,1.23374187816243,0,0,0,0,0
"Gm10567",7.82953629845658,6.46461660706073,6.80935949881248,3.95630724101607,9.86993502529948,3.33047871459576,0.929829311966295,2.91766198247683,1.10034629796695,2.06743262767536
"Tcf24",0.869948477606287,0,2.26978649960416,0.989076810254018,0,0.832619678648941,0,0,2.20069259593391,4.13486525535073
