,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rspo2,212.7013701,1.758069043,0.096504138,18.21755084,3.75E-74,7.05E-70
Fut10,151.1252105,-1.313351506,0.146958362,-8.936895407,4.00E-19,3.77E-15
Sgcg,15.67208699,-2.34517044,0.276181873,-8.491398869,2.04E-17,1.28E-13
Gm4322,23.58041499,7.100965125,0.854322589,8.311807762,9.43E-17,3.55E-13
A630081J09Rik,251.0028062,-1.883895242,0.225965547,-8.337090624,7.61E-17,3.55E-13
Hpgd,52.0173653,-1.70784866,0.22330013,-7.648220632,2.04E-14,6.39E-11
Got1l1,13.64587521,-2.223612867,0.31005262,-7.171727377,7.41E-13,1.99E-09
2610507I01Rik,227.6216022,-2.591602956,0.367384144,-7.054204698,1.74E-12,3.63E-09
Fgl1,5.245278922,-5.831820769,0.826655133,-7.05472033,1.73E-12,3.63E-09
Nnt,466.9816591,-0.462012296,0.065729803,-7.028962088,2.08E-12,3.92E-09
LOC433374,3.332641258,-4.793662634,0.758187063,-6.32253288,2.57E-10,4.40E-07
LOC100862375,3794.392999,0.80508392,0.128809658,6.250182888,4.10E-10,6.43E-07
LOC100861837,194.015276,0.713898078,0.11704417,6.099390308,1.06E-09,1.54E-06
3110070M22Rik,21.47106058,1.864902846,0.322957601,5.77445101,7.72E-09,1.04E-05
Gm7120,371.2189067,0.987242502,0.174212231,5.66689546,1.45E-08,1.83E-05
Gm16867,111.6261518,1.351904785,0.243354026,5.555300684,2.77E-08,3.26E-05
Adam18,6.051140177,-3.089994391,0.558644523,-5.531235457,3.18E-08,3.52E-05
Lyrm7,450.2817544,0.430485741,0.078131834,5.509735502,3.59E-08,3.76E-05
Zfp277,229.8643615,-0.669331267,0.121743444,-5.497883461,3.84E-08,3.81E-05
Gm8225,146.4151539,-0.945837853,0.173725011,-5.444454127,5.20E-08,4.89E-05
Plcb3,552.9312661,0.374655725,0.069494894,5.391125913,7.00E-08,6.28E-05
Rps2,11001.8033,-0.528616135,0.099647926,-5.304838306,1.13E-07,9.65E-05
Il3ra,165.9228964,0.908956877,0.173679303,5.233535941,1.66E-07,0.000136125
Me3,1754.359921,-0.41430479,0.07934758,-5.221391595,1.78E-07,0.000139307
Mid1,219.739097,0.642258751,0.124034972,5.178045677,2.24E-07,0.000168857
Fam198b,130.8308947,-0.705131863,0.136804239,-5.154312952,2.55E-07,0.000184333
Entpd4,1711.16737,0.768288437,0.153294174,5.011856716,5.39E-07,0.000375894
Gm6139,2258.377553,-0.641199035,0.129445325,-4.953435248,7.29E-07,0.000490273
Tnip1,1204.255293,0.583442616,0.118040735,4.942722662,7.70E-07,0.000500143
Gm10395,584.1924306,-0.458080688,0.093981706,-4.874147418,1.09E-06,0.000685801
Acaa1a,1519.942024,0.591126436,0.121511406,4.864781456,1.15E-06,0.000695891
Rb1,322.1642234,-0.410768436,0.08492298,-4.836952681,1.32E-06,0.000775701
