"","A2011","A2012","A2013","A2014","A2015","A2001","A2003","A2002","A2004","A2005"
"Xkr4",41.544545080748,41.1547555611919,41.7781738426626,37.6665435299215,47.3295625070833,54.9107892718227,56.8627716296987,59.3901208062742,64.7482521534279,35.9202034367093
"Gm19938",62.316817621122,73.8675099816266,80.8896557379212,78.4719656873365,92.9687834960565,81.2679681222976,71.0784645371234,336.54401790222,69.9281123257022,73.8929899269448
"Gm10568",0,0,0,0,0,0,0,0,0,0
"Rp1",0,0,0,0,0,2.19643157087291,0,0,0.863310028712372,0
"Sox17",266.26276619934,201.552777235581,161.779311475842,197.749353532088,195.234445341719,206.464567662053,222.71252221632,121.419802537272,176.978555886036,212.442346039966
"Mrpl15",514.585842477447,521.293570441765,516.449340480574,570.229617327978,539.218944277128,508.473908657078,491.862974596894,597.860549449827,523.165877399698,563.434048192954
"Lypla1",159.568820878328,169.895272957741,181.335052423472,149.619881243855,197.769957618884,181.205604597015,174.379166331076,163.652777332844,179.568485972173,198.074264665283
"Gm19860",5.66516523828382,0,2.666691947404,0,1.69034151811012,0,2.84313858148493,1.31978046236165,0,0
"Tcea1",972.520032572056,972.940631472281,863.119293643094,993.978232039595,929.687834960565,893.947649345274,958.137701960423,898.770494868283,953.094271698459,925.714957140336
"Rgs20",1332.25802520308,1130.17290271889,1176.90004612096,1070.35761197527,1118.16091422984,1292.59997945871,1204.54304568912,1206.27934259855,1113.66993703896,1212.05029310725
"Atp6v1h",2615.41795167436,2366.92606983983,2398.24495803199,2814.5278359858,2366.47812535417,2568.72672213587,2278.30171662993,2553.77519466979,2077.12392908197,2545.20298637254
"Oprk1",239.825328420682,257.481034793098,164.446003423246,266.804683336944,220.58956811337,235.018178083401,176.274592052066,168.931899182291,166.618835541488,163.180352755336
"Npbwr1",34.9351856360836,30.6022541352453,31.1114060530466,33.4813720265969,32.1164888440923,17.5714525669833,15.1634057679197,51.4714380321043,35.3957111772073,24.6309966423149
"Rb1cc1",684.540799625962,719.680597249562,673.78416537741,811.923271644975,735.298560377902,654.536608120127,743.006882628063,567.505598815509,615.540050471922,680.43128224395
"Fam150a",1.88838841276127,0,0,7.32405013081807,4.2258537952753,6.58929471261873,1.89542572098996,2.6395609247233,0,2.05258305352624
"St18",83.089090161496,105.525014259467,74.6673745273119,53.3609366673888,65.0781484472396,77.9733207659883,97.6144246309828,52.7912184944659,98.4173432732104,85.1821967213391
"Pcmtd1",1581.52529568757,1621.919469168,1463.12498180899,1660.46679394404,1501.86843884084,1580.33251524306,1542.87653688582,1582.41677437162,1464.17380869618,1442.96588662895
"Sntg1",128.410412067767,136.127268394712,183.112847055074,143.342123988868,129.311126135424,181.205604597015,201.86283928543,126.698924386718,205.467786833545,148.812271380653
"Rrs1",557.074581764576,530.790821725117,562.672000902243,496.989116019798,518.089675300751,596.331171491995,537.353191900653,640.0935242454,549.065178261069,501.856556587167
"Adhfe1",380.510265171397,345.066796628456,337.780980004506,324.350791507657,319.474546922812,327.268304060063,274.836729543544,358.980285762368,332.374361054263,322.25553940362
"2610203C22Rik",0,7.38675099816266,6.22228121060933,4.18517150332461,11.8323906267708,0,13.2679800469297,21.1164873977864,5.17986017227423,4.10516610705249
"3110035E14Rik",1936.54231728669,2018.69352278359,2043.57492902726,3681.90463004983,2385.91705281243,2740.04838466395,2796.70065132068,1649.72557795206,1014.38928373704,2037.1886806248
"Mybl1",5.66516523828382,6.33150085556799,2.666691947404,8.37034300664922,6.76136607244047,7.68751049805518,6.63399002346485,15.8373655483398,8.63310028712372,6.15774916057873
"Vcpip1",364.458963662926,350.343047341429,351.114439741526,376.665435299215,330.461766790528,359.116561837721,397.091688547396,390.655016859048,343.597391427524,313.018915662752
"1700034P13Rik",1.88838841276127,1.05525014259467,1.77779463160266,4.18517150332461,5.07102455433036,3.29464735630936,0.947712860494978,0,6.04317020098661,1.02629152676312
"Sgk3",262.485989373817,270.144036504234,255.113529634982,233.323311310347,225.660592667701,249.294983294075,258.725610915129,187.408825655354,219.280747292943,264.783213904886
"Gm6195",0.944194206380637,0,0,0,1.69034151811012,1.09821578543645,2.84313858148493,1.31978046236165,0.863310028712372,2.05258305352624
"6030422M02Rik",0.944194206380637,2.11050028518933,5.33338389480799,5.23146437915576,1.69034151811012,0,0.947712860494978,0,0.863310028712372,0
"Snhg6",249.267270484488,250.094283794936,203.557485318505,290.869419481061,270.454642897619,179.009173026142,223.660235076815,157.053875021036,249.496598297876,288.387919020437
"Snord87",0,2.11050028518933,0.888897315801332,0,2.53551227716518,0,0,0,1.72662005742474,5.13145763381561
"Gm10567",0.944194206380637,3.165750427784,1.77779463160266,5.23146437915576,3.38068303622024,3.29464735630936,4.73856430247489,0,3.45324011484949,5.13145763381561
"Tcf24",0,0,0,0,1.69034151811012,1.09821578543645,0.947712860494978,0,0,0
