,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Nwd1,644.7295482,0.562816923,0.109969368,5.117942694,3.09E-07,0.005726136
1810012P15Rik,697.2250259,0.483411127,0.101795057,4.748866418,2.05E-06,0.012640444
Tnks,154.925518,0.873444586,0.182039593,4.798102282,1.60E-06,0.012640444
Gm2808,177.850909,1.017240989,0.224116646,4.538890822,5.66E-06,0.026208517
B230209E15Rik,180.8057255,0.545274827,0.124107635,4.393563913,1.12E-05,0.041342479
Ern1,59.159282,0.84711293,0.204718294,4.137944455,3.50E-05,0.081203664
Deptor,25.33283936,1.774664273,0.423289452,4.192554914,2.76E-05,0.081203664
Nmt2,142.3098332,0.677384497,0.163500959,4.143000137,3.43E-05,0.081203664
Rcan3,934.0854594,0.358922235,0.087570276,4.098676516,4.16E-05,0.085587739
Mdm4,128.2642801,0.747640344,0.190690205,3.920706599,8.83E-05,0.098312088
Cacna1e,1094.07552,0.622170467,0.153939217,4.041663194,5.31E-05,0.098312088
Uhmk1,58.21777425,1.398610139,0.35588697,3.929927915,8.50E-05,0.098312088
Ptch1,175.2238149,1.007690325,0.257348503,3.915664218,9.02E-05,0.098312088
Sv2c,577.5642953,1.010879188,0.255784802,3.952069009,7.75E-05,0.098312088
Megf9,94.61422167,1.064499964,0.26698072,3.987179169,6.69E-05,0.098312088
3110021N24Rik,31.19178129,1.026288159,0.260052163,3.946470379,7.93E-05,0.098312088
Tbl1x,255.6077353,0.703448608,0.175690216,4.00391453,6.23E-05,0.098312088
Eif2c2,412.9607404,0.603689959,0.157829049,3.824961018,0.000130793,0.121231828
Usp6nl,199.280015,0.446515938,0.116727872,3.825272654,0.000130627,0.121231828
Gatad2b,153.7582612,0.529273735,0.138264209,3.82798802,0.000129195,0.121231828
Slc23a2,1050.07759,0.365183955,0.096380862,3.788967509,0.000151275,0.133539538
Hdac4,96.00771644,0.690995784,0.183472977,3.766199235,0.000165752,0.139668276
Dst,3831.451195,0.195470063,0.052203883,3.744358719,0.000180855,0.145769218
Lmln,64.8377811,0.741615641,0.200851475,3.692358447,0.000222184,0.165662916
Zfp109,28.42809498,1.139758725,0.308797427,3.690959275,0.00022341,0.165662916
Rassf8,53.10424992,0.739892618,0.201926925,3.664160287,0.000248151,0.17175756
Tmem143,724.4760043,-0.256991146,0.070175958,-3.662096737,0.000250159,0.17175756
