MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6		positive regulation of interleukin-1 beta production			IMP		J:289587 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		positive regulation of tumor necrosis factor production			ISO	RGD:3786 	J:155856 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of interferon-gamma production	regulates a function/process that happens in T cell,happens in T cell		IGI	MGI:87860 	J:154821 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of interleukin-2 production	regulates a function/process that happens in T cell,happens in T cell		IGI	MGI:87860 	J:154821 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		positive regulation of interferon-gamma production	regulates a function/process caused by the action of T cell,happens in T cell		IGI	MGI:87859 	J:154821 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		positive regulation of interleukin-2 production	regulates a function/process caused by the action of T cell,happens in T cell		IGI	MGI:87859 	J:154821 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of tumor necrosis factor (ligand) superfamily member 11 production			IMP		J:172936 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of chemokine production			ISO	P78536 	J:164563 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of chemokine (C-C motif) ligand 5 production			ISO	P18509 	J:164563 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of interleukin-6 production			ISO	RGD:2037 	J:155856 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		positive regulation of interleukin-8 production			ISO	Q15848 	J:164563 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		positive regulation of monocyte chemotactic protein-1 production			ISO	Q15848 	J:164563 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of chemokine production	regulates a function/process that has the participant Cxcl1		IMP	MGI:3773754 	J:138722 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of interleukin-6 production			IMP	MGI:3773754 	J:138722 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of interleukin-6 production			ISO	RGD:2050 	J:155856 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of vascular endothelial growth factor production			IMP	MGI:3773754 	J:138722 	
MGI:87934	Adra2a	adrenergic receptor, alpha 2a	19		positive regulation of cytokine production			ISO	P08913 	J:164563 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		positive regulation of interleukin-8 production			IBA	PTN002682769 	J:265628 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		positive regulation of interleukin-8 production			ISO	Q8N4X5 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of chemokine production	happens in brain,regulates a function/process that happens in brain,uses UniProtKB:P10148		IGI	P05067 	J:184555 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of endothelin production			IGI	P05067 P12023 	J:268022 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of interleukin-1 beta production	happens in cerebral cortex,regulates a function/process that happens in cerebral cortex|happens in hippocampal formation,regulates a function/process that happens in hippocampal formation		IGI	P05067 	J:184555 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of interleukin-12 production			ISO	Q15109 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of interleukin-6 production	happens in brain,regulates a function/process that happens in brain		IGI	P05067 	J:184555 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of monocyte chemotactic protein-1 production	happens in macrophage		IGI	P02638 	J:215451 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of tumor necrosis factor production	happens in cerebral cortex,regulates a function/process that happens in cerebral cortex|happens in hippocampal formation,regulates a function/process that happens in hippocampal formation		IGI	P05067 	J:184555 	
MGI:1932075	Agpat1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	17		positive regulation of cytokine production			ISO	Q99943 	J:164563 	
MGI:1914762	Agpat2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	2		positive regulation of cytokine production			ISO	O15120 	J:164563 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of cytokine production			IMP		J:156435 	
