NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	3	14.697932243347168	0.04269254	Yes	
row_1	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	7	13.115394592285156	0.08076924	Yes	
row_2	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	11	12.578794479370117	0.117280826	Yes	
row_3	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	19	11.333802223205566	0.14992464	Yes	
row_4	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	27	10.40365219116211	0.17985544	Yes	
row_5	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	34	9.56238842010498	0.20739162	Yes	
row_6	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	35	9.355450630187988	0.23467894	Yes	
row_7	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	39	9.140885353088379	0.2611631	Yes	
row_8	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	41	8.469307899475098	0.28580663	Yes	
row_9	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	43	8.306475639343262	0.30997527	Yes	
row_10	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	46	8.097707748413086	0.33347586	Yes	
row_11	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	52	7.7606329917907715	0.35581592	Yes	
row_12	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	73	6.214934825897217	0.37276083	Yes	
row_13	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	76	6.123936176300049	0.39050445	Yes	
row_14	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	84	5.777019023895264	0.40694064	Yes	
row_15	ADGRE1	adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]	99	5.418002605438232	0.4219158	Yes	
row_16	GPR132	G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:HGNC:17482]	110	5.153789520263672	0.43635684	Yes	
row_17	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	117	4.989670276641846	0.45055562	Yes	
row_18	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	132	4.593286514282227	0.46312535	Yes	
row_19	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	151	4.29603385925293	0.47459155	Yes	
row_20	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	159	4.241388320922852	0.48654872	Yes	
row_21	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	190	3.952707290649414	0.49630412	Yes	
row_22	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	191	3.9409408569335938	0.5077988	Yes	
row_23	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	245	3.4926631450653076	0.51485264	Yes	
row_24	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	250	3.4618537425994873	0.52471346	Yes	
row_25	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	316	3.100659132003784	0.5299145	Yes	
row_26	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	320	3.0904994010925293	0.53875124	Yes	
row_27	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	332	3.003466844558716	0.5468613	Yes	
row_28	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	336	2.9835383892059326	0.55538607	Yes	
row_29	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	351	2.9444806575775146	0.56314665	Yes	
row_30	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	423	2.7643232345581055	0.567012	Yes	
row_31	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	444	2.7137935161590576	0.573745	Yes	
row_32	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	566	2.439242124557495	0.5737062	Yes	
row_33	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	581	2.3943445682525635	0.5798622	Yes	
row_34	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	583	2.391453504562378	0.5867783	Yes	
row_35	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	594	2.37713623046875	0.5931206	Yes	
row_36	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	671	2.2544384002685547	0.5952031	Yes	
row_37	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	676	2.2473013401031494	0.6015214	Yes	
row_38	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	802	2.0834031105041504	0.6002082	Yes	
row_39	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	837	2.0448858737945557	0.6041626	Yes	
row_40	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	839	2.0437917709350586	0.6100646	Yes	
row_41	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	907	1.978263258934021	0.6118737	Yes	
row_42	EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	912	1.967633605003357	0.61737627	Yes	
row_43	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	951	1.9346649646759033	0.62077266	Yes	
row_44	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	1036	1.858473300933838	0.6212273	Yes	
row_45	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	1050	1.8499075174331665	0.62585443	Yes	
row_46	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	1074	1.8351832628250122	0.62984747	Yes	
row_47	TNFSF15	TNF superfamily member 15 [Source:HGNC Symbol;Acc:HGNC:11931]	1088	1.8210009336471558	0.63439023	Yes	
row_48	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	1101	1.8096858263015747	0.63895917	Yes	
row_49	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	1176	1.7549654245376587	0.63970315	Yes	
row_50	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1195	1.7368240356445312	0.64370483	Yes	
row_51	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1203	1.7325470447540283	0.6483444	Yes	
row_52	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	1461	1.5640143156051636	0.6377126	No	
row_53	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	1712	1.4116679430007935	0.6270502	No	
row_54	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	1730	1.4061310291290283	0.6301465	No	
row_55	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	1731	1.4056750535964966	0.63424647	No	
row_56	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	1828	1.3609555959701538	0.6325406	No	
row_57	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1898	1.3265540599822998	0.6323306	No	
row_58	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	1903	1.3231923580169678	0.6359535	No	
row_59	TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	1906	1.3218985795974731	0.6396909	No	
row_60	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1907	1.3216413259506226	0.64354575	No	
row_61	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	2037	1.2723406553268433	0.63963044	No	
row_62	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2147	1.2305725812911987	0.63677573	No	
row_63	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2371	1.1484911441802979	0.626942	No	
row_64	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	2389	1.1436448097229004	0.6292727	No	
row_65	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	2408	1.1365798711776733	0.6315236	No	
row_66	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	2487	1.1100114583969116	0.63014996	No	
row_67	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	2599	1.0695013999938965	0.62670714	No	
row_68	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	2641	1.0551774501800537	0.62736094	No	
row_69	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	2780	1.0086770057678223	0.6221445	No	
row_70	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	2905	0.9683865904808044	0.6176383	No	
row_71	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	2958	0.9523841142654419	0.61734194	No	
