"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",60.1749087908307,-0.165090195680785,0.199615268708178,-0.827041922940946,0.408213300138324,1
"Gm19938",110.445453149557,0.545786278885566,0.366431408267779,1.48946369380738,0.13636530694999,1
"Gm10568",0.0211466388257989,0,4.18119954659388,0,1,1
"Rp1",0.3201881229106,1.71260421796355,1.6637374915831,1.02937165666319,0.303305062685722,1
"Sox17",202.075739913764,0.107232628744014,0.120334375379986,0.891122161937521,0.372863636748536,1
"Mrpl15",566.626969285272,0.0544552649234204,0.0719752177854421,0.756583538041542,0.449299406862036,1
"Lypla1",210.025024108002,-0.166386205990069,0.0976760403982128,-1.70344953902445,0.0884839736635831,1
"Gm19860",0.816217044634669,-1.37131064140296,1.23720599395449,-1.10839314399038,0.267692064542652,1
"Tcea1",1023.68643915812,-0.043083252347003,0.0425363541677419,-1.01285719450953,0.311128376985821,1
"Rgs20",1183.27456696238,0.119840779553907,0.0663586207147539,1.80595645694701,0.0709251413185711,1
"Atp6v1h",2663.6289578249,-0.0131539127349742,0.0475411833520801,-0.276684588129814,0.782022306943015,1
"Oprk1",222.76078170278,-0.170156465555004,0.14036107070455,-1.21227677090873,0.225406452696004,1
"Npbwr1",29.7199394019446,-0.264966294322151,0.171450808682192,-1.54543624704216,0.122240778465762,1
"Rb1cc1",749.923288473339,-0.178985561964289,0.0767406867907407,-2.33234245677724,0.019682682678491,1
"Fam150a",2.25854572468513,0.943537025300045,0.751771017316142,1.25508566247807,0.209447664646814,1
"St18",98.9333675869885,-0.185906334778106,0.147526268677347,-1.26015750581139,0.207612548867707,1
"Pcmtd1",1721.40596306353,-0.0791864102600068,0.0524739258031347,-1.50906205411596,0.131282925512085,1
"Sntg1",168.622987978159,0.0324051538275172,0.101682458349822,0.318689716529401,0.749961813400165,1
"Rrs1",576.370876493314,0.126176474332444,0.0529737222539938,2.38186914122184,0.0172250172015919,1
"Adhfe1",331.180149785487,-0.00620547725340204,0.0690923323876356,-0.0898142679362281,0.928434809841629,1
"2610203C22Rik",7.37131374619954,0.187983065384688,0.435714491471885,0.431436339768419,0.666151131524477,1
"3110035E14Rik",2124.45106546182,-0.155019729441032,0.15445837180356,-1.00363436200264,0.315554885533403,1
"Mybl1",10.395202990834,-0.159567495853392,0.336304442110661,-0.474473351740284,0.635162396537534,1
"Vcpip1",399.017466522475,-0.113674543735851,0.0858055883414507,-1.32479184553225,0.185240200181406,1
"1700034P13Rik",2.83682647174098,-0.380458172683861,0.513696345283397,-0.740628537027978,0.458918700237357,1
"Sgk3",275.529808604546,-0.193026557817357,0.0917720727871288,-2.10332568454779,0.035437309736422,1
"Gm6195",0.953585076399243,0.452292735116127,0.836868272415656,0.540458695859701,0.588880738437225,1
"6030422M02Rik",2.82792808895195,-1.06060246077092,0.539021616240041,-1.96764365067432,0.049109053569312,1
"Snhg6",250.914049435637,0.0462027742222163,0.131589220733969,0.351113669983831,0.725503072866715,1
"Snord87",0.720597509631781,-0.129612266343679,1.07213113179274,-0.120892176805789,0.903776438727451,1
"Gm10567",4.32674361496804,-0.187219603331374,0.447886824319121,-0.41800649888727,0.675942365649916,1
"Tcf24",0.717816057024401,1.64033760706554,1.28706313031839,1.27448107899708,0.202492974068366,1
"Ppp1r42",9.76468379799832,-0.403672591805283,0.356044387476264,-1.13377041179225,0.256890865324135,1
"Cops5",1484.70500039518,-0.00910875588300732,0.0548742539317267,-0.165993252397385,0.86816226031372,1
