sampleName	time	housing	genotype	group
A1016	0	0	0	CS60
A1017	0	0	0	CS60
A1018	0	0	0	CS60
A1019	0	0	0	CS60
A1020	0	0	0	CS60
A1006	0	1	0	CO60
A1007	0	1	0	CO60
A1008	0	1	0	CO60
A1009	0	1	0	CO60
A1010	0	1	0	CO60
A2011	0	0	1	DS60
A2012	0	0	1	DS60
A2013	0	0	1	DS60
A2014	0	0	1	DS60
A2015	0	0	1	DS60
A2001	0	1	1	DO60
A2003	0	1	1	DO60
A2004	0	1	1	DO60
A2005	0	1	1	DO60
B1116	1	0	0	CS140
B1117	1	0	0	CS140
B1118	1	0	0	CS140
B1119	1	0	0	CS140
B1120	1	0	0	CS140
B1106	1	1	0	CO140
B1107	1	1	0	CO140
B1108	1	1	0	CO140
B1109	1	1	0	CO140
B1110	1	1	0	CO140
B2111	1	0	1	DS140
B2112	1	0	1	DS140
B2113	1	0	1	DS140
B2115	1	0	1	DS140
B2101	1	1	1	DO140
B2102	1	1	1	DO140
B2103	1	1	1	DO140
B2104	1	1	1	DO140
B2105	1	1	1	DO140
