"","genes","logFC","logCPM","F","PValue","FDR"
"1","ENSMUSG00000051951",0.525992682037588,1.55266779194622,3.01019023865127,0.0909726378182979,0.566394834695144
"2","ENSMUSG00000102331",0.449028249799068,1.80320446931549,1.06549922836599,0.308589349917527,0.743158029610927
"3","ENSMUSG00000025902",-0.246378407918444,2.88263248113713,1.71492783050881,0.198330365450144,0.659101988445372
"4","ENSMUSG00000033845",-0.0408906905738311,4.31171726279256,0.137754868749275,0.712616226722666,0.922882633115433
"5","ENSMUSG00000025903",-0.292573006501298,3.32394162973241,6.03580032250983,0.0187738880601733,0.47015672012166
"6","ENSMUSG00000033813",-0.0376183569389951,5.14725374858683,0.225126406147125,0.637918401677704,0.897385610113041
"7","ENSMUSG00000062588",0.259228386435144,2.70078548948017,1.78245113987635,0.189913786632071,0.652537195509699
"8","ENSMUSG00000103280",0.520504522469064,-0.119793770855194,1.26784684542135,0.267340228593555,0.714683175697256
"9","ENSMUSG00000002459",0.161933324908172,5.41098160899231,2.72504523420933,0.107154266415134,0.582385501590354
"10","ENSMUSG00000033793",0.0193679303495962,6.55338162623188,0.0721042477433381,0.789772039996046,0.945793902779892
"11","ENSMUSG00000025905",0.248563931017637,3.14011716368581,1.87373263952338,0.179209084313534,0.643559455016142
"12","ENSMUSG00000033774",0.252816738380028,0.262117129443866,0.537008191918362,0.468240754002291,0.828714954644517
"13","ENSMUSG00000025907",-0.144624029370117,4.8076025363751,1.62547291244479,0.210189335073776,0.667519471579742
"14","ENSMUSG00000090031",-0.217597789843951,1.06730496186973,0.5076721938037,0.480567403817151,0.835285410515194
"15","ENSMUSG00000103845",-0.157032101347186,0.763430987338649,0.290757279068334,0.592929469184519,0.880764890336681
"16","ENSMUSG00000033740",-0.652606581158877,1.90940966545364,7.77769311692702,0.00826940547529924,0.457756028450327
"17","ENSMUSG00000051285",-0.0709708617977879,5.95736800143049,0.85505740172549,0.361050096311187,0.775702965006096
"18","ENSMUSG00000048538",0.50228369182321,0.320695791898286,1.92922803686613,0.173053855360825,0.637317422172999
"19","ENSMUSG00000097797",0.580159894295806,0.761721366127976,4.35447942333606,0.0437790394477863,0.500320855639771
"20","ENSMUSG00000025909",-0.178396909939311,2.81325392738262,1.04825381098727,0.312482614129146,0.745870576442019
"21","ENSMUSG00000061024",0.0414037580087824,4.32335629747784,0.232398093111239,0.632558941644179,0.896164637838598
"22","ENSMUSG00000025911",-0.0153222923199227,3.63836957496225,0.0193739570254818,0.890046097651442,0.973013509067622
"23","ENSMUSG00000079671",0.194042505138558,3.58759480403211,0.57668498694466,0.452371875265586,0.820810200167063
"24","ENSMUSG00000081441",0.184610012506354,3.98866607607985,2.47829876826179,0.123844345736472,0.594412285713786
"25","ENSMUSG00000067879",0.132594279230827,6.2632618781044,0.292517679307952,0.591816633449281,0.880634576101832
"26","ENSMUSG00000025912",0.0140825144124233,0.860011580442989,0.00361697162155485,0.952363156046003,0.98800321602341
"27","ENSMUSG00000045210",0.125655713992442,4.76275436896714,1.4185357693225,0.241144211511497,0.691550932113626
"28","ENSMUSG00000097893",0.206408464506822,-0.214174047702274,0.12248512441877,0.728316742144268,0.927982384823155
