NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ptges3	0	19.761985778808594	0.35353822	Yes	
row_1	Ndufaf1	94	5.8328447341918945	0.4536873	Yes	
row_2	Tmem35a	236	4.594030857086182	0.5295068	Yes	
row_3	Cct2	688	3.125004768371582	0.56504774	Yes	
row_4	Bbs12	707	3.101282835006714	0.6197163	Yes	
row_5	Hopx	870	2.7922420501708984	0.6623539	Yes	
row_6	Clu	1315	2.261854410171509	0.6827693	Yes	
row_7	Hsp90aa1	1431	2.16119122505188	0.71623975	Yes	
row_8	Psmg2	2115	1.716156244277954	0.7161007	No	
row_9	Lonp1	6190	0.526315450668335	0.5415554	No	
row_10	Psmg1	6322	0.5056960582733154	0.5446869	No	
row_11	Stub1	6428	0.49208489060401917	0.54874897	No	
row_12	Mkks	6583	0.46503767371177673	0.5501146	No	
row_13	Hsp90ab1	9070	0.1490592062473297	0.44052616	No	
row_14	Hspa4	11252	-0.008791488595306873	0.34220064	No	
row_15	Bbs10	13826	-0.25340545177459717	0.23055051	No	
row_16	Psmg3	16893	-0.7302273511886597	0.105169274	No	
row_17	Pfdn6	18140	-1.0403319597244263	0.06751764	No	
row_18	Ptges3l	22070	-6.380189895629883	0.004244512	No	
