NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ptges3	0	19.761985778808594	0.19037576	Yes	
row_1	Hspa5	21	7.673996925354004	0.26339778	Yes	
row_2	Tcp1	215	4.709700584411621	0.30003613	Yes	
row_3	Cct6a	220	4.693946838378906	0.34507397	Yes	
row_4	Cct5	545	3.441470146179199	0.36356783	Yes	
row_5	Sdf2	629	3.245270013809204	0.3910756	Yes	
row_6	Pdia4	654	3.200753688812256	0.420824	Yes	
row_7	Cct2	688	3.125004768371582	0.44943544	Yes	
row_8	Hspe1	699	3.1150336265563965	0.47899145	Yes	
row_9	Cct4	764	2.974344253540039	0.50474894	Yes	
row_10	Hspa8	779	2.9447154998779297	0.5324832	Yes	
row_11	Sdf2l1	1161	2.4202747344970703	0.5385605	Yes	
row_12	Clu	1315	2.261854410171509	0.55342746	Yes	
row_13	Cct8	1544	2.076533317565918	0.56311584	Yes	
row_14	Fkbp5	2021	1.770355224609375	0.5586339	Yes	
row_15	Hspa14	2076	1.7369998693466187	0.57292396	Yes	
row_16	Hspa2	2391	1.5763258934020996	0.57390255	Yes	
row_17	Cd74	2526	1.4964112043380737	0.5822553	Yes	
row_18	Hspa13	2628	1.4571508169174194	0.59172297	Yes	
row_19	Chordc1	3189	1.2415376901626587	0.57834613	No	
row_20	Cct3	3945	1.0041340589523315	0.5538596	No	
row_21	Dnajb13	4154	0.951246976852417	0.5536125	No	
row_22	Cct7	4342	0.9028960466384888	0.55384964	No	
row_23	Ppid	4606	0.8418882489204407	0.5500606	No	
row_24	Dnajb7	4711	0.8179946541786194	0.5532352	No	
row_25	Pex19	4915	0.7690723538398743	0.5514593	No	
row_26	Tor1b	5155	0.7178406119346619	0.5475611	No	
row_27	Hsph1	5874	0.5772628784179688	0.5206364	No	
row_28	Dnajc7	6498	0.4792751669883728	0.49706593	No	
row_29	H2-DMb1	6555	0.46973854303359985	0.4990574	No	
row_30	Hspa1b	7001	0.4075070917606354	0.48284918	No	
row_31	Dnajb3	7162	0.38502582907676697	0.47931916	No	
row_32	Hspb6	7237	0.3749510645866394	0.47958308	No	
row_33	Bag1	7430	0.3487715721130371	0.47425598	No	
row_34	Dnajb4	7445	0.3461640775203705	0.4769573	No	
row_35	Dnajb6	7573	0.3308468163013458	0.4743984	No	
row_36	Pdcl3	7940	0.2903861403465271	0.46063623	No	
row_37	Dnajb8	9969	0.06500546634197235	0.36950603	No	
row_38	Hspa1a	9990	0.06268846988677979	0.36920506	No	
row_39	Dnajb1	10137	0.04926181584596634	0.3630739	No	
row_40	H2-DMa	11193	-0.0016355363186448812	0.3153564	No	
row_41	Fkbp1a	11305	-0.013831184245646	0.31046745	No	
row_42	Sgta	11574	-0.04180864244699478	0.29874462	No	
row_43	Dnajc5	12072	-0.0937381163239479	0.277161	No	
row_44	Dnajb12	12950	-0.16164512932300568	0.23903853	No	
row_45	Hspa9	13272	-0.20122839510440826	0.22645347	No	
row_46	Umod	13507	-0.22462378442287445	0.2180301	No	
row_47	Pdcd5	14199	-0.2992161512374878	0.18964843	No	
row_48	Fkbp1b	15033	-0.4177650511264801	0.15598404	No	
row_49	Dnajc18	15365	-0.4676576852798462	0.14551318	No	
row_50	H2-DMb2	16190	-0.5979228615760803	0.11399153	No	
row_51	Dnajb5	16313	-0.6193880438804626	0.1144385	No	
row_52	Fkbp4	16414	-0.6392367482185364	0.116072066	No	
row_53	Dnajb2	17171	-0.7903265357017517	0.08948057	No	
row_54	Unc45a	18201	-1.0600284337997437	0.05313541	No	
row_55	Hspb1	18383	-1.1211893558502197	0.055747006	No	
row_56	St13	18444	-1.1431539058685303	0.06404482	No	
row_57	Unc45b	18568	-1.1818947792053223	0.06986541	No	
row_58	Dffa	18602	-1.1971248388290405	0.07990476	No	
row_59	Tor2a	19859	-1.7687737941741943	0.040116683	No	
row_60	Hspa1l	20269	-2.002009391784668	0.04089779	No	
row_61	Dnajb14	20568	-2.2728614807128906	0.049310304	No	
row_62	Tor1a	20668	-2.372476100921631	0.06768616	No	
