NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rps12	10	8.700060844421387	0.03991865	Yes	
row_1	Eif3i	32	7.294589996337891	0.07281572	Yes	
row_2	Eif4a2	56	6.405540943145752	0.10149634	Yes	
row_3	Rplp0	61	6.352139949798584	0.13079187	Yes	
row_4	Cnbp	63	6.31838321685791	0.16006699	Yes	
row_5	Paip1	112	5.557072162628174	0.1836751	Yes	
row_6	Rpl5	119	5.467672824859619	0.20877545	Yes	
row_7	Rpl3	157	5.121132850646973	0.23086005	Yes	
row_8	Drg1	159	5.117928504943848	0.25456446	Yes	
row_9	Rpl26	167	5.0438232421875	0.2776525	Yes	
row_10	Eif3m	213	4.715732574462891	0.2974926	Yes	
row_11	Rpl4	218	4.696636199951172	0.31910577	Yes	
row_12	Rwdd1	262	4.453121662139893	0.33781803	Yes	
row_13	Rps6	275	4.42238187789917	0.35779524	Yes	
row_14	Csde1	355	4.056211471557617	0.37303096	Yes	
row_15	Rpl7	413	3.8492984771728516	0.3883055	Yes	
row_16	Rps7	426	3.8174889087677	0.40547568	Yes	
row_17	Rps4x	782	2.941516876220703	0.40300632	Yes	
row_18	Etf1	810	2.9041714668273926	0.41525716	Yes	
row_19	Rps15a	842	2.8542253971099854	0.4270946	Yes	
row_20	Eif2s2	849	2.841431140899658	0.44000787	Yes	
row_21	Rpl35a	879	2.7701313495635986	0.45154586	Yes	
row_22	Rps23	885	2.7610878944396973	0.46413168	Yes	
row_23	Ncbp2	930	2.695815086364746	0.47464374	Yes	
row_24	Eif3d	936	2.678839683532715	0.48684788	Yes	
row_25	Rpl14	1123	2.4586379528045654	0.4898115	Yes	
row_26	Rps8	1126	2.4558990001678467	0.5011173	Yes	
row_27	Fau	1138	2.4432711601257324	0.51195586	Yes	
row_28	Rpl8	1199	2.37473464012146	0.5202514	Yes	
row_29	Rps3	1212	2.3654637336730957	0.5306835	Yes	
row_30	Eif2s3x	1330	2.2541072368621826	0.5358311	Yes	
row_31	Rpl12	1410	2.175464391708374	0.5423392	Yes	
row_32	Denr	1762	1.9306316375732422	0.5353604	Yes	
row_33	Rps26	1795	1.9096078872680664	0.54276896	Yes	
row_34	Rpl27	1929	1.82083261013031	0.54517937	Yes	
row_35	Ncbp1	2029	1.7631672620773315	0.5488661	Yes	
row_36	Rps3a1	2183	1.6775643825531006	0.54970354	Yes	
row_37	Nck1	2330	1.6092153787612915	0.5505417	Yes	
row_38	Rps5	2394	1.5737106800079346	0.55498385	Yes	
row_39	Rpl10a	2541	1.4897427558898926	0.55526763	Yes	
row_40	Rpl13a	2653	1.4481338262557983	0.5569475	Yes	
