NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Eif3i	32	7.294589996337891	0.15602043	Yes	
row_1	Eif4a2	56	6.405540943145752	0.2932558	Yes	
row_2	Eif3m	213	4.715732574462891	0.38800552	Yes	
row_3	Eif2s2	849	2.841431140899658	0.42065632	Yes	
row_4	Ncbp2	930	2.695815086364746	0.475236	Yes	
row_5	Eif3d	936	2.678839683532715	0.5328374	Yes	
row_6	Eif2s3x	1330	2.2541072368621826	0.5637422	Yes	
row_7	Denr	1762	1.9306316375732422	0.58594763	Yes	
row_8	Ncbp1	2029	1.7631672620773315	0.61199194	Yes	
row_9	Nck1	2330	1.6092153787612915	0.633177	Yes	
row_10	Rpl13a	2653	1.4481338262557983	0.64989096	Yes	
row_11	Eif2b3	5062	0.7370210289955139	0.55701876	No	
row_12	Slbp	5738	0.6005599498748779	0.53948957	No	
row_13	Rps2	6219	0.5217494368553162	0.52906823	No	
row_14	Eif4h	6663	0.4557020366191864	0.5188927	No	
row_15	Eif5	6991	0.40848881006240845	0.5129383	No	
row_16	Eif4b	7659	0.31854602694511414	0.48968276	No	
row_17	Eif4a1	7674	0.31623929738998413	0.49587685	No	
row_18	Dhx29	8259	0.24712154269218445	0.47482902	No	
row_19	Eif4ebp1	9262	0.14017273485660553	0.43258926	No	
row_20	Mcts2	10010	0.0605180449783802	0.4001497	No	
row_21	Mettl3	11538	-0.03781323507428169	0.33198333	No	
row_22	Mif4gd	11677	-0.05253562331199646	0.3268832	No	
row_23	Mcts1	13683	-0.2338859885931015	0.2413556	No	
row_24	Eif2d	14122	-0.2899928092956543	0.22782882	No	
row_25	Ythdf2	14862	-0.38895705342292786	0.20284058	No	
row_26	Rbm4	16666	-0.6845718026161194	0.13616718	No	
row_27	Eif2s3y	18948	-1.324378252029419	0.06171132	No	
row_28	Eif3a	21644	-3.8693814277648926	0.023491075	No	
