NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ptges3	0	19.761985778808594	0.24990125	Yes	
row_1	Selenof	3	11.288164138793945	0.39255595	Yes	
row_2	Hspa5	21	7.673996925354004	0.48882964	Yes	
row_3	Sdf2	629	3.245270013809204	0.5024366	Yes	
row_4	Cct2	688	3.125004768371582	0.53933287	Yes	
row_5	Hspe1	699	3.1150336265563965	0.5782723	Yes	
row_6	Hspa8	779	2.9447154998779297	0.6119397	Yes	
row_7	Entpd5	1008	2.595503807067871	0.6344576	Yes	
row_8	Sdf2l1	1161	2.4202747344970703	0.6581942	Yes	
row_9	Hspa14	2076	1.7369998693466187	0.6388544	Yes	
row_10	Hspa2	2391	1.5763258934020996	0.6445977	Yes	
row_11	Cd74	2526	1.4964112043380737	0.657465	Yes	
row_12	Hspa13	2628	1.4571508169174194	0.6713271	Yes	
row_13	Dnajb13	4154	0.951246976852417	0.61443895	No	
row_14	Tor1b	5155	0.7178406119346619	0.57832485	No	
row_15	Hsph1	5874	0.5772628784179688	0.55317706	No	
row_16	Dnajc7	6498	0.4792751669883728	0.5310834	No	
row_17	H2-DMb1	6555	0.46973854303359985	0.5344928	No	
row_18	Hspa1b	7001	0.4075070917606354	0.51953566	No	
row_19	Bag1	7430	0.3487715721130371	0.50460404	No	
row_20	Dnajb4	7445	0.3461640775203705	0.5083488	No	
row_21	Dnajc2	7906	0.29377827048301697	0.49127567	No	
row_22	Chchd4	9439	0.1208193376660347	0.42356995	No	
row_23	Hspa1a	9990	0.06268846988677979	0.39950728	No	
row_24	Dnajb1	10137	0.04926181584596634	0.39353225	No	
row_25	H2-DMa	11193	-0.0016355363186448812	0.34587577	No	
row_26	Dnajb12	12950	-0.16164512932300568	0.2685634	No	
row_27	Hspa9	13272	-0.20122839510440826	0.25660154	No	
row_28	Sh3glb1	13344	-0.20924176275730133	0.2560389	No	
row_29	Dnajc18	15365	-0.4676576852798462	0.17066564	No	
row_30	H2-DMb2	16190	-0.5979228615760803	0.14098881	No	
row_31	Dnajb5	16313	-0.6193880438804626	0.14330794	No	
row_32	St13	18444	-1.1431539058685303	0.061505623	No	
row_33	Tor2a	19859	-1.7687737941741943	0.019971805	No	
row_34	Hspa1l	20269	-2.002009391784668	0.026804952	No	
row_35	Dnajb14	20568	-2.2728614807128906	0.042079445	No	
row_36	Tor1a	20668	-2.372476100921631	0.06760675	No	
