NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cav2	972	2.6359245777130127	-0.008129057	No	
row_1	Slc1a1	1650	1.9999737739562988	-0.0115629975	No	
row_2	Ncstn	1874	1.8517186641693115	0.003507489	No	
row_3	Gnas	3031	1.3036446571350098	-0.031031238	No	
row_4	Gnai3	3959	1.0001506805419922	-0.05934245	No	
row_5	Prmt5	4884	0.7769525051116943	-0.090549394	No	
row_6	Vps35	5065	0.7364426851272583	-0.08868243	No	
row_7	Drd5	8284	0.24346117675304413	-0.2308091	No	
row_8	Nsg2	9580	0.10651993751525879	-0.2878882	No	
row_9	Nsg1	11710	-0.05555955320596695	-0.38335094	No	
row_10	Drd4	11846	-0.07010097801685333	-0.3885	No	
row_11	Slc9a3r1	12466	-0.11111278831958771	-0.41496584	No	
row_12	Gnaq	12840	-0.14968077838420868	-0.4297902	No	
row_13	Gnb5	13728	-0.23951764404773712	-0.46662402	No	
row_14	Dtnbp1	14894	-0.39407429099082947	-0.51392263	No	
row_15	Gnao1	15228	-0.4445234537124634	-0.5229349	No	
row_16	Oprd1	16217	-0.6023819446563721	-0.55940515	No	
row_17	Adcy6	16285	-0.6140537261962891	-0.5540935	No	
row_18	Caly	17135	-0.7821410894393921	-0.58184046	No	
row_19	Gna15	17332	-0.8253604173660278	-0.57948893	No	
row_20	Drd1	17341	-0.8281192183494568	-0.56860363	No	
row_21	Rgs4	18704	-1.2374597787857056	-0.6133511	Yes	
row_22	Palm	18797	-1.2660325765609741	-0.6003146	Yes	
row_23	Lrrk2	19046	-1.3695588111877441	-0.5929223	Yes	
row_24	Gna14	19101	-1.3907217979431152	-0.576475	Yes	
row_25	Alk	20215	-1.9686676263809204	-0.6000385	Yes	
row_26	Oprm1	20887	-2.6092584133148193	-0.5949265	Yes	
row_27	Htt	20912	-2.6410207748413086	-0.56014276	Yes	
row_28	Gnal	20951	-2.702094554901123	-0.5251623	Yes	
row_29	Gna11	21160	-2.9628918170928955	-0.49432272	Yes	
row_30	Ptger1	21326	-3.208153247833252	-0.45820892	Yes	
row_31	Drd2	21414	-3.364928722381592	-0.4164408	Yes	
row_32	Rgs8	21436	-3.407460927963257	-0.37111226	Yes	
row_33	Flna	21735	-4.141695976257324	-0.32833052	Yes	
row_34	Klf16	21799	-4.395739555358887	-0.27147806	Yes	
row_35	Adcy5	21990	-5.501686096191406	-0.20534502	Yes	
row_36	Drd3	22045	-6.119754791259766	-0.1246715	Yes	
row_37	Rgs9	22145	-9.5723237991333	8.58545E-4	Yes	
