NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rlf	774	2.9503371715545654	-0.0062320405	No	
row_1	Wdr5b	1592	2.040560722351074	-0.023290632	No	
row_2	H1f3	1895	1.838391661643982	-0.019014176	No	
row_3	Dpy30	2227	1.6596271991729736	-0.017795168	No	
row_4	Macroh2a1	2376	1.58347749710083	-0.009037048	No	
row_5	Kansl3	3017	1.3110536336898804	-0.025205564	No	
row_6	Wdr61	5131	0.7219483256340027	-0.113791056	No	
row_7	Prmt6	5281	0.6897615194320679	-0.11380184	No	
row_8	Setmar	5291	0.6873036623001099	-0.10750034	No	
row_9	Dydc2	5345	0.6769668459892273	-0.10329113	No	
row_10	Nfya	5602	0.6272156834602356	-0.10875516	No	
row_11	Dydc1	5672	0.6150680184364319	-0.1058743	No	
row_12	Snw1	5799	0.5902829766273499	-0.10581514	No	
row_13	Nfyb	5941	0.5665726661682129	-0.106666304	No	
row_14	Wdr82	6760	0.44195979833602905	-0.13937424	No	
row_15	Phf20	7565	0.3319191336631775	-0.17252268	No	
row_16	Myb	7626	0.32442688941955566	-0.17207147	No	
row_17	Pagr1a	8207	0.2520194947719574	-0.19586176	No	
row_18	Nelfe	9111	0.14522995054721832	-0.23531313	No	
row_19	Rtf1	9964	0.06547118723392487	-0.2732348	No	
row_20	Bend3	10272	0.035094667226076126	-0.2867868	No	
row_21	Gfi1	11129	0.0042729065753519535	-0.3254869	No	
row_22	Ash2l	11253	-0.008821423165500164	-0.33096766	No	
row_23	Pih1d1	11678	-0.05268358811736107	-0.34964326	No	
row_24	Kmt2c	11679	-0.05271470546722412	-0.34912872	No	
row_25	Cxxc1	11708	-0.0550067201256752	-0.34985906	No	
row_26	Kdm1a	11804	-0.06623142212629318	-0.35351217	No	
row_27	Kat8	12707	-0.1352698802947998	-0.3930155	No	
row_28	Nelfa	12772	-0.14156128466129303	-0.3945303	No	
row_29	Gcg	13143	-0.18557511270046234	-0.40946475	No	
row_30	Wdr5	13260	-0.1988590508699417	-0.41277373	No	
row_31	H1f2	13332	-0.20837609469890594	-0.41395316	No	
row_32	Nnmt	13398	-0.2154916375875473	-0.41479155	No	
row_33	Rbbp5	13635	-0.22889138758182526	-0.4232385	No	
row_34	Ctnnb1	14213	-0.3011053800582886	-0.44641387	No	
row_35	Gata3	14555	-0.349952757358551	-0.4584313	No	
row_36	Pygo2	14896	-0.39453673362731934	-0.4699683	No	
row_37	Mcrs1	15070	-0.4228367805480957	-0.47367075	No	
row_38	Ctr9	15364	-0.4673062562942505	-0.48237026	No	
row_39	Ncoa6	15937	-0.5554186105728149	-0.502837	No	
row_40	Tet2	16222	-0.6035453081130981	-0.5097993	No	
row_41	Paxip1	16377	-0.6302840113639832	-0.51061696	No	
row_42	Smad4	16433	-0.6431038975715637	-0.5068288	No	
row_43	Kansl2	16541	-0.6611251831054688	-0.5052182	No	
row_44	Ogt	17036	-0.7607010006904602	-0.52015096	No	
row_45	Bcor	17364	-0.8322882652282715	-0.5268266	No	
row_46	Kmt2a	17641	-0.9026677012443542	-0.53050715	No	
row_47	Brca1	18681	-1.2300496101379395	-0.5655247	No	
row_48	Nfyc	19036	-1.3659231662750244	-0.5682135	Yes	
row_49	Ash1l	19239	-1.4426599740982056	-0.56327397	Yes	
row_50	Prdm9	19669	-1.6677677631378174	-0.5664109	Yes	
row_51	Dnmt3b	19700	-1.6802804470062256	-0.5513673	Yes	
row_52	Setbp1	19878	-1.783206820487976	-0.5419721	Yes	
row_53	H1f4	20053	-1.8754856586456299	-0.5315404	Yes	
row_54	Kansl1	20514	-2.226529836654663	-0.53062624	Yes	
row_55	Kmt2e	20667	-2.3718137741088867	-0.5143541	Yes	
row_56	Tet3	20911	-2.6388442516326904	-0.4995941	Yes	
row_57	Setd4	20916	-2.644679546356201	-0.47396016	Yes	
row_58	Kmt2d	21030	-2.7900216579437256	-0.4518408	Yes	
row_59	Ctcfl	21059	-2.8352723121643066	-0.42543268	Yes	
row_60	Hcfc1	21069	-2.84171199798584	-0.3981018	Yes	
row_61	Ehmt2	21314	-3.1935367584228516	-0.37797263	Yes	
row_62	Auts2	21446	-3.427396774291992	-0.35044643	Yes	
row_63	Arid4a	21461	-3.461315393447876	-0.31729385	Yes	
row_64	Dnmt1	21560	-3.6411256790161133	-0.2861879	Yes	
row_65	Men1	21700	-4.02511739730835	-0.25318936	Yes	
row_66	Setd1b	21832	-4.517373561859131	-0.2150238	Yes	
row_67	Setd1a	22033	-5.922568321228027	-0.1662649	Yes	
row_68	Kmt2b	22066	-6.324654579162598	-0.10597766	Yes	
row_69	Zfp335	22158	-11.30690860748291	2.7152567E-4	Yes	
