NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2-Aa	28	7.4158430099487305	0.3205166	Yes	
row_1	B2m	240	4.585149765014648	0.50994474	Yes	
row_2	Pdia3	351	4.079507350921631	0.6819924	Yes	
row_3	Calr	646	3.218090057373047	0.8083554	Yes	
row_4	H2-Ob	5080	0.7326907515525818	0.6400121	No	
row_5	H2-DMb1	6555	0.46973854303359985	0.5938482	No	
row_6	H2-Oa	6657	0.45707109570503235	0.6091212	No	
row_7	H2-Eb1	7074	0.3982396721839905	0.6076201	No	
row_8	Tapbp	7405	0.35151588916778564	0.60797435	No	
row_9	H2-Eb2	7463	0.34395933151245117	0.62032574	No	
row_10	H2-Ab1	7806	0.3035227358341217	0.6180557	No	
row_11	H2-Ea	10638	0.004854706581681967	0.49045596	No	
row_12	H2-DMa	11193	-0.0016355363186448812	0.46551564	No	
row_13	Tapbpl	11998	-0.08652516454458237	0.43297207	No	
row_14	H2-DMb2	16190	-0.5979228615760803	0.2697066	No	
