NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Kpna2	3858	1.0289286375045776	-0.13291217	No	
row_1	Jak2	6237	0.5189721584320068	-0.21945924	No	
row_2	Kpna1	8415	0.22734123468399048	-0.30862913	No	
row_3	Wnt3a	8446	0.2225581407546997	-0.30105647	No	
row_4	Abi1	9755	0.08664630353450775	-0.35663554	No	
row_5	Stat3	10315	0.031241927295923233	-0.38062054	No	
row_6	Rnf10	12448	-0.10936278849840164	-0.47249103	No	
row_7	Nsmf	12968	-0.16335684061050415	-0.48937076	No	
row_8	Rela	15208	-0.4417727589607239	-0.5727387	No	
row_9	Cabp1	17034	-0.7604199647903442	-0.6246337	No	
row_10	Camk4	19627	-1.6447854042053223	-0.67568463	Yes	
row_11	Nrg1	20398	-2.1070306301116943	-0.6259333	Yes	
row_12	Htt	20912	-2.6410207748413086	-0.54315954	Yes	
row_13	Prr7	21119	-2.9109749794006348	-0.4356969	Yes	
row_14	Anks1b	21525	-3.56471848487854	-0.3109963	Yes	
row_15	Crtc1	22133	-8.471436500549316	0.0013995571	Yes	
