NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tram1	50	6.600672721862793	0.13801412	Yes	
row_1	Caml	143	5.221185684204102	0.24481563	Yes	
row_2	Emc7	204	4.769128799438477	0.34345558	Yes	
row_3	Emc3	255	4.50263786315918	0.43688393	Yes	
row_4	Emc2	298	4.284773349761963	0.5260437	Yes	
row_5	Tram1l1	665	3.1595757007598877	0.57665884	Yes	
row_6	Ccdc47	1038	2.5552711486816406	0.6141608	Yes	
row_7	Get1	1342	2.2391066551208496	0.6480601	Yes	
row_8	Emc4	1707	1.9607865810394287	0.67328984	Yes	
row_9	Emc1	2688	1.435133457183838	0.6595284	Yes	
row_10	Mmgt1	2761	1.406690239906311	0.6861705	Yes	
row_11	Wdr83os	4035	0.9805216789245605	0.6495152	No	
row_12	Emc8	5887	0.5758728981018066	0.5781564	No	
row_13	Emc6	7038	0.4023812711238861	0.53477	No	
row_14	Get4	9017	0.15492825210094452	0.44872993	No	
row_15	Ubl4a	9872	0.07393001765012741	0.4117318	No	
row_16	Emc9	11259	-0.00970819778740406	0.34934214	No	
row_17	Sgta	11574	-0.04180864244699478	0.33604944	No	
row_18	Mmgt2	13093	-0.18049877882003784	0.27132776	No	
row_19	Sec61a1	13110	-0.18208888173103333	0.27447474	No	
row_20	Emc10	18832	-1.2743134498596191	0.043177698	No	
row_21	Tram2	19664	-1.6657280921936035	0.041045945	No	
row_22	Bag6	21422	-3.379403829574585	0.033510897	No	
