NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sec62	12	8.405973434448242	0.07204154	Yes	
row_1	Hspa5	21	7.673996925354004	0.13794361	Yes	
row_2	Ssr3	22	7.6484880447387695	0.20398752	Yes	
row_3	Kdelr2	27	7.443553924560547	0.2680808	Yes	
row_4	Tram1	50	6.600672721862793	0.3240811	Yes	
row_5	Bcap29	121	5.443798542022705	0.36791918	Yes	
row_6	Spcs2	281	4.377917289733887	0.39852488	Yes	
row_7	Srp9	460	3.717325448989868	0.42256638	Yes	
row_8	Herpud1	633	3.2376368045806885	0.44273743	Yes	
row_9	Tram1l1	665	3.1595757007598877	0.4686168	Yes	
row_10	Spcs3	889	2.7556257247924805	0.4823172	Yes	
row_11	Rer1	956	2.6572961807250977	0.5022752	Yes	
row_12	Insig1	1282	2.2919793128967285	0.507355	Yes	
row_13	Get1	1342	2.2391066551208496	0.5240188	Yes	
row_14	Bcap31	1414	2.174868583679199	0.53958476	Yes	
row_15	Vapa	1470	2.140066385269165	0.5555744	Yes	
row_16	Btf3	1720	1.9531681537628174	0.5611688	Yes	
row_17	Srp54a	2039	1.7589612007141113	0.5619629	Yes	
row_18	Srp19	2120	1.711462378501892	0.57311994	Yes	
row_19	Sec16b	2401	1.5697529315948486	0.57400036	Yes	
row_20	Gja1	2549	1.4858779907226562	0.5801768	Yes	
row_21	Zfand2a	2929	1.33967125415802	0.57458913	Yes	
row_22	Naca	3072	1.2852033376693726	0.5792591	Yes	
row_23	Ankrd13c	3128	1.2616077661514282	0.58766335	Yes	
row_24	Insig2	3427	1.1626925468444824	0.58421403	Yes	
row_25	Tapt1	3547	1.1242040395736694	0.58853483	Yes	
row_26	Glp1r	4296	0.9144617319107056	0.5625727	No	
row_27	Srp54b	4504	0.8665016293525696	0.560685	No	
row_28	Sec63	5268	0.6930397152900696	0.5321319	No	
row_29	Chmp4b	5440	0.6587303280830383	0.53007966	No	
row_30	Rab10	6182	0.5275160670280457	0.50109315	No	
row_31	Sec61b	6303	0.5090146064758301	0.50005656	No	
row_32	Edem1	6308	0.5079302191734314	0.50426143	No	
row_33	Srp54c	6636	0.4594433605670929	0.49342695	No	
row_34	Srprb	7168	0.3845875859260559	0.47271198	No	
row_35	Sec61a2	7178	0.38347259163856506	0.47561586	No	
row_36	Kdelr3	7329	0.3629114627838135	0.47195977	No	
row_37	Arxes2	7361	0.35880565643310547	0.47365478	No	
row_38	Gabarapl2	7685	0.3156838119029999	0.46176	No	
row_39	Srp14	7907	0.2936534285545349	0.45429206	No	
row_40	Folr1	8058	0.2741696536540985	0.4498697	No	
row_41	Man1a	8219	0.25078871846199036	0.44479278	No	
row_42	Spcs1	8492	0.2175385057926178	0.43435907	No	
row_43	Arxes1	8710	0.19041500985622406	0.42618072	No	
row_44	Get4	9017	0.15492825210094452	0.41366735	No	
row_45	Rab3gap1	9077	0.14836199581623077	0.4122778	No	
row_46	Folr2	9462	0.11866458505392075	0.39592057	No	
row_47	Ppp1r15a	9596	0.10385841131210327	0.3907971	No	
row_48	Ubl4a	9872	0.07393001765012741	0.37898755	No	
row_49	Srp72	9922	0.06841064989566803	0.37736025	No	
row_50	Ubac2	9959	0.06572917103767395	0.37629828	No	
row_51	Kdelr1	10063	0.05578893423080444	0.3721177	No	
row_52	Sgta	11574	-0.04180864244699478	0.30412817	No	
row_53	Ank2	12113	-0.09825590252876282	0.28062388	No	
row_54	Rtn4	12524	-0.11728756129741669	0.2630779	No	
row_55	Mia3	12868	-0.15346404910087585	0.24887708	No	
row_56	Sec61a1	13110	-0.18208888173103333	0.23954047	No	
row_57	Zfand2b	14438	-0.33466580510139465	0.18236329	No	
row_58	Rab3gap2	15646	-0.5121721625328064	0.13215068	No	
row_59	Macf1	15758	-0.5271801948547363	0.13167839	No	
row_60	Sgtb	16026	-0.5693504810333252	0.12450884	No	
row_61	Sec61g	16399	-0.6341278553009033	0.1131458	No	
row_62	Srp68	16514	-0.6566163897514343	0.11365537	No	
row_63	Ddrgk1	16983	-0.7497939467430115	0.09894563	No	
row_64	Gbf1	17866	-0.9656352400779724	0.06735984	No	
row_65	Os9	17925	-0.9802820086479187	0.07319909	No	
row_66	Srpr	18151	-1.0422954559326172	0.072014526	No	
row_67	Lrrk2	19046	-1.3695588111877441	0.04337339	No	
row_68	Ryr2	19224	-1.435408592224121	0.047756046	No	
row_69	Tram2	19664	-1.6657280921936035	0.042267993	No	
row_70	Sec16a	19923	-1.8036867380142212	0.04616421	No	
row_71	Grik5	21209	-3.0115020275115967	0.014002374	No	
row_72	Bag6	21422	-3.379403829574585	0.03358695	No	
