NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mpp4	136	5.277235984802246	0.032096535	No	
row_1	Rap1a	345	4.090705871582031	0.052330125	No	
row_2	Zdhhc2	974	2.6317262649536133	0.042962667	No	
row_3	Snap23	998	2.605011224746704	0.060805626	No	
row_4	Rab8a	2087	1.7304078340530396	0.024067985	No	
row_5	Rapgef4	2340	1.6044161319732666	0.024284445	No	
row_6	Stau2	2570	1.47967529296875	0.024638416	No	
row_7	Gpc6	2826	1.3819353580474854	0.023106135	No	
row_8	Stau1	2939	1.3349772691726685	0.027710766	No	
row_9	Nrxn1	3443	1.1579269170761108	0.013321149	No	
row_10	Snap47	3485	1.1445153951644897	0.019761061	No	
row_11	Cnih3	4066	0.9742398262023926	5.5203075E-4	No	
row_12	Snap25	4312	0.9101624488830566	-0.00394736	No	
row_13	Vps35	5065	0.7364426851272583	-0.03267119	No	
row_14	Ghsr	5145	0.7188433408737183	-0.031038394	No	
row_15	Kif5b	5159	0.7169088125228882	-0.026430083	No	
row_16	Asic2	5356	0.6750920414924622	-0.03041409	No	
row_17	Zdhhc15	5423	0.6606412529945374	-0.028614374	No	
row_18	Lgi1	5765	0.5966968536376953	-0.039734617	No	
row_19	Arhgap44	6318	0.5065155029296875	-0.06106608	No	
row_20	Dlgap1	6421	0.4927757978439331	-0.062113944	No	
row_21	Stx3	6532	0.47432467341423035	-0.06365794	No	
row_22	Npcd	6720	0.4481518864631653	-0.068879455	No	
row_23	Stx4a	6992	0.4082545042037964	-0.07819508	No	
row_24	Nptxr	7057	0.4002493917942047	-0.07819245	No	
row_25	Cacng3	7470	0.3429949879646301	-0.0943679	No	
row_26	Nptx2	8052	0.2753892242908478	-0.11868848	No	
row_27	Nptx1	8321	0.23885276913642883	-0.12909627	No	
row_28	Mapt	8381	0.2312171757221222	-0.13009255	No	
row_29	Gpc4	8882	0.1685125231742859	-0.15151894	No	
row_30	Kif5c	8975	0.159088134765625	-0.15453288	No	
row_31	Mapk10	9858	0.07510051131248474	-0.19393952	No	
row_32	Prkcz	10458	0.018597783520817757	-0.22093701	No	
row_33	Rab27b	11191	-0.0013792422832921147	-0.2540837	No	
row_34	Map2k1	11565	-0.040566712617874146	-0.27068502	No	
row_35	Nsg1	11710	-0.05555955320596695	-0.27680486	No	
row_36	Adam22	12420	-0.10749582946300507	-0.30814046	No	
row_37	Rapsn	13159	-0.18688718974590302	-0.3402141	No	
row_38	Kif5a	13236	-0.19585110247135162	-0.3422368	No	
row_39	Gsk3b	13858	-0.257228285074234	-0.36850086	No	
row_40	Grin2a	13944	-0.26698869466781616	-0.3704155	No	
row_41	Abhd17b	14080	-0.2842071056365967	-0.37447014	No	
row_42	Vamp2	14302	-0.3143209218978882	-0.3822019	No	
row_43	Adam10	15006	-0.41424790024757385	-0.41104198	No	
row_44	Clstn1	15042	-0.4197700619697571	-0.40958425	No	
row_45	Reln	15139	-0.4331698417663574	-0.41079244	No	
row_46	Cacng2	15411	-0.4748912751674652	-0.41962498	No	
row_47	Git1	15644	-0.5117461681365967	-0.4264238	No	
row_48	Nlgn1	15748	-0.5255692005157471	-0.42727923	No	
row_49	Rab11a	15863	-0.5439478158950806	-0.42849967	No	
row_50	Pclo	15889	-0.5473642945289612	-0.425664	No	
row_51	Baiap2	16078	-0.5795488357543945	-0.42997828	No	
row_52	Gphn	16479	-0.6515830755233765	-0.4433731	No	
row_53	Homer1	16638	-0.6778015494346619	-0.44561622	No	
row_54	Cdk5	16940	-0.7402722239494324	-0.4538838	No	
row_55	Dlg2	17353	-0.8305372595787048	-0.46652484	No	
row_56	Camk2a	17511	-0.8680188059806824	-0.46734372	No	
row_57	Hspb1	18383	-1.1211893558502197	-0.49866858	No	
row_58	Cacng7	18676	-1.2291693687438965	-0.5029843	No	
row_59	Hras	19171	-1.4151867628097534	-0.51510125	No	
row_60	Zdhhc12	19647	-1.6568259000778198	-0.5246059	No	
row_61	Stx1b	19983	-1.8288806676864624	-0.52652174	Yes	
row_62	Dlg1	20021	-1.8565211296081543	-0.51473904	Yes	
row_63	Lrrtm1	20058	-1.8788074254989624	-0.50274944	Yes	
