NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Adrb2	1559	2.061973810195923	-0.029550597	No	
row_1	Nrxn1	3443	1.1579269170761108	-0.09165412	No	
row_2	Cnih3	4066	0.9742398262023926	-0.10044	No	
row_3	Shisa6	6426	0.4925086498260498	-0.19723257	No	
row_4	Cacng3	7470	0.3429949879646301	-0.23754588	No	
row_5	Cacng5	10584	0.0073312814347445965	-0.37801218	No	
row_6	Mef2c	12427	-0.10785149037837982	-0.45907617	No	
row_7	Cacng4	12608	-0.1243501603603363	-0.464742	No	
row_8	Shisa9	14499	-0.34141460061073303	-0.5433449	No	
row_9	Reln	15139	-0.4331698417663574	-0.5636226	No	
row_10	Cacng2	15411	-0.4748912751674652	-0.56645113	No	
row_11	Shisa8	15582	-0.5024535655975342	-0.5641713	No	
row_12	Nlgn1	15748	-0.5255692005157471	-0.56120753	No	
row_13	Cacng7	18676	-1.2291693687438965	-0.66905564	Yes	
row_14	Mapk8ip2	19317	-1.4796457290649414	-0.66863745	Yes	
row_15	Cnih2	19620	-1.6432418823242188	-0.64970964	Yes	
row_16	Prrt1	20063	-1.8812776803970337	-0.6323877	Yes	
row_17	Arc	20242	-1.98550546169281	-0.60107523	Yes	
row_18	Shisa7	20293	-2.0208775997161865	-0.5632801	Yes	
row_19	Nlgn3	20503	-2.2113587856292725	-0.52889156	Yes	
row_20	Shank1	20776	-2.4947867393493652	-0.49173114	Yes	
row_21	Gsg1l	20818	-2.540433883666992	-0.4432319	Yes	
row_22	Cacng8	21513	-3.5412275791168213	-0.40439254	Yes	
row_23	Mink1	21974	-5.343837738037109	-0.319256	Yes	
row_24	Shank3	22081	-6.739193439483643	-0.19047377	Yes	
row_25	Nlgn2	22148	-9.797104835510254	7.2274305E-4	Yes	
