NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Eif3i	32	7.294589996337891	0.044279736	Yes	
row_1	Paip2	34	7.222325325012207	0.089511886	Yes	
row_2	Eif3e	39	7.031927585601807	0.1334144	Yes	
row_3	Eif4a2	56	6.405540943145752	0.172846	Yes	
row_4	Paip1	112	5.557072162628174	0.20519032	Yes	
row_5	Eif4e	210	4.745681285858154	0.23054378	Yes	
row_6	Eif3m	213	4.715732574462891	0.2600165	Yes	
row_7	Tmed2	318	4.190252304077148	0.28157055	Yes	
row_8	Eif3h	490	3.6293680667877197	0.2965708	Yes	
row_9	Dnajc3	591	3.348845958709717	0.31303135	Yes	
row_10	Mtif2	703	3.105206251144409	0.32746577	Yes	
row_11	Eif2b4	749	2.995842456817627	0.34420684	Yes	
row_12	Nck2	769	2.9689040184020996	0.36195782	Yes	
row_13	Eif2s2	849	2.841431140899658	0.37618938	Yes	
row_14	Eif5b	901	2.739009141921997	0.39104834	Yes	
row_15	Abce1	913	2.721493721008301	0.40761095	Yes	
row_16	Ncbp2	930	2.695815086364746	0.4237859	Yes	
row_17	Eif3d	936	2.678839683532715	0.44035313	Yes	
row_18	Eif4g2	948	2.668640375137329	0.4565844	Yes	
row_19	Eif2s1	1053	2.5434958934783936	0.46781477	Yes	
row_20	Eif1a	1092	2.4919519424438477	0.48171425	Yes	
row_21	Eif2s3x	1330	2.2541072368621826	0.4851006	Yes	
row_22	Denr	1762	1.9306316375732422	0.47766364	Yes	
row_23	Impact	1889	1.8418076038360596	0.48349765	Yes	
row_24	Ncbp1	2029	1.7631672620773315	0.48824927	Yes	
row_25	Bank1	2279	1.6303898096084595	0.4871814	Yes	
row_26	Nck1	2330	1.6092153787612915	0.4950029	Yes	
row_27	Fech	2536	1.4919761419296265	0.49506214	Yes	
row_28	Ppp1r15b	2617	1.4614522457122803	0.5005972	Yes	
row_29	Rpl13a	2653	1.4481338262557983	0.5080889	Yes	
row_30	Polr2d	2751	1.410067081451416	0.51253104	Yes	
row_31	Eif2b5	3064	1.2902401685714722	0.5064745	Yes	
row_32	Npm1	3078	1.2833882570266724	0.5139308	Yes	
row_33	LTO1	3491	1.142883062362671	0.5024168	No	
row_34	Bzw1	3788	1.0498589277267456	0.49557868	No	
row_35	Eif3k	3854	1.0293993949890137	0.49908516	No	
row_36	Eif2b1	4232	0.9317061305046082	0.48783404	No	
row_37	Eif1ad	4696	0.820965051651001	0.4719897	No	
row_38	Ythdf3	4869	0.780343234539032	0.46908376	No	
row_39	Eif2b3	5062	0.7370210289955139	0.4649995	No	
row_40	Fmr1	5485	0.651759147644043	0.4499532	No	
row_41	Eif4e1b	5593	0.6292975544929504	0.44904727	No	
row_42	Slbp	5738	0.6005599498748779	0.4462837	No	
row_43	Eif3c	5801	0.5896066427230835	0.4471691	No	
row_44	Rps2	6219	0.5217494368553162	0.43153444	No	
row_45	Eif3f	6429	0.4918578267097473	0.4251425	No	
row_46	Eif1	6466	0.4863184094429016	0.42655915	No	
row_47	Eif4h	6663	0.4557020366191864	0.4205299	No	
row_48	Eif4ebp3	6694	0.4513021409511566	0.42199907	No	
row_49	Eif3l	6758	0.4425655007362366	0.42191732	No	
row_50	Dazl	6834	0.43059977889060974	0.42121652	No	
row_51	Bzw2	6989	0.4090880751609802	0.41679922	No	
row_52	Eif5	6991	0.40848881006240845	0.41931474	No	
row_53	Gle1	6999	0.4077237844467163	0.42155343	No	
row_54	Paip2b	7059	0.39998072385787964	0.42138606	No	
row_55	Rps6kb1	7177	0.38381528854370117	0.4184878	No	
row_56	Eif4b	7659	0.31854602694511414	0.39867768	No	
row_57	Eif4a1	7674	0.31623929738998413	0.4000255	No	
row_58	Dhx29	8259	0.24712154269218445	0.37509784	No	
row_59	Bc1	8508	0.2156909555196762	0.36520645	No	
row_60	Eif4e2	8790	0.17984557151794434	0.35359418	No	
row_61	Eif4ebp1	9262	0.14017273485660553	0.33311918	No	
row_62	Ppp1r15a	9596	0.10385841131210327	0.31867304	No	
row_63	Polr2g	9615	0.10157714039087296	0.31849378	No	
row_64	Eif6	9677	0.0955933928489685	0.31632748	No	
row_65	Mtif3	9761	0.08611354231834412	0.31310436	No	
row_66	Larp1	9809	0.0807771235704422	0.31147993	No	
row_67	Mcts2	10010	0.0605180449783802	0.3027919	No	
row_68	D1Pas1	10823	0.004287802614271641	0.26600507	No	
row_69	Mettl3	11538	-0.03781323507428169	0.23387146	No	
row_70	Mif4gd	11677	-0.05253562331199646	0.22794428	No	
row_71	Eif1ax	11802	-0.06614922732114792	0.22273718	No	
row_72	Eif1b	11839	-0.06945748627185822	0.22154048	No	
row_73	Ddx3x	12087	-0.09552069753408432	0.21094106	No	
row_74	Habp4	12801	-0.14435672760009766	0.17952071	No	
row_75	Uhmk1	12909	-0.15824365615844727	0.17566168	No	
row_76	Mcts1	13683	-0.2338859885931015	0.14208238	No	
row_77	Rps6kb2	13897	-0.2616851329803467	0.1340661	No	
row_78	Eif2d	14122	-0.2899928092956543	0.12572859	No	
row_79	Tpr	14194	-0.29884806275367737	0.12438317	No	
row_80	Eif2a	14476	-0.33967530727386475	0.11377291	No	
row_81	Ythdf2	14862	-0.38895705342292786	0.098756544	No	
row_82	Eif4g3	15198	-0.4404858946800232	0.08633007	No	
row_83	Ctif	15460	-0.48126867413520813	0.07751422	No	
row_84	Eif2b2	15539	-0.496198445558548	0.07708864	No	
row_85	Eif3b	15858	-0.5430147051811218	0.06607566	No	
row_86	Khdrbs1	16066	-0.5768951177597046	0.060307503	No	
row_87	Alkbh1	16466	-0.6496037244796753	0.04629044	No	
